o0990391	127E2
o0990392	127E3
o0990395	127E6
o0990396	127E7
o0990397	127E8
o0990398	127E9
o0990399	127EA
o0990402	127EB
o0990403	127EC
o0990404	127ED
o0990405	127EE
o0990406	127EF
o0990407	127F0
o0990408	127F1
o0990409	127F2
o0990413	127F4
o0990414	127F5
o0990415	127F6
o0990417	127F7
o0990419	127F8
o0990420	127F9
o0990421	127FA
o0990422	127FB
o0990423	127FC
o0990424	127FD
o0990425	127FE
o0990426	127FF
o0990427	12800
o0990410	12801
o0990412	12802
o0990428	12803
o0990431	12804
o0990432	12805
o0990433	12806
o0990434	12807
o0990435	12808
o0990436	12809
o0990437	1280A
o0990438	1280B
o0990439	1280D
o0990440	1280E
o0990441	1280F
o0990443	12810
o0990445	12811
o0990446	12812
o0990447	12813
o0990448	12814
o0990449	12815
o0990450	12816
o0990453	12817
o0990455	12818
o0990456	12819
o0990457	1281A
o0990458	1281B
o0990459	1281C
o0990461	1281D
o0990462	1281E
o0990463	1281F
o0990464	12820
o0990465	12821
o0990466	12822
o0990467	12823
o0990468	12824
o0990469	12825
o0990470	12826
o0990472	12827
o0990473	12828
o0990474	12829
o0990475	1282A
o0990476	1282B
o0990477	1282C
o0990478	1282D
o0990479	1282E
o0990480	1282F
o0990481	12830
o0990482	12831
o0990483	12832
o0990485	12833
o0990486	12834
o0990487	12835
o0990488	12836
o0990489	12837
o0990490	12838
o0990491	12839
o0990492	1283A
o0990493	1283B
o0990494	1283C
o0990495	1283D
o0990497	1283E
o0990498	1283F
o0990499	12840
o0990500	12841
o0990501	12842
o0990503	12843
o0990504	12844
o0990507	12845
o0990508	12846
o0990509	12847
o0990510	12848
o0990511	12849
o0990512	1284A
o0990513	1284B
o0990514	1284C
o0990515	1284D
o0990516	1284E
o0990517	1284F
o0990518	12850
o0990519	12851
o0990520	12852
o0990521	12853
o0990522	12854
o0990523	12855
o0990524	12856
o0990525	12857
o0990526	12858
o0990528	12859
o0990529	1285A
o0990530	1285B
o0990533	1285C
o0990534	1285D
o0990535	1285E
o0990538	1285F
o0990527	12860
o0990531	12861
o0990532	12862
o0990539	12863
o0990536	12864
o0990537	12865
o0990542	12866
o0990544	12867
o0990545	12868
o0990546	12869
o0990547	1286A
o0990548	1286B
o0990549	1286C
o0990550	1286D
o0990551	1286E
o0990552	1286F
o0990553	12870
o0990558	12871
o0990559	12872
o0990560	12873
o0990562	12874
o0990563	12875
o0990564	12876
o0990565	12877
o0990567	12878
o0990570	12879
o0990572	1287A
o0990573	1287B
o0990574	1287C
o0990575	1287D
o0990577	1287E
o0990578	1287F
o0990579	12880
o0990580	12881
o0990581	12882
o0990583	12883
o0990566	12884
o0990569	12885
o0990571	12886
o0990576	12887
o0990582	12888
o0990584	12889
o0990585	1288A
o0990586	1288B
o0990587	1288C
o0990588	1288D
o0990590	1288E
o0990589	1288F
o0990591	12890
o0990592	12891
o0990593	12892
o0990597	12893
o0990599	12895
o0990600	12896
o0990602	12898
o0990603	12899
o0990604	1289A
o0990605	1289B
o0990606	1289C
o0990607	1289D
o0990608	1289E
o0990609	1289F
o0990610	128A0
o0990611	128A1
o0990612	128A2
o0990613	128A3
o0990614	128A4
o0990616	128A5
o0990617	128A6
o0990618	128A7
o0990620	128A9
o0990621	128AA
o0990622	128AB
o0990623	128AC
o0990624	128AD
o0990626	128AE
o0990628	128AF
o0990629	128B0
o0990630	128B1
o0990632	128B2
o0990631	128B3
o0990633	128B4
o0990634	128B5
o0990635	128B6
o0990637	128B7
o0990638	128B8
o0990639	128B9
o0990641	128BA
o0990642	128BB
o0990643	128BC
o0990644	128BD
o0990646	128BE
o0990649	128C0
o0990645	128C1
o0990651	128C2
o0990652	128C3
o0990653	128C4
o0990654	128C5
o0990655	128C6
o0990656	128C7
o0990659	128C8
o0990665	128C9
o0990658	128CA
o0990662	128CB
o0990664	128CC
o0990666	128CD
o0990668	128CF
o0990669	128D0
o0990670	128D1
o0990671	128D2
o0990672	128D3
o0990673	128D4
o0990675	128D5
o0990676	128D6
o0990674	128D7
o0990677	128D8
o0990678	128D9
o0990679	128DA
o0990680	128DB
o0990683	128DC
o0990681	128DD
o0990684	128DE
o0990685	128DF
o0990686	128E0
o0990687	128E1
o0990688	128E2
o0990689	128E3
o0990690	128E4
o0990691	128E5
o0990692	128E6
o0990695	128E9
o0990696	128EA
o0990698	128EB
o0990700	128EC
o0990703	128EE
o0990704	128EF
o0990706	128F0
o0990707	128F1
o0990708	128F2
o0990711	128F4
o0990714	128F5
o0990715	128F6
o0990718	128F7
o0990717	128F8
o0990719	128F9
o0990720	128FA
o0990722	128FB
o0990723	128FC
o0990724	128FD
o0990725	128FE
o0990727	128FF
o0990728	12900
o0990729	12901
o0990730	12902
o0990731	12903
o0990733	12905
o0990734	12906
o0990735	12907
o0990736	12908
o0990737	12909
o0990738	1290A
o0990740	1290B
o0990739	1290C
o0990743	1290D
o0990744	1290E
o0990745	1290F
o0990746	12910
o0990747	12911
o0990748	12912
o0990749	12913
o0990750	12914
o0990753	12915
o0990754	12918
o0990755	12919
o0990756	1291A
o0990758	1291B
o0990760	1291C
o0990761	1291D
o0990762	1291E
o0990763	1291F
o0990764	12920
o0990765	12921
o0990766	12922
o0990768	12924
o0990769	12925
o0990770	12926
o0990771	12927
o0990772	12928
o0990773	12929
o0990774	1292A
o0990775	1292B
o0990776	1292C
o0990777	1292D
o0990778	1292E
o0990782	1292F
o0990783	12930
o0990784	12931
o0990785	12932
o0990786	12933
o0990788	12934
o0990787	12935
o0990790	12936
o0990792	12937
o0990789	12938
o0990791	12939
o0990793	1293A
o0990794	1293B
o0990797	1293C
o0990798	1293D
o0990799	1293E
o0990800	1293F
o0990801	12940
o0990802	12941
o0990803	12942
o0990804	12943
o0990805	12944
o0990806	12945
o0990807	12946
o0990808	12947
o0990810	12948
o0990811	12949
o0990812	1294A
o0990814	1294B
