name	oid	lsort	sfsort	sfname	ucode	ucun	note	lfeat	lsname	lucun	limage	lvalues
BAU178	o0900041	371	43	AB₂	U+126A7	𒚧						
►BAU179		372	0				SAGŠU (|ŠU₂~b.SAG|) rejected in CDLI transliterations; both instances partly damaged and read X SAG.					
BAU180	o0901636	373	2332	PAD~a	U+12A8F	𒪏						
BAU181		374	0								
BAU182	o0901142	375	1765	KU₃~a	U+12963	𒥣						
►BAU183		376	0				Sealing 1 only.  Possibly DIN@t but not certain.					
BAU184	o0900960	377	1571	HI	U+128E6	𒣦						
BAU185		378	0								
BAU186		379	0								
►BAU187		380	0				Read as sequence NUNUZ NUNUZ.					
BAU188	o0900165	381	639	BIR~a	U+12703	𒜃						
BAU189	o0900165	382	639	BIR~a	U+12703	𒜃						
BAU190	o0900260	383	755	DI	U+12741	𒝁						
BAU191	o0901090	384	1713	KI	U+1293C	𒤼						
BAU192	o0902327	385	8055	UR₅~a	U+12C5C	𒱜						
BAU193		386	0								
BAU194	o0902102	387	2869	TE	U+12BB9	𒮹						
BAU195	o0902102	388	2869	TE	U+12BB9	𒮹						
BAU196	o0901071	389	1692	KAR	U+1292F	𒤯						
BAU197	o0902161	390	2932	U₄	U+12BE1	𒯡						
BAU198		391	0								
BAU198a		392	0								
BAU198b		393	0								
BAU199	o0902178	394	2957	|U₄×1(N01)|	U+12BF3	𒯳						
BAU200	o0900056	395	59	ADAB	U+126B2	𒚲						
BAU201	o0900106	396	112	ARARMA₂~a	U+126D6	𒛖						
BAU202	o0901746	397	2452	SIG	U+12ACF	𒫏						
►BAU203		398	0				Only in UET 2 1					
BAU204	o0901670	399	2366	RU	U+12AA3	𒪣						
BAU205		400	0								
BAU206	o0901770	401	2478	SIG₄	U+12AE2	𒫢						
BAU207	o0901145	402	1771	KU₆~a	U+12965	𒥥						
►BAU208		403	0				Read as sequence KU₆~a A					
BAU209	o0901151	404	1773	|KU₆~a+GIŠ|	U+12967	𒥧						
BAU210	o0900845	405	1444	GIR~a	U+12893	𒢓						
BAU211	o0901888	406	2617	SUKUD	U+12B27	𒬧						
BAU212		407	0								
BAU212a		408	0								
BAU212b	o0900900	409	1500	GIŠIMMAR~b1~v1	U+128B8	𒢸						
BAU213		410	0								
BAU214	o0901907	411	2640	SUMAŠ	U+12B34	𒬴						
BAU215	o0901881	412	2606	SUHUR	U+12B23	𒬣						
BAU216	o0902229	413	7949	UBI~a	U+12C1C	𒰜						
BAU217	o0900724	414	1314	GADA~a	U+1284B	𒡋						
BAU218	o0901636	415	2332	PAD~a	U+12A8F	𒪏						
BAU219	o0900286	416	786	DU₆~a2								
BAU220	o0900724	417	1314	GADA~a	U+1284B	𒡋						
BAU221	o0900291	418	789	DU₇	U+12755	𒝕						
BAU222	o0900115	419	122	BA	U+126DE	𒛞						
►BAU223		420	0				Sealing only; possibly sequence BA BAR.					
BAU224		421	0								
BAU225	o0900050	422	53	ABZU	U+126AE	𒚮						
BAU226	o0901870	423	2595	SU~a	U+12B1B	𒬛						
►BAU227		424	0				Only on reverse of UET 2 253; probably a drawing rather than a sign.					
BAU228	o0901679	425	2393	SAG~v2	U+12AB2	𒪲						
BAU229	o0902064	426	2833	ŠUR₂~b	U+12BA1	𒮡						
►BAU230		427	0				Uncertain; read as sequence ZATU659 E₂~a in CDLI. Green ŠU₂+E₂.					
BAU231	o0900912	428	1516	GU₇	U+128C2	𒣂						
BAU232		429	0								
BAU233	o0901030	430	1648	KA~a	U+12914	𒤔						
BAU234	o0901694	431	2395	SAG@g	U+12AAB	𒪫						
