o0901807.o0901808.	|SILA₃~a×KAŠ~a|	|SILA₃~a+KAŠ~a|	2	0
o0901815.o0901816.	|SILA₃~a×MA~v1|	|SILA₃~a×MA|	3	0
o0901819.o0901820.	|SILA₃~a×MUD₃~b|	|SILA₃~a+MUD₃~b|	1	0
o0901837.o0901838.	|SILA₃~a×SUM~a~v1|	|SILA₃~a×SUM~a|	3	0
o0901851.o0901852.	|SILA₃~a×ZATU629~v1|	|SILA₃~a×ZATU629|	1	0
o0901855.o0901856.	|SILA₃~a×(ZATU659.TU~c~v1)|	|SILA₃~a×(ZATU659.TU~c)|	1	0
o0901865..	SILANITA	SILANITA~a	1	20
o0901881..	SUHUR	SUHUR~a	1	222
o0901917.o0901919.	ŠA₃~a2	ŠA₃~b1	1	0
o0901954.o0901955.	|ŠE~a.NAM₂|	|ŠE~a+NAM₂|	1	0
o0902011.o0902012.	|ŠITA~b2@g×HI@g~a|	|ŠITA~b1×HI@g~a|	1	0
o0902050..	|ŠU₂.(HI×1(N57))&(HI×1(N57))|	|ŠU₂.((HI+1(N57))+(HI+1(N57)))|	1	0
o0902103..	TI	TI~a	12	49
o0902120.o0902121.	|TUG₂~a.BAD&BAD|	|TUG₂~a.(BAD&BAD)|	22	0
o0902163..	|U₄.1(N08)|	|U₄+1(N08)|	5	27
o0902172..	|U₄.1(N14).3(N08)|	|(U₄+1(N14)).3(N08)|	2	0
o0902173..	|U₄.1(N14).4(N08)|	|U₄.(1(N14).4(N08))|	1	0
o0902174..	|U₄.1(N14).5(N08)|	|U₄.(1(N14).5(N08))|	2	0
o0902175..	|U₄.1(N14).8(N08)|	|U₄.(1(N14).8(N08))|	1	0
o0902180..	|U₄×1(N01).1(N24)|	|U₄×(1(N01).1(N24))|	1	0
o0902180..	|U₄×1(N01).1(N24)|	|U₄×1(N01)+1(N24)|	1	0
o0902184..	|U₄×2(N01).2(N14).1(N08)|	|U₄×2(N01).(2(N14).1(N08))|	1	0
o0902215..	|U₄×1(N58@t)|	|U₄×1(N58)@t|	2	0
o0902218..	|U₄.1(N14).1(N08)|	|(U₄+1(N14)).1(N08)|	1	0
o0902219..	|U₄.1(N24)|	|U₄+1(N24)|	3	0
o0902224.o0902225.	|U₈×TAR~b|	|(U₈×TAR)~b|	1	0
o0902246.o0902247.	|UDU~a×TAR~a|	|(UDU~a×TAR)~a|	4	0
o0902246.o0902248.	|UDU~a×TAR~b|	|(UDU~a×TAR)~b|	10	0
o0902297.o0902298.	|UNUG~a~v1×A@t|	|UNUG~a×A@t|	1	0
o0902311..	|UR₂×TAR~c|	|UR₂×TAR|	4	0
o0902346.o0902347.	|URU~a1×AMAR~v2|	|URU~a1×AMAR|	2	0
o0902362.o0902363.	|URU~a2×1(N58)|	|URU~a1+1(N58)|	1	0
o0902413..	|X(N57).GAR|	|N(N57).GAR|	1	0
o0902494.o0902495.	|ZATU651×EN~a~v2|	|ZATU651×EN~a|	20	0
o0902509..	|ZATU659×1(N58@t)|	|ZATU659×1(N58)@t|	1	0
o0902609.o0902610.	|ZATU711~v1×HI@g~a|	|ZATU711×HI@g~a|	2	0
o0902611..	|ZATU711~v1×X|	|ZATU711×X|	1	0
o0902656.o0902657.	|ZATU737×BUR~a|	GABURRA	3	0
o0902662.o0902663.	|ZATU737×EN~a~v2|	|ZATU737×EN~a|	1	0
o0902662.o0902664.	|ZATU737~v1×EN~b~v1|	|ZATU737×EN~b|	1	0
o0902665..	|ZATU737×GAR|	ZATU741	1	2
o0902671..	|ZATU737~v3×SAL|	|ZATU737×SAL|	19	0
o0902680..	|ZATU737~v3×U₄|	|ZATU737×U₄|	9	0
o0902681.o0902682.	|ZATU737×UNUG~a~v1|	|ZATU737×UNUG~a|	1	0
o0902683..	|ZATU737~v2×X|	|ZATU737×X|	12	0
o0903281.o0903282.	|(1(N58).BAD)~a|	|1(N58).BAD~a|	63	0
o0903281.o0903283.	|(1(N58).BAD)~b|	|1(N58).BAD~b|	4	0
o0903564..	X₂	|2(N57).DU₆~a@n|	1	0
