133	𒘈	2(N48)	TWO-N48	ignore		2(N48)		
134	𒘉	2(N49)	TWO-N49	ignore		2(N49)		
135	𒘊	2(N50)	TWO-N50	ignore		2(N50)		
136	𒘋	2(N51)	TWO-N51	ignore		2(N51)		
137	𒘌	2(N51@f)	TWO-N51 FLAT	ignore		2(N51@f)		
138	𒘍	2(N52)	TWO-N52	ignore		2(N52)		
139	𒘎	2(N54)	TWO-N54	ignore		2(N54)		
140	𒘏	2(N56)	TWO-N56	ignore		2(N56)		
141	𒘐	2(N57)	TWO-N57	ignore		2(N57)		
142	𒘑	2(N58)	TWO-N58	ignore		2(N58)		
143	𒘒	2(N59)	TWO-N59	ignore		2(N59)		
144	𒘓	2(LAGAB~a)	TWO-LAGAB-A	ignore		2(LAGAB~a)		
145	𒘔	3(N01)	THREE-N1	ignore		3(N01)		
146	𒘕	3(N01@f)	THREE-N1 FLAT	ignore		3(N01@f)		
147	𒘖	3(N02)	THREE-N2	ignore		3(N02)		
148	𒘗	3(N03)	THREE-N3	ignore		3(N03)		
149	𒘘	3(N04)	THREE-N4	ignore		3(N04)		
150	𒘙	3(N04@f)	THREE-N4 FLAT	ignore		3(N04@f)		
151	𒘚	3(N05)	THREE-N5	ignore		3(N05)		
152	𒘛	3(N07~a)	THREE-N7-A	ignore		3(N07~a)		
153	𒘜	3(N07~b)	THREE-N7-B	ignore		3(N07~b)		
154	𒘝	3(N08)	THREE-N8	ignore		3(N08)		
155	𒘞	3(N08~b)	THREE-N8-B	ignore		3(N08~b)		
156	𒘟	3(N14)	THREE-N14	ignore		3(N14)		
157	𒘠	3(N14@f)	THREE-N14 FLAT	ignore		3(N14@f)		
158	𒘡	3(N15)	THREE-N15	ignore		3(N15)		
159	𒘢	3(N18)	THREE-N18	ignore		3(N18)		
160	𒘣	3(N19)	THREE-N19	ignore		3(N19)		
161	𒘤	3(N19@f)	THREE-N19 FLAT	ignore		3(N19@f)		
162	𒘥	3(N20)	THREE-N20	ignore		3(N20)		
163	𒘦	3(N21)	THREE-N21	ignore		3(N21)		
164	𒘧	3(N23)	THREE-N23	ignore		3(N23)		
165	𒘨	3(N34)	THREE-N34	ignore		3(N34)		
166	𒘩	3(N34@f)	THREE-N34 FLAT	ignore		3(N34@f)		
167	𒘪	3(N36)	THREE-N36	ignore		3(N36)		
168	𒘫	3(N39~a)	THREE-N39-A	ignore		3(N39~a)		
169	𒘬	3(N39~b)	THREE-N39-B	ignore		3(N39~b)		
170	𒘭	3(N40)	THREE-N40	ignore		3(N40)		
171	𒘮	3(N41)	THREE-N41	ignore		3(N41)		
172	𒘯	3(N42~a)	THREE-N42-A	ignore		3(N42~a)		
173	𒘰	3(N42~b)	THREE-N42-B	ignore		3(N42~b)		
174	𒘱	3(N45)	THREE-N45	ignore		3(N45)		
175	𒘲	3(N45@f)	THREE-N45 FLAT	ignore		3(N45@f)		
176	𒘳	3(N46)	THREE-N46	ignore		3(N46)		
177	𒘴	3(N47)	THREE-N47	ignore		3(N47)		
178	𒘵	3(N48)	THREE-N48	ignore		3(N48)		
179	𒘶	3(N49)	THREE-N49	ignore		3(N49)		
180	𒘷	3(N50)	THREE-N50	ignore		3(N50)		
181	𒘸	3(N51)	THREE-N51	ignore		3(N51)		
182	𒘹	3(N51@f)	THREE-N51 FLAT	ignore		3(N51@f)		
183	𒘺	3(N52)	THREE-N52	ignore		3(N52)		
184	𒘻	3(N53)	THREE-N53	ignore		3(N53)		
185	𒘼	3(N54)	THREE-N54	ignore		3(N54)		
186	𒘽	3(N57)	THREE-N57	ignore		3(N57)		
187	𒘾	3(N58)	THREE-N58	ignore		3(N58)		
188	𒘿	3(N59)	THREE-N59	ignore		3(N59)		
189	𒙀	3(N61)	THREE-N61	ignore		3(N61)		
190	𒙁	4(N01)	FOUR-N1	ignore		4(N01)		
191	𒙂	4(N01@f)	FOUR-N1 FLAT	ignore		4(N01@f)		
192	𒙃	4(N02)	FOUR-N2	ignore		4(N02)		
193	𒙄	4(N03)	FOUR-N3	ignore		4(N03)		
194	𒙅	4(N04)	FOUR-N4	ignore		4(N04)		
195	𒙆	4(N04@f)	FOUR-N4 FLAT	ignore		4(N04@f)		
196	𒙇	4(N05)	FOUR-N5	ignore		4(N05)		
197	𒙈	4(N08)	FOUR-N8	ignore		4(N08)		
198	𒙉	4(N08~b)	FOUR-N8-B	ignore		4(N08~b)		
199	𒙊	4(N08~c)	FOUR-N8-C	ignore		4(N08~c)		
200	𒙋	4(N14)	FOUR-N14	ignore		4(N14)		
201	𒙌	4(N14@f)	FOUR-N14 FLAT	ignore		4(N14@f)		
202	𒙍	4(N15)	FOUR-N15	ignore		4(N15)		
203	𒙎	4(N18)	FOUR-N18	ignore		4(N18)		
204	𒙏	4(N19)	FOUR-N19	ignore		4(N19)		
205	𒙐	4(N19@f)	FOUR-N19 FLAT	ignore		4(N19@f)		
206	𒙑	4(N20)	FOUR-N20	ignore		4(N20)		
207	𒙒	4(N21)	FOUR-N21	ignore		4(N21)		
208	𒙓	4(N24)	FOUR-N24	ignore		4(N24)		
209	𒙔	4(N34)	FOUR-N34	ignore		4(N34)		
210	𒙕	4(N34@f)	FOUR-N34 FLAT	ignore		4(N34@f)		
211	𒙖	4(N36)	FOUR-N36	ignore		4(N36)		
212	𒙗	4(N39~a)	FOUR-N39-A	ignore		4(N39~a)		
213	𒙘	4(N39~b)	FOUR-N39-B	ignore		4(N39~b)		
214	𒙙	4(N40)	FOUR-N40	ignore		4(N40)		
215	𒙚	4(N41)	FOUR-N41	ignore		4(N41)		
216	𒙛	4(N42~a)	FOUR-N42-A	ignore		4(N42~a)		
217	𒙜	4(N42~b)	FOUR-N42-B	ignore		4(N42~b)		
218	𒙝	4(N43)	FOUR-N43	ignore		4(N43)		
219	𒙞	4(N45)	FOUR-N45	ignore		4(N45)		
220	𒙟	4(N45@f)	FOUR-N45 FLAT	ignore		4(N45@f)		
221	𒙠	4(N48)	FOUR-N48	ignore		4(N48)		
222	𒙡	4(N49)	FOUR-N49	ignore		4(N49)		
223	𒙢	4(N50)	FOUR-N50	ignore		4(N50)		
224	𒙣	4(N51)	FOUR-N51	ignore		4(N51)		
225	𒙤	4(N51@f)	FOUR-N51 FLAT	ignore		4(N51@f)		
226	𒙥	4(N52)	FOUR-N52	ignore		4(N52)		
227	𒙦	4(N54)	FOUR-N54	ignore		4(N54)		
228	𒙧	4(N57)	FOUR-N57	ignore		4(N57)		
229	𒙨	4(N58)	FOUR-N58	ignore		4(N58)		
230	𒙩	4(N59)	FOUR-N59	ignore		4(N59)		
231	𒙪	4(N62)	FOUR-N62	ignore		4(N62)		
232	𒙫	4(LAGAB~a)	FOUR-LAGAB-A	ignore		4(LAGAB~a)		
233	𒙬	5(N01)	FIVE-N1	ignore		5(N01)		
234	𒙭	5(N01@f)	FIVE-N1 FLAT	ignore		5(N01@f)		
235	𒙮	5(N02)	FIVE-N2	ignore		5(N02)		
236	𒙯	5(N03)	FIVE-N3	ignore		5(N03)		
237	𒙰	5(N04)	FIVE-N4	ignore		5(N04)		
238	𒙱	5(N04@f)	FIVE-N4 FLAT	ignore		5(N04@f)		
239	𒙲	5(N05)	FIVE-N5	ignore		5(N05)		
240	𒙳	5(N08)	FIVE-N8	ignore		5(N08)		
241	𒙴	5(N14)	FIVE-N14	ignore		5(N14)		
241.1	𒙵	5(N14)	FIVE-N14 VARIANT 1	ignore		5(N14)~v1		
242	𒙶	5(N14@f)	FIVE-N14 FLAT	ignore		5(N14@f)		
243	𒙷	5(N15)	FIVE-N15	ignore		5(N15)		
244	𒙸	5(N18)	FIVE-N18	ignore		5(N18)		
245	𒙹	5(N19)	FIVE-N19	ignore		5(N19)		
246	𒙺	5(N19@f)	FIVE-N19 FLAT	ignore		5(N19@f)		
247	𒙻	5(N20)	FIVE-N20	ignore		5(N20)		
248	𒙼	5(N21)	FIVE-N21	ignore		5(N21)		
249	𒙽	5(N23)	FIVE-N23	ignore		5(N23)		
