138	ignore				𒘍	2(N52)	2(N52)	TWO-N52
139	ignore				𒘎	2(N54)	2(N54)	TWO-N54
140	ignore				𒘏	2(N56)	2(N56)	TWO-N56
141	ignore				𒘐	2(N57)	2(N57)	TWO-N57
142	ignore				𒘑	2(N58)	2(N58)	TWO-N58
143	ignore				𒘒	2(N59)	2(N59)	TWO-N59
144	ignore				𒘓	2(LAGAB~a)	2(LAGAB~a)	TWO-LAGAB-A
145	ignore				𒘔	3(N01)	3(N01)	THREE-N1
146	ignore				𒘕	3(N01@f)	3(N01@f)	THREE-N1 FLAT
147	ignore				𒘖	3(N02)	3(N02)	THREE-N2
148	ignore				𒘗	3(N03)	3(N03)	THREE-N3
149	ignore				𒘘	3(N04)	3(N04)	THREE-N4
150	ignore				𒘙	3(N04@f)	3(N04@f)	THREE-N4 FLAT
151	ignore				𒘚	3(N05)	3(N05)	THREE-N5
152	ignore				𒘛	3(N07~a)	3(N07~a)	THREE-N7-A
153	ignore				𒘜	3(N07~b)	3(N07~b)	THREE-N7-B
154	ignore				𒘝	3(N08)	3(N08)	THREE-N8
155	ignore				𒘞	3(N08~b)	3(N08~b)	THREE-N8-B
156	ignore				𒘟	3(N14)	3(N14)	THREE-N14
157	ignore				𒘠	3(N14@f)	3(N14@f)	THREE-N14 FLAT
158	ignore				𒘡	3(N15)	3(N15)	THREE-N15
159	ignore				𒘢	3(N18)	3(N18)	THREE-N18
160	ignore				𒘣	3(N19)	3(N19)	THREE-N19
161	ignore				𒘤	3(N19@f)	3(N19@f)	THREE-N19 FLAT
162	ignore				𒘥	3(N20)	3(N20)	THREE-N20
163	ignore				𒘦	3(N21)	3(N21)	THREE-N21
164	ignore				𒘧	3(N23)	3(N23)	THREE-N23
165	ignore				𒘨	3(N34)	3(N34)	THREE-N34
166	ignore				𒘩	3(N34@f)	3(N34@f)	THREE-N34 FLAT
167	ignore				𒘪	3(N36)	3(N36)	THREE-N36
168	ignore				𒘫	3(N39~a)	3(N39~a)	THREE-N39-A
169	ignore				𒘬	3(N39~b)	3(N39~b)	THREE-N39-B
170	ignore				𒘭	3(N40)	3(N40)	THREE-N40
171	ignore				𒘮	3(N41)	3(N41)	THREE-N41
172	ignore				𒘯	3(N42~a)	3(N42~a)	THREE-N42-A
173	ignore				𒘰	3(N42~b)	3(N42~b)	THREE-N42-B
174	ignore				𒘱	3(N45)	3(N45)	THREE-N45
175	ignore				𒘲	3(N45@f)	3(N45@f)	THREE-N45 FLAT
176	ignore				𒘳	3(N46)	3(N46)	THREE-N46
177	ignore				𒘴	3(N47)	3(N47)	THREE-N47
178	ignore				𒘵	3(N48)	3(N48)	THREE-N48
179	ignore				𒘶	3(N49)	3(N49)	THREE-N49
180	ignore				𒘷	3(N50)	3(N50)	THREE-N50
181	ignore				𒘸	3(N51)	3(N51)	THREE-N51
182	ignore				𒘹	3(N51@f)	3(N51@f)	THREE-N51 FLAT
183	ignore				𒘺	3(N52)	3(N52)	THREE-N52
184	ignore				𒘻	3(N53)	3(N53)	THREE-N53
185	ignore				𒘼	3(N54)	3(N54)	THREE-N54
186	ignore				𒘽	3(N57)	3(N57)	THREE-N57
187	ignore				𒘾	3(N58)	3(N58)	THREE-N58
188	ignore				𒘿	3(N59)	3(N59)	THREE-N59
189	ignore				𒙀	3(N61)	3(N61)	THREE-N61
190	ignore				𒙁	4(N01)	4(N01)	FOUR-N1
191	ignore				𒙂	4(N01@f)	4(N01@f)	FOUR-N1 FLAT
192	ignore				𒙃	4(N02)	4(N02)	FOUR-N2
193	ignore				𒙄	4(N03)	4(N03)	FOUR-N3
194	ignore				𒙅	4(N04)	4(N04)	FOUR-N4
195	ignore				𒙆	4(N04@f)	4(N04@f)	FOUR-N4 FLAT
196	ignore				𒙇	4(N05)	4(N05)	FOUR-N5
197	ignore				𒙈	4(N08)	4(N08)	FOUR-N8
198	ignore				𒙉	4(N08~b)	4(N08~b)	FOUR-N8-B
199	ignore				𒙊	4(N08~c)	4(N08~c)	FOUR-N8-C
200	ignore				𒙋	4(N14)	4(N14)	FOUR-N14
201	ignore				𒙌	4(N14@f)	4(N14@f)	FOUR-N14 FLAT
202	ignore				𒙍	4(N15)	4(N15)	FOUR-N15
203	ignore				𒙎	4(N18)	4(N18)	FOUR-N18
204	ignore				𒙏	4(N19)	4(N19)	FOUR-N19
205	ignore				𒙐	4(N19@f)	4(N19@f)	FOUR-N19 FLAT
206	ignore				𒙑	4(N20)	4(N20)	FOUR-N20
207	ignore				𒙒	4(N21)	4(N21)	FOUR-N21
208	ignore				𒙓	4(N24)	4(N24)	FOUR-N24
209	ignore				𒙔	4(N34)	4(N34)	FOUR-N34
