   6 g	o0900983..	@pcsl/pc25%pc:s/=IB~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	IB~a
   3 g	o0900984..	@pcsl/pc25%pc:s/=IB~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	IB~b
   1 g	o0901005..	@pcsl/pc25%pc:s/=IN~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	IN~b
   1 g	o0901009..	@pcsl/pc25%pc:s/=IR~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	IR~a
   1 g	o0901009..	@pcsl/pc25%pc:s/=IR~a--#wn%qpc:#u%:#a1#a1#u0#+k?------	IR~a
   1 g	o0901012..	@pcsl/pc25%pc:s/=IR~d--#wn%qpc:#u%:#a1#a1#u0#+k-------	IR~d
   1 g	o0901038..	@pcsl/pc25%pc:s/=KA₂~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	KA₂~a
   1 g	o0901044..	@pcsl/pc25%pc:s/KAB=KAB--#wn%qpc:#u%:#a1#a1#u0#+k-------	KAB
   2 g	o0901044..	@pcsl/pc25%pc:s/KAB=KAB--#wn%qpc:#u%:#a1#a1#u0#+k?------	KAB
   1 g	o0901078..	@pcsl/pc25%pc:s/=KAŠ~a--#wn%qpc:#u%:#a1#a1#u0#.k-------	KAŠ~a
   1 g	o0901078..	@pcsl/pc25%pc:s/=KAŠ~a--#wn%qpc:#u%:#a1#a1#u0#.k?------	KAŠ~a
   5 g	o0901078..	@pcsl/pc25%pc:s/=KAŠ~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	KAŠ~a
   1 g	o0901080..	@pcsl/pc25%pc:s/=KAŠ~b--#wn%qpc:#u%:#a1#a1#u0#.k-------	KAŠ~b
   2 g	o0901080..	@pcsl/pc25%pc:s/=KAŠ~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	KAŠ~b
   1 g	o0901082..	@pcsl/pc25%pc:s/=KAŠ~c--#wn%qpc:#u%:#a1#a1#u0#.k-------	KAŠ~c
   5 g	o0901082..	@pcsl/pc25%pc:s/=KAŠ~c--#wn%qpc:#u%:#a1#a1#u0#+k-------	KAŠ~c
   1 g	o0901082..	@pcsl/pc25%pc:s/=KAŠ~c--#wn%qpc:#u%:#a1#a1#u0#+k?------	KAŠ~c
   1 g	o0901090..	@pcsl/pc25%pc:s/KI=KI--#wn%qpc:#u%:#a1#a1#u0#+k-------	KI
   1 g	o0901109..	@pcsl/pc25%pc:s/KINGAL=KINGAL--#wn%qpc:#u%:#a1#a1#u0#+k-------	KINGAL
   4 g	o0901113..	@pcsl/pc25%pc:s/=KISAL~a1--#wn%qpc:#u%:#a1#a1#u0#+k-------	KISAL~a1
   5 g	o0901145..	@pcsl/pc25%pc:s/=KU₆~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	KU₆~a
   1 g	o0901158..	@pcsl/pc25%pc:s/=KUR~a--#wn%qpc:#u%:#a1#a1#u0#-k-------	KUR~a
   9 g	o0901158..	@pcsl/pc25%pc:s/=KUR~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	KUR~a
   1 g	o0901170..	@pcsl/pc25%pc:s/=KUR@g~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	KUR@g~b
   2 g	o0901187..	@pcsl/pc25%pc:s/=LAGAB~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	LAGAB~b
   1 g	o0901201..	@pcsl/pc25%pc:c/HI=|LAGAB~b×HI|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|LAGAB~b×HI|
   1 g	o0901219..	@pcsl/pc25%pc:c/=|LAGAB~a×ME~a|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|LAGAB~a×ME~a|
   1 g	o0901253..	@pcsl/pc25%pc:c/UB=|LAGAB~a×UB|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|LAGAB~a×UB|
   1 g	o0901255..	@pcsl/pc25%pc:c/X=|LAGAB~a×X|--#wn%qpc:#u%:#a1#a1#e0#.k-------	|LAGAB~a×X|
   1 g	o0901258..	@pcsl/pc25%pc:c/ZATU753=|LAGAB~a×ZATU753|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|LAGAB~a×ZATU753|
   1 g	o0901262..	@pcsl/pc25%pc:s/=LAGAR~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	LAGAR~a
   1 g	o0901270..	@pcsl/pc25%pc:s/=LAL₂~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	LAL₂~a
   2 g	o0901284..	@pcsl/pc25%pc:s/=LAM~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	LAM~b
   1 g	o0901312..	@pcsl/pc25%pc:s/LUM=LUM--#wn%qpc:#u%:#a1#a1#u0#+k?------	LUM
   1 g	o0901313..	@pcsl/pc25%pc:s/MA=MA--#wn%qpc:#u%:#a1#a1#u0#.k-------	MA
   1 g	o0901313..	@pcsl/pc25%pc:s/MA=MA--#wn%qpc:#u%:#a1#a1#u0#.k?------	MA
  20 g	o0901313..	@pcsl/pc25%pc:s/MA=MA--#wn%qpc:#u%:#a1#a1#u0#+k-------	MA
   1 g	o0901313..	@pcsl/pc25%pc:s/MA=MA--#wn%qpc:#u%:#a1#a1#u0#+k?------	MA
   2 g	o0901316..	@pcsl/pc25%pc:c/MA=|MA×MA|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|MA×MA|
   1 g	o0901316..	@pcsl/pc25%pc:c/MA=|MA×MA|--#wn%qpc:#u%:#a1#a1#e0#+k?------	|MA×MA|
   1 g	o0901320..	@pcsl/pc25%pc:s/MA₂=MA₂--#wn%qpc:#u%:#a1#a1#u0#+k?------	MA₂
   1 g	o0901361..	@pcsl/pc25%pc:s/=MAR~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	MAR~a
   1 g	o0901376..	@pcsl/pc25%pc:s/MAŠ=MAŠ--#wn%qpc:#u%:#a1#a1#u0#+k-------	MAŠ
   3 g	o0901380..	@pcsl/pc25%pc:s/=ME~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	ME~a
   1 g	o0901381..	@pcsl/pc25%pc:s/=ME~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	ME~b
   2 g	o0901384..	@pcsl/pc25%pc:s/=MEN~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	MEN~a
   1 g	o0901386..	@pcsl/pc25%pc:s/=MEN~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	MEN~b
   2 g	o0901407..	@pcsl/pc25%pc:s/=MUN~a1--#wn%qpc:#u%:#a1#a1#u0#+k-------	MUN~a1
