o0903127	ACN	3(N42B)	N	-	𒘯	-
o0903130	ACN	4(N42B)	N	-	𒘰	-
o0903131	ADD	1(N43)	N	-	󰄍	-
o0903132	ADD	4(N43)	N	-	󰄎	-
o0903133	DNE	1(N44)	N	-	󰃡	-
o0903134	ACN	1(N45)	N	-	𒕹	-
o0903137	ACN	2(N45)	N	-	𒕺,󰂻	-
o0903138	ACN	3(N45)	N	-	𒕻	-
o0903139	ACN	4(N45)	N	-	𒕼	-
o0903140	ACN	5(N45)	N	-	𒕽,󰂼	-
o0903141	ACN	6(N45)	N	-	𒕾,󰂽	-
o0903142	ACN	7(N45)	N	-	𒕿,󰂾	-
o0903306	ACN	8(N45)	N	-	𒖀	-
o0903143	ACN	9(N45)	N	-	𒖁,󰂿	-
o0903144	ACN	1(N45@f)	N	-	𒙨	-
o0903145	ACN	2(N45@f)	N	-	𒙩	-
o0903146	OOR	3(N45@f)	N	-	󰃢	-
o0903147	OOR	4(N45@f)	N	-	󰃣	-
o0903148	OOR	5(N45@f)	N	-	󰃤	-
o0903149	OOR	6(N45@f)	N	-	󰃥	-
o0903150	OOR	7(N45@f)	N	-	󰃦	-
o0903151	OOR	8(N45@f)	N	-	󰃧	-
o0903152	OOR	9(N45@f)	N	-	󰃨	-
o0903135	ACN	1(N45A)	N	-	𒗽	-
o0903153	ACN	1(N46)	N	-	𒘔	-
o0903154	ACN	2(N46)	N	-	𒘕,󰃀	-
o0903155	OOR	3(N46)	N	-	󰃩	-
o0903156	ACN	1(N46@f)	N	-	𒚄	-
o0903157	ACN	2(N46@f)	N	-	𒚅	-
o0903158	ACN	1(N47)	N	-	𒘿	-
o0903159	ACN	2(N47)	N	-	𒙀,󰃁	-
o0903160	OOR	3(N47)	N	-	󰃪	-
o0903161	ACN	1(N48)	N	-	𒕴	-
o0903162	ACN	2(N48)	N	-	𒕵,󰃂	-
o0903163	ACN	3(N48)	N	-	𒕶,󰃃	-
o0903164	ACN	4(N48)	N	-	𒕷	-
o0903165	ACN	5(N48)	N	-	𒕸,󰃄	-
o0903166	OOR	6(N48)	N	-	󰃫	-
o0903167	OOR	7(N48)	N	-	󰃬	-
o0903168	ADD	1(N48@f)	N	-	󰄏	-
o0903169	ACN	1(N49)	N	-	𒘟	-
o0903170	ACN	2(N49)	N	-	𒘠,󰃅	-
o0903171	ACN	3(N49)	N	-	𒘡,󰃆	-
o0903172	ACN	4(N49)	N	-	𒘢	-
o0903173	OOR	5(N49)	N	-	󰃭	-
o0903174	ACN	1(N50)	N	-	𒖂	-
o0903175	ACN	2(N50)	N	-	𒖃,󰃇	-
o0903176	ACN	3(N50)	N	-	𒖄	-
o0903177	ACN	4(N50)	N	-	𒖅	-
o0903178	ACN	5(N50)	N	-	𒖆,󰃈	-
o0903188	ACN	1(N51)	N	-	𒖚	-
o0903189	ACN	2(N51)	N	-	𒖛,󰃉	-
o0903190	ACN	3(N51)	N	-	𒖜	-
