o0902315	6×
o0901292	0×
o0901091	2×
o0901864	1×
o0901729	1×
o0902422	59×
o0900133	16×
o0900836	83×
o0900879	4×
o0900637	1×
o0902309	80×
o0903177	15×
o0902912	17×
o0902881	33×
o0901875	2×
o0900246	1×
o0900898	1×
o0900821	0×
o0902303	5×
o0901181	1×
o0901763	2×
o0902427	2×
o0900616	82×
o0901111	8×
o0903334	36×
o0902933	354×
o0901709	516×
o0901543	2×
o0902741	2×
o0901469	1×
o0900270	4×
o0901143	1×
o0901902	24×
o0901213	2×
o0902849	3×
o0902483	4×
o0902394	3×
o0902858	10148×
o0901598	3×
o0902316	5×
o0901063	30×
o0901258	1×
o0902371	0×
o0902929	1753×
o0901845	5×
o0902605	46×
o0903206	3×
o0900414	5×
o0902376	2×
o0902936	74×
o0902729	1×
o0903067	8×
o0902341	2×
o0901524	67×
o0903225	1×
o0902302	42×
o0900907	2×
o0901577	10×
o0901180	0×
o0901527	1×
o0900191	8×
o0902486	32×
o0901392	111×
o0902773	0×
o0903293	1×
o0900195	2×
o0902762	1×
o0900224	22×
o0901142	186×
o0902968	1×
o0900550	15×
o0901895	1×
o0901944	0×
o0900336	162×
o0901390	20×
o0901100	1×
o0903223	1×
o0903342	4×
o0900903	2×
o0902589	0×
o0900102	2×
o0900407	1×
o0900488	19×
o0901014	1×
o0902464	0×
o0902317	8×
o0901102	3×
o0903176	16×
o0903139	0×
o0902263	11×
o0902329	21×
o0902776	1×
o0900029	0×
o0903101	5×
o0901555	0×
o0901623	0×
o0902377	1×
o0900427	1×
o0901179	3×
o0901701	0×
o0901468	377×
o0902340	3×
o0902270	1×
o0901375	1×
o0902739	37×
o0901741	1×
o0902298	1×
o0902032	3×
o0903336	15×
o0900884	16×
o0901653	0×
o0900187	0×
o0903107	53×
o0901209	1×
o0902917	0×
o0900343	2×
o0902916	13×
o0902607	4×
o0902928	1×
o0902278	1×
o0901391	10×
o0901907	2×
o0900101	9×
o0901229	1×
o0901007	1×
o0901802	6×
o0901199	0×
o0900489	1×
o0900040	1×
o0901588	2×
o0900639	1×
o0900326	1×
o0900512	0×
o0903066	16×
o0901062	18×
o0901575	2×
o0902484	57×
o0901525	16×
o0902771	1×
o0900906	56×
o0901576	3×
o0900429	0×
o0902300	1×
o0903100	172×
o0902343	2×
