o0902976	ACN©	5(N19)	5(N19)	-	N	𒘏	𒘏,󰂐	EANM132	
o0902977	ACN©	6(N19)	6(N19)	-	N	𒘐	𒘐,󰂑	EANM133	
o0902978	ACN©	7(N19)	7(N19)	-	N	𒘑	𒘑,󰂒	EANM134	
o0902979	ACN©	8(N19)	8(N19)	-	N	𒘒	𒘒,󰂓	EANM135	
o0902980	ACN©	9(N19)	9(N19)	-	N	𒘓	𒘓,󰂕	EANM136	
o0903488	VSP	9(N19)~v	9(N19)~v	-	N		󰂔	EANM137	
o0902982	ACN	1(N19@f)	1(N19@f)	-	N		𒙻	EANM138	
o0902983	ACN	2(N19@f)	2(N19@f)	-	N		𒙼	EANM139	
o0902984	ACN	3(N19@f)	3(N19@f)	-	N		𒙽	EANM140	
o0902985	ACN	4(N19@f)	4(N19@f)	-	N		𒙾	EANM141	
o0902986	ACN	5(N19@f)	5(N19@f)	-	N	𒙿	𒙿,󰂖	EANM142	
o0902987	ACN	6(N19@f)	6(N19@f)	-	N	𒚀	𒚀,󰂗	EANM143	
o0902988	ACN	7(N19@f)	7(N19@f)	-	N	𒚁	𒚁,󰂘	EANM144	
o0902989	ACN	8(N19@f)	8(N19@f)	-	N	𒚂	𒚂,󰂙	EANM145	
o0902990	ACN	9(N19@f)	9(N19@f)	-	N	𒚃	𒚃,󰂚	EANM146	
o0902991	ACN©	1(N20)	1(N20)	-	N		𒘶	EANM147	
o0902992	ACN©	2(N20)	2(N20)	-	N		𒘷	EANM148	
o0902993	ACN©	3(N20)	3(N20)	-	N		𒘸	EANM149	
o0902994	ACN©	4(N20)	4(N20)	-	N		𒘹	EANM150	
o0902995	ACN©	5(N20)	5(N20)	-	N	𒘺	𒘺,󰂛	EANM151	
o0902996	ACN©	6(N20)	6(N20)	-	N	𒘻	𒘻,󰂜	EANM152	
o0902997	ACN©	7(N20)	7(N20)	-	N	𒘼	𒘼,󰂝	EANM153	
o0902998	ACN©	8(N20)	8(N20)	-	N	𒘽	𒘽,󰂞	EANM154	
o0902999	ACN©	9(N20)	9(N20)	-	N	𒘾	𒘾,󰂟	EANM155	
o0903329	ACN	1(N21)	1(N21)	-	N		𒗚	EANM156	
o0903000	ACN©	2(N21)	2(N21)	-	N		𒗛	EANM157	
o0903001	ACN©	3(N21)	3(N21)	-	N		𒗜	EANM158	
o0903002	ACN©	4(N21)	4(N21)	-	N		𒗝	EANM159	
o0903003	ACN©	5(N21)	5(N21)	-	N	𒗞	𒗞,󰂠	EANM160	
o0903004	OOR©	6(N21)	6(N21)	-	N		󰃠	EANM161	
o0903005	ACN©	1(N22)	1(N22)	-	N		𒖌	EANM162	
o0903006	ACN©	2(N22)	2(N22)	-	N		𒖍	EANM163	
o0903007	ADD©	1(N22~v)	1(N22~v)	-	N		󰃽	EANM164	
o0903008	ACN	1(N22@f)	1(N22@f)	-	N		𒙪	EANM165	
o0903009	ACN	2(N22@f)	2(N22@f)	-	N		𒙫	EANM166	
o0903010	Pelm©	1(N23)	1(N23)	-	N		󰃾	EANM167	
o0903011	Pelm©	2(N23)	2(N23)	-	N		󰃿	EANM168	
o0903012	Pelm©	3(N23)	3(N23)	-	N		󰄀	EANM169	
o0903013	Pelm	5(N23)	5(N23)	-	N		󰄁	EANM170	
o0903014	Pelm©	7(N23)	7(N23)	-	N		󰄂	EANM171	
o0903016	ACN©	1(N24)	1(N24)	-	N		𒖪	EANM172	
o0903019	ADD	2(N24)	2(N24)	-	N		󰄃	EANM173	
o0903020	ADD	4(N24)	4(N24)	-	N		󰄄	EANM174	
o0903021	ADD	6(N24)	6(N24)	-	N		󰄅	EANM175	
o0903015	ADD©	1(N24@f)	1(N24@f)	-	N		󰄆	EANM176	
o0903334	ACN©	1(N24A)	1(N24A)	-	N		𒗪	EANM177	
o0903336	ACN©	1(N24B)	1(N24B)	-	N		𒗾	EANM178	
o0903022	ACN©	1(N25)	1(N25)	-	N		𒘣	EANM179	
o0903023	ACN©	1(N26)	1(N26)	-	N	𒖫	𒖫,󰂡	EANM180	
o0903337	ACN©	1(N26B)	1(N26B)	-	N		𒗿	EANM181	
o0903026	ACN©	1(N27)	1(N27)	-	N	𒘤	𒘤,󰂢	EANM182	
o0903028	ACN©	1(N28)	1(N28)	-	N		𒖬	EANM183	
o0903338	ACN©	1(N28B)	1(N28B)	-	N		𒘀	EANM184	
o0903340	ACN©	1(N28C)	1(N28C)	-	N		𒘥	EANM185	
