𒨬	o0901479	12A2C	NANŠE~a
𒪼	o0901711	12ABC	SANGA~a
𒪺	o0901709	12ABA	SANGA~a~1
𒪻	o0901710	12ABB	SANGA~a~2
𒠜	o0900641	1281C	|GA₂~a1×GIŠ@t|
𒯈	o0902117	12BC8	TUG₂~b
𒠄	o0900570	12804	|EZEN~b×6(N57)|
󲳟	o0900571	F2CDF	|EZEN~b×6(N57)|~1
𒚵	o0900060	126B5	AGAR₂
𒨉	o0901431	12A09	|MUŠEN×2(N57)|
𒯘_󰄔	o0902146	12BD8	|TUR₃~a.5(N57)|
𒚄	o0903156	12684	1(N46@f)
󳀩	o0903225	F3029	|2(N57).BIR₃~a|
𒡌	o0900725	1284C	GADA~b
𒞕	o0900423	12795	|DUG~b×SIG₂~a2|
𒰣	o0902237	12C23	UD₅~b
𒵘	o0902655	12D58	|ZATU737×BU~a|
𒞆	o0900376	12786	|DUG~b×KASKAL|
𒖼	o0903105	125BC	3(N39B)
𒟼	o0900579	127FC	|EZEN~a×SAG|
𒰳	o0902263	12C33	UKKIN~b
𒰼	o0902264	12C3C	UKKIN~b~1
󳃐	o0903723	F30D0	UKKIN~b~2
󰃭	o0903173	F00ED	5(N49)
𒨥	o0901470	12A25	NAM₂@g
󳀂	o0901365	F3002	|MAR~b×GAR|
𒟤	o0900531	127E4	|EN₂.E₂~a|
󳀈	o0902197	F3008	|U₄×(1(N14).1(N01))|
𒚼	o0900069	126BC	ALAN~d
𒬓	o0901860	12B13	SILA₄~a
𒮆	o0902008	12B86	ŠITA~b2
𒦝	o0901241	1299D	|LAGAB~b×SUH₃|
𒱝	o0902328	12C5D	UR₅~b
𒲲	o0902458	12CB2	ZATU630
𒰇	o0902202	12C07	|U₄×2(N14)|
𒙞	o0902953	1265E	9(N14@f)
󰂉	o0903477	F0089	9(N14@f)~1
𒡄	o0900655	12844	|GA₂~b×KU₃~a|
𒪐	o0901637	12A90	PAD~b
𒱶	o0902376	12C76	URUDU~c
𒪿	o0901714	12ABF	SANGA~c
𒜒	o0900197	12712	|(BU~a&BU~a).X|
󲛩	o0900008	F26E9	A@g
𒮚	o0902044	12B9A	|ŠU₂.E₂~b|
𒳱	o0902531	12CF1	ZATU675~c
𒞢	o0900458	127A2	|DUG~b×UH₃~a@t|
󳀭	o0900202	F302D	|BU~a+KI|
𒣟	o0900953	128DF	|GURUŠ~b×2(N14)|
󰃿	o0903011	F00FF	2(N23)
𒝱	o0900447	12771	|DUG~a×U₂~a|
󳁓	o0900328	F3053	DUB~b@r
𒚆	o0903091	12686	1(N36@f)
𒣰	o0900976	128F0	HI@g~a
𒛣	o0900122	126E3	BAD₃~b2
𒛠	o0900117	126E0	|BAD&BAD|
𒵏	o0902641	12D4F	ZATU735~a
𒫫	o0901794	12AEB	|SILA₃~a×GEŠTU~a|
𒕱	o0903066	12571	7(N34)
󰂩	o0903509	F00A9	7(N34)~1
𒮞	o0902060	12B9E	ŠUBUR
𒫲	o0901808	12AF2	|SILA₃~a×KAŠ~a|
𒛹	o0900150	126F9	BAPPIR~c
𒜯	o0900237	1272F	DARA₃~c
𒜲	o0900238	12732	DARA₃~c~1
𒦔	o0901255	12994	|LAGAB~a×X|
󳂼	o0903703	F30BC	|LAGAB~a×X|~1
𒗦	o0903331	125E6	7(N52)
𒩤	o0901558	12A64	|NINDA₂×2(N01)|
𒱯	o0902353	12C6F	|URU~a3×KALAM~a|
𒶎	o0902725	12D8E	ZATU762~b
𒩔	o0901547	12A54	|NINDA₂×GU₄|
𒙅	o0902928	12645	1(N12)
𒬊	o0901776	12B0A	SILA₃~b
𒮺	o0902103	12BBA	TI
𒮾	o0902104	12BBE	TI~1
𒫺	o0901829	12AFA	|SILA₃~a×NI~a|
𒚚	o0900020	1269A	|AB~a×AŠ₂|
󳂮	o0903689	F30AE	|AB~a×AŠ₂|~1
𒯯	o0902175	12BEF	|U₄.1(N14).8(N08)|
𒸈	o0903265	12E08	|5(N57).GAR|
𒣬	o0900968	128EC	|HI×1(N57)|
𒕙	o0902909	12559	1(N08)
𒡝	o0900765	1285D	|GAN~c×NE~a|
𒵆	o0902631	12D46	ZATU726~d
𒸋	o0903272	12E0B	|6(N57).KU₃~a|
𒢥	o0900873	128A5	GISAL~a
󲺺	o0902679	F2EBA	|ZATU737×ŠITA~b1@g|
󲴣	o0900805	F2D23	|GEŠTU~a×ŠE~a@t|
𒥿	o0901184	1297F	LA₂
𒩎	o0901537	12A4E	|NINDA₂×(AN.X)|
𒝀	o0900258	12740	DARA₄~c5
𒙧	o0903078	12667	9(N34@f)
󰂰	o0903516	F00B0	9(N34@f)~1
𒜷	o0900247	12737	|DARA₃~d×(KAR₂.ŠE~a)|
𒡮	o0900787	1286E	GARA₂~b
𒪗	o0901647	12A97	PIRIG~a3
󳁊	o0901820	F304A	|SILA₃~a×MUD₃~b|
𒟌	o0900506	127CC	|E₂~a×3(N58)|
𒚜	o0900029	1269C	|AB~a×SUKKAL|
𒢛	o0900856	1289B	GIR₂~b
𒝝	o0900309	1275D	DU₈~c@g
𒝞	o0900310	1275E	DU₈~c@g~1
𒲃	o0902394	12C83	UŠUMGAL
𒸐	o0903287	12E10	|3(N58).UR₃~b1|
𒞈	o0900381	12788	|DUG~b×KUR~a|
𒵟	o0902670	12D5F	|ZATU737×NIMGIR|
𒣀	o0900914	128C0	GU₄@g
󳃜	o0903735	F30DC	GU₄@g~1
𒤀	o0901005	12900	IN~b
𒤁	o0901006	12901	IN~b~1
𒮎	o0902034	12B8E	|ŠU×1(N58)|
𒤰	o0901073	12930	KAR₂~a
𒬄	o0901852	12B04	|SILA₃~a×ZATU629|
𒨗	o0901455	12A17	|NAGA~a×TAK₄~a|
𒨾	o0901502	12A3E	NI~b
𒞚	o0900437	1279A	|DUG~b×(ŠE~a.NAM₂)|
𒫓	o0901753	12AD3	SIG₂~a3
𒫔	o0901754	12AD4	SIG₂~a3~1
𒫕	o0901755	12AD5	SIG₂~a3~2
𒧅	o0901325	129C5	MAH~a
𒥍	o0901111	1294D	KIR₁₁
𒳚	o0902506	12CDA	ZATU659
𒷇	o0902787	12DC7	ZATU820
𒱺	o0902381	12C7A	URUDU@g~c
