228	GIBIL₆	GIBIL₆	o0900841	𒢒
228	GIR~a	GIR~a	o0900845	𒢓
228	GIR~b	GIR~b	o0900846	𒢕
229	GIR~c	GIR~c	o0900848	𒢘
229	GIR~b+GIR~b	|GIR~b~v1.GIR~b~v1|	o0900851	𒢗
229	GIR₂~a	GIR₂~a	o0900855	𒢚
229	GIR₃~a	GIR₃~a	o0900858	𒢜
230	GIR₃~c	GIR₃~c	o0900860	𒢟
230	GIR₃~c+ŠE₃	|GIR₃~c×ŠE₃~v1|	o0900866	𒢡
230	GIR₃@g~a	GIR₃@g~a	o0900869	𒢢
230	GIŠ	GIŠ	o0900875	𒢧
233	GIŠ+DIN+DIN~c	|(GIŠ×(DIN.DIN))~a|	o0900879	𒢩
233	GIŠ+ŠU₂~a	|GIŠ×ŠU₂~a|	o0900883	𒢬
234	GIŠ+ŠU₂~b	|GIŠ×ŠU₂~b|	o0900884	𒢭
234	GIŠ@t	GIŠ@t	o0900885	𒢮
234	GIŠ₃~b	GIŠ₃~b	o0900890	𒢱
234	GIŠ₃~a+GIŠ₃~a	|GIŠ₃~a&GIŠ₃~a|	o0900892	𒢰
234	GIŠGAL	GIŠGAL~v1	o0900894	𒢳
234	GIŠIMMAR~a2	GIŠIMMAR~a2	o0900897	𒢵
234	GIŠIMMAR~b1	GIŠIMMAR~b1	o0900899	𒢷
235	GU~a	GU	o0900906	𒢼
235	GU₂	GU₂	o0900907	𒢽
235	GU₄	GU₄~v1	o0900909	𒣁
236	GUB₃~a	GUB₃~a	o0900916	𒣄
236	GUB₃~b	GUB₃~b	o0900917	𒣅
236	GUG₂~a	GUG₂~v1	o0900921	𒣊
236	GUKKAL~c	GUKKAL~c	o0900931	𒣐
236	GUL	GUL	o0900935	𒣒
236	GUM~b	GUM~b	o0900938	𒣔
236	GUM@n~b	GUM~b@n	o0900941	𒣕
237	GUN₃~b	GUN₃~b	o0900945	𒣙
237	GUR	GUR	o0900946	𒣚
237	GURUŠ~a	GURUŠ~a	o0900948	𒣛
237	GURUŠ~a+2(N14)	|GURUŠ~a×2(N14)|	o0900952	𒣜
237	GURUŠDA~a	GURUŠDA	o0900955	𒣡
237	HAL	HAL	o0900956	𒣢
237	HALUB	HALUB	o0900957	𒣣
237	HAŠHUR	HAŠHUR	o0900958	𒣤
238	HAŠHUR+MA	|HAŠHUR×MA|	o0900959	𒣥
238	HI	HI~b	o0900961	𒣦
239	HI+SUHUR	|HI.SUHUR~v1|	o0900963	𒣨
238	HI+AŠ~b	|HI×1(N57)|	o0900968	𒣬
239	HI@g~b	HI@g~b	o0900977	𒣱
239	I	I	o0900981	𒣳
239	IB~a	IB~a	o0900983	𒣴
239	IB~b	IB~b	o0900984	𒣶
239	IDIGNA	IDIGNA~v1	o0900989	𒣸
240	ILDUM~b	ILDUM~b	o0900998	𒣽
240	IM~a	IM~a	o0901000	𒣾
240	IM~b	IM~b	o0901001	𒣿
240	IN~b	IN~b	o0901005	𒤀
241	IR~a	IR~a	o0901009	𒤃
241	IR~b	IR~b	o0901010	𒤅
241	IŠ~a	IŠ~a	o0901020	𒤋
241	IŠ~b	IŠ~b	o0901022	𒤍
242	KA~a	KA~a	o0901030	𒤔
242	KA~a+SAR~a	|KA~a×SAR~a|	o0901036	𒤕
242	KA₂+LAM	|KA₂~d×LAM~b~v2|	o0901043	𒤛
242	KAB	KAB	o0901044	𒤜
243	KAD₄~a	KAD₄~a	o0901047	𒤞
243	KAD₄~b	KAD₄~b	o0901048	𒤟
243	KAK~a	KAK~a	o0901052	𒤢
243	KAK~a+GA₂~a1	|KAK~a.GA₂~a1|	o0901055	𒤣
