serial	char	cdli	ap23-name	action	comment	pcsl	new-name	new-code	sort	components
144	𒘓	2(LAGAB~a)	TWO-LAGAB-A	ignore		2(LAGAB~a)			1960	
145	𒘔	3(N01)	THREE-N1	ignore		3(N01)			2160	
146	𒘕	3(N01@f)	THREE-N1 FLAT	ignore		3(N01@f)			2161	
147	𒘖	3(N02)	THREE-N2	ignore		3(N02)			2180	
148	𒘗	3(N03)	THREE-N3	ignore		3(N03)			2189	
149	𒘘	3(N04)	THREE-N4	ignore		3(N04)			2197	
150	𒘙	3(N04@f)	THREE-N4 FLAT	ignore		3(N04@f)			2198	
151	𒘚	3(N05)	THREE-N5	ignore		3(N05)			2205	
152	𒘛	3(N07~a)	THREE-N7-A	ignore		3(N07~a)			2216	
153	𒘜	3(N07~b)	THREE-N7-B	ignore		3(N07~b)			2217	
154	𒘝	3(N08)	THREE-N8	ignore		3(N08)			2225	
155	𒘞	3(N08~b)	THREE-N8-B	ignore		3(N08~b)			2227	
156	𒘟	3(N14)	THREE-N14	ignore		3(N14)			2245	
157	𒘠	3(N14@f)	THREE-N14 FLAT	ignore		3(N14@f)			2246	
158	𒘡	3(N15)	THREE-N15	ignore		3(N15)			2268	
159	𒘢	3(N18)	THREE-N18	ignore		3(N18)			2275	
160	𒘣	3(N19)	THREE-N19	ignore		3(N19)			2287	
161	𒘤	3(N19@f)	THREE-N19 FLAT	ignore		3(N19@f)			2288	
162	𒘥	3(N20)	THREE-N20	ignore		3(N20)			2304	
163	𒘦	3(N21)	THREE-N21	ignore		3(N21)			2312	
164	𒘧	3(N23)	THREE-N23	ignore		3(N23)			2323	
165	𒘨	3(N34)	THREE-N34	ignore		3(N34)			2376	
166	𒘩	3(N34@f)	THREE-N34 FLAT	ignore		3(N34@f)			2377	
167	𒘪	3(N36)	THREE-N36	ignore		3(N36)			2396	
168	𒘫	3(N39~a)	THREE-N39-A	ignore		3(N39~a)			2415	
169	𒘬	3(N39~b)	THREE-N39-B	ignore		3(N39~b)			2416	
170	𒘭	3(N40)	THREE-N40	ignore		3(N40)			2424	
171	𒘮	3(N41)	THREE-N41	ignore		3(N41)			2428	
172	𒘯	3(N42~a)	THREE-N42-A	ignore		3(N42~a)			2437	
173	𒘰	3(N42~b)	THREE-N42-B	ignore		3(N42~b)			2438	
174	𒘱	3(N45)	THREE-N45	ignore		3(N45)			2451	
175	𒘲	3(N45@f)	THREE-N45 FLAT	ignore		3(N45@f)			2452	
176	𒘳	3(N46)	THREE-N46	ignore		3(N46)			2468	
177	𒘴	3(N47)	THREE-N47	ignore		3(N47)			2471	
