id_text	designation	provenience	museum_no	excavation_no	accession_no	primary_publication	publication_history	genre	subgenre	period
P001546	ATU 5, pl. 101, W 9656,eb	Uruk (mod. Warka)	VA 13621	W 09656,eb		ATU 5, pl. 101, W 9656,eb	UVB 4 (p)	Administrative		Uruk V
P001547	ATU 5, pl. 101, W 9656,ec	Uruk (mod. Warka)	VA 13633	W 09656,ec		ATU 5, pl. 101, W 9656,ec		Administrative		Uruk V
P001548	ATU 5, pl. 101, W 9656,ed	Uruk (mod. Warka)	VAT 21288	W 09656,ed		ATU 5, pl. 101, W 9656,ed		Administrative		Uruk V
P001549	ATU 5, pl. 101, W 9656,ee	Uruk (mod. Warka)	VA 13633	W 09656,ee		ATU 5, pl. 101, W 9656,ee		Administrative		Uruk V
P001690	ATU 5, pl. 119, VAT 17821	Uruk (mod. Warka)	VAT 17821	W — ?		ATU 5, pl. 119, VAT 17821		Administrative		Uruk V
P005067	ATU 5, pl. 121, 1851-1-1, 217	Uruk (mod. Warka)	BM —		1851-01-01, 0217	ATU 5, pl. 121, 1851-1-1, 217	Reade, Julian, Fs Strommenger (1992) 177-179 + plate 79	Administrative		Uruk V
P005303	MSVO 1, 236	uncertain (mod. Jemdet Nasr)	IM 132906	Ashm 1926,632		MSVO 1, 236	unpublished	Administrative		Uruk V
P005304	MSVO 1, 237	uncertain (mod. Jemdet Nasr)	Ashm 1926-0634	Ashm 1926,634		MSVO 1, 237	unpublished	Administrative		Uruk V
P009448	Iran 13, 009 02	uncertain (mod. Godin Tepe)	unknown	Gd 73-295		Iran 13, 009 02	Before Writing 1, fig. 115	Administrative		Uruk V
P235754	Fs Kraus 012-025, no. 01	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 74-019		Fs Kraus 012-025, no. 01	Phoenix 23 (1977) 62 no. 01	Administrative		Uruk V
P235755	Fs Kraus 012-025, no. 02	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 74-020		Fs Kraus 012-025, no. 02	Phoenix 23 (1977) 62 no. 02	Administrative		Uruk V
P235756	Fs Kraus 012-025, no. 03	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 74-021		Fs Kraus 012-025, no. 03	Phoenix 23 (1977) 62 no. 03	Administrative		Uruk V
P235757	Fs Kraus 012-025, no. 04	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 74-024		Fs Kraus 012-025, no. 04	Phoenix 23 (1977) 62 no. 04	Administrative		Uruk V
P235758	Fs Kraus 012-025, no. 05	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 74-025		Fs Kraus 012-025, no. 05	Phoenix 23 (1977) 62 no. 05	Administrative		Uruk V
P235759	Fs Kraus 012-025, no. 06	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 75-104		Fs Kraus 012-025, no. 06	Phoenix 23 (1977) 62 no. 06	Administrative		Uruk V
P235760	Fs Kraus 012-025, no. 07	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 75-105		Fs Kraus 012-025, no. 07	Phoenix 23 (1977) 62 no. 07	Administrative		Uruk V
P235761	Fs Kraus 012-025, no. 08	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 75-106		Fs Kraus 012-025, no. 08	Phoenix 23 (1977) 62 no. 08	Administrative		Uruk V
P235762	Fs Kraus 012-025, no. 09	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 75-107		Fs Kraus 012-025, no. 09	Phoenix 23 (1977) 62 no. 09	Administrative		Uruk V
P235763	Fs Kraus 012-025, no. 10	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 75-123		Fs Kraus 012-025, no. 10	Phoenix 23 (1977) 62 no. 10	Administrative		Uruk V
P235764	Fs Kraus 012-025, no. 11	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 75-119		Fs Kraus 012-025, no. 11	Phoenix 23 (1977) 62 no. 11	Administrative		Uruk V
P235765	Fs Kraus 012-025, no. 12	uncertain (mod. Jebel Aruda)	NMSR — ?	JA 78-526		Fs Kraus 012-025, no. 12	Phoenix 23 (1977) 62 no. 12	Administrative		Uruk V
P235767	Syria 42, 012	Mari (mod. Tell Hariri)	NMSD — ?		T 084	Syria 42, 012	Syria 42 (1965) 12	Administrative		Uruk V
P235768	OIM A21310	Tutub (mod. Khafaje)	OIM A21310	Kh 05 338		unpublished unassigned ?	OIC 20 (1936) 025; OIP 63, 028-029, 34; OIP 88, 279, 25-26, pl. 2	Administrative	numerical tablet	Uruk V
P235769	BagM 14, 034	Nineveh (mod. Kuyunjik)	unknown			BagM 14, 034	BagM 14, 34	Administrative		Uruk V
P235770	Before Writing fig. 88	uncertain (mod. Habuba Kabira)	NMSDeZ — ?			Before Writing fig. 88	M II 127	Administrative		Uruk V
P249252	Fs Kraus 012-025, no. 13	uncertain (mod. Jebel Aruda)	NMSR — ?	JA —		Fs Kraus 012-025, no. 13		Administrative		Uruk V
P252149	MS 3140	uncertain (mod. uncertain)	MS 3140			unpublished assigned		Administrative		Uruk V
P252150	MS 3141	uncertain (mod. uncertain)	MS 3141			unpublished assigned		Administrative		Uruk V
P252151	MS 3142	uncertain (mod. uncertain)	MS 3142			unpublished assigned		Administrative		Uruk V
P252152	MS 3143	uncertain (mod. uncertain)	MS 3143			unpublished assigned		Administrative		Uruk V
P252153	MS 3144	uncertain (mod. uncertain)	MS 3144			unpublished assigned		Administrative		Uruk V
P252154	MS 3145	uncertain (mod. uncertain)	MS 3145			unpublished assigned		Administrative		Uruk V
P252155	MS 3146	uncertain (mod. uncertain)	MS 3146			unpublished assigned		Administrative		Uruk V
P252156	MS 3147/1	uncertain (mod. uncertain)	MS 3147/1			unpublished assigned		Administrative		Uruk V
P252157	MS 3147/2	uncertain (mod. uncertain)	MS 3147/2			unpublished assigned		Administrative		Uruk V
P252158	MS 3147/3	uncertain (mod. uncertain)	MS 3147/3			unpublished assigned		Administrative		Uruk V
P252159	MS 3148	uncertain (mod. uncertain)	MS 3148			unpublished assigned		Administrative		Uruk V
P283931	Before Writing fig. 87	uncertain (mod. Habuba Kabira)	NMSDeZ — ?			Before Writing fig. 87	M II 128	Administrative		Uruk V
P283932	M II 130	uncertain (mod. Habuba Kabira)	NMSDeZ — ?			M II 130		Administrative		Uruk V
P283933	unknown	uncertain (mod. Godin Tepe)	unknown	Gd 73-291		unpublished unassigned ?	Before Writing 1, fig. 84	Administrative		Uruk V
P325364	CUSAS 01, 003	uncertain (mod. uncertain)	CUNES 51-02-003			CUSAS 01, 003		School		Uruk V
P342626	MW 0188/135	uncertain (mod. uncertain)	MW 0188/135			unpublished assigned		Administrative		Uruk V
P342627	MW 0188/136	uncertain (mod. uncertain)	MW 0188/136			unpublished assigned		Administrative		Uruk V
P387697	CUSAS 31, 003	uncertain (mod. uncertain)	Anonymous 387697			CUSAS 31, 003		Administrative		Uruk V
