id_text	primary_publication	publication_history
P000084	CDLI Lexical 000002, ex. 090	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15895,ak
P000085	CDLI Lexical Archaic Unidentified, ex. 015	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,am
P000086	CDLI Lexical Archaic Unidentified, ex. 016	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,an
P000087	CDLI Lexical 000002, ex. 116	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 017, W 15895,ao
P000088	CDLI Lexical 000002, ex. 069	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15895,ap
P000090	CDLI Lexical 000023, ex. 045	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 060, W 15895,ar
P000091	CDLI Lexical 000002, ex. 137	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 019, W 15895,as
P000092	CDLI Lexical Archaic Unidentified, ex. 017	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,at
P000093	CDLI Lexical 000023, ex. 002	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 054, W 15895,au
P000094	CDLI Lexical Archaic Unidentified, ex. 018	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,av
P000095	CDLI Lexical 000002, ex. 152	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 021, W 15895,aw
P000096	CDLI Lexical Archaic Unidentified, ex. 019	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,ax
P000097	CDLI Lexical 000023, ex. 032	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 058, W 15895,ay
P000098	CDLI Lexical 000023, ex. 038	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 059, W 15895,az+
P000099	CDLI Lexical 000002, ex. 070	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15895,ba
P000100	CDLI Lexical 000030, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 044, W 15895,bb
P000101	CDLI Lexical 000002, ex. 081	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 013, W 15895,bc
P000102	CDLI Lexical 000002, ex. 071	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 012, W 15895,bd
P000103	CDLI Lexical 000026, ex. 027	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 072, W 15895,be
P000104	CDLI Lexical 000023, ex. 052	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 061, W 15895,bf
P000105	CDLI Lexical 000002, ex. 153	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 021, W 15895,bi
P000106	CDLI Lexical 000002, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 001, W 15895,bk
P000107	CDLI Lexical 000002, ex. 154	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 021, W 15895,bm
P000108	CDLI Lexical 000002, ex. 143	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 020, W 15895,bn
P000109	CDLI Lexical 000002, ex. 091	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15895,bo
P000110	CDLI Lexical Archaic Unidentified, ex. 020	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,bp
P000111	CDLI Lexical 000030, ex. 012	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 047, W 15895,bq
P000113	CDLI Lexical 000023, ex. 033	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 058, W 15895,bs
