BIR₃~a~v1	1274B
BIR₃~b	1274C
BIR₃~b~v1	1274D
BIR₃~c	1274E
BU~a	1274F
BU~a~v1	12750
BU~b	12751
BU₃	12752
BULUG	12753
BULUG₃	12754
BUR~a	12755
BUR~b	12756
BUR~c	12757
BUR~d	12758
BUR₂	12759
DA~a	1275A
DA~b	1275B
DA~c	1275C
DA~d	1275D
DAG	1275E
DAH	1275F
DAM	12760
DANNA	12761
DAR~a	12762
DAR~b	12763
DAR~c	12764
DAR~d	12765
DARA₃~a	12766
DARA₃~b	12767
DARA₃~c	12768
DARA₃~c~v1	12769
DARA₃~d	1276A
DARA₄~a1	1276B
DARA₄~a2	1276C
DARA₄~a3	1276D
DARA₄~b	1276E
DARA₄~c1	1276F
DARA₄~c2	12770
DARA₄~c3	12771
DARA₄~c4	12772
DARA₄~c5	12773
DI	12774
DI@t	12775
DIB	12776
DIB~v1	12777
DILMUN	12778
DILMUN~v1	12779
DILMUN~v2	1277A
DIM~a	1277B
DIM~b	1277C
DIM~c	1277D
DIN	1277E
DIN@t	1277F
DU	12780
DU@g	12781
DU₆~a	12782
DU₆~a~v1	12783
DU₆~b	12784
DU₆~c	12785
DU₇	12786
DU₈~a	12787
DU₈~b	12788
DU₈~b~v1	12789
DU₈~c	1278A
DU₈~c@g	1278B
DU₈~c@g~v1	1278C
DUB~a	1278D
DUB~b	1278E
DUB~b~v1	1278F
DUB~b~v2	12790
DUB~b~v3	12791
DUB~b~v4	12792
DUB~c	12793
DUB~d	12794
DUB~e	12795
DUB~f	12796
DUB₂	12797
DUG~a	12798
DUG~a~v1	12799
DUG~a~v2	1279A
DUG~b	1279B
DUG~b~v1	1279C
DUG~c~v1	1279D
DUG~c~v3	1279E
DUG~c@t	1279F
DUG~d	127A0
DUGUD	127A1
DUR~a	127A2
DUR~b	127A3
DUR₂	127A4
E~a	127A5
E~b	127A6
E~c	127A7
E~d	127A8
E~e	127A9
E₂~a	127AA
E₂~b	127AB
E₂~c	127AC
E₂~d	127AD
E₃~a	127AE
E₃~b	127AF
EDIN	127B0
EN~a	127B1
EN~a~v1	127B2
EN~a~v2	127B3
EN~a~v3	127B4
EN~b	127B5
EN~b~v1	127B6
EN~b@t	127B7
EN~c	127B8
EN~c~v1	127B9
EN~e	127BA
EN@g~a	127BB
EN@g~b	127BC
EN₂	127BD
ENDIB	127BE
ENGIZ	127BF
ENKUM	127C0
ENKUM~v1	127C1
ENLIL	127C2
ENSI	127C3
ENSI₂	127C4
ERIM~a	127C5
ERIM~b1	127C6
ERIM~b2	127C7
ERIM₂	127C8
ERIN	127C9
EŠDA	127CA
EŠGAR	127CB
EZEN~a	127CC
EZEN~a~v1	127CD
EZEN~b	127CE
EZEN~b@t	127CF
EZEN~c	127D0
EZINU~a	127D1
EZINU~b	127D2
EZINU~c	127D3
EZINU~d	127D4
GA~a	127D5
GA~a~v1	127D6
GA~a~v2	127D7
GA~a~v3	127D8
GA~a~v4	127D9
GA~b	127DA
GA~c	127DB
GA₂~a1	127DC
GA₂~a2	127DD
GA₂~a3	127DE
GA₂~a4	127DF
GA₂~b	127E0
GA₂~c	127E1
GAʾAR~a1	127E2
GAʾAR~a2	127E3
GAʾAR~b1	127E4
GAʾAR~b2	127E5
GADA~a	127E6
GADA~b	127E7
GADA~b@g	127E8
GAL~a	127E9
GAL~b	127EA
GALGA~a	127EB
GALGA~b	127EC
GAN~a	127ED
GAN~a~v1	127EE
GAN~b	127EF
GAN~b~v1	127F0
GAN~b~v2	127F1
GAN~b~v3	127F2
GAN~c	127F3
GAN~c~v1	127F4
GAN~d	127F5
GAN₂	127F6
GAR	127F7
GAR@g~a	127F8
GAR@g~b	127F9
GAR@g~c	127FA
GAR₃	127FB
GARA₂~a	127FC
GARA₂~b	127FD
GAZI	127FE
GEŠTIN~a	127FF
GEŠTIN~c	12800
GEŠTU~a	12801
GEŠTU~a~v1	12802
GEŠTU~a~v2	12803
GEŠTU~b	12804
GEŠTU~c3	12805
GEŠTU~c3~v1	12806
GEŠTU~c5	12807
GI	12808
GI~v1	12809
GI@t	1280A
GI₄~a	1280B
GI₄~b	1280C
GI₆	1280D
GI₆~v1	1280E
GIBIL	1280F
GIBIL@t	12810
GIBIL₆	12811
GIG	12812
GIL	12813
GIR~a	12814
GIR~b	12815
GIR~b~v1	12816
GIR~c	12817
GIR~d	12818
GIR₂~a	12819
GIR₂~b	1281A
GIR₃~a	1281B
GIR₃~b	1281C
GIR₃~c	1281D
GIR₃@g~a	1281E
GIR₃@g~b	1281F
GIR₃@g~c	12820
GIR₄	12821
GISAL~a	12822
GISAL~b	12823
GIŠ	12824
GIŠ~v	12825
GIŠ@t	12826
GIŠ₃~a	12827
GIŠ₃~b	12828
GIŠGAL	12829
GIŠGAL~v1	1282A
GIŠIMMAR~a1	1282B
GIŠIMMAR~a2	1282C
GIŠIMMAR~a3	1282D
GIŠIMMAR~b1	1282E
GIŠIMMAR~b1~v1	1282F
GIŠIMMAR~b1~v2	12830
GIŠIMMAR~b3	12831
GIZZAL~v	12832
GU	12833
GU₂	12834
GU₄	12835
GU₄~v1	12836
GU₄@g	12837
GU₇	12838
GU₇~v1	12839
GUB₃~a	1283A
GUB₃~b	1283B
GUB₃~c	1283C
GUB₃~d	1283D
GUG₂	1283E
GUG₂~v1	1283F
GUG₂@t	12840
GUKKAL~a	12841
GUKKAL~b	12842
GUKKAL~c	12843
GUKKAL~d	12844
GUL	12845
GUM~a	12846
GUM~b	12847
GUM~b~v1	12848
GUM~b@n	12849
GUM~b@n~v1	1284A
GUN₃~a	1284B
GUN₃~b	1284C
GUR	1284D
GURUŠ~a	1284E
GURUŠ~a~v1	1284F
GURUŠ~b	12850
GURUŠDA	12851
HAL	12852
HALUB	12853
HAŠHUR	12854
HI	12855
HI@g~a	12856
HI@g~b	12857
HI@g~c	12858
HUB₂	12859
I	1285A
IB~a	1285B
IB~a@n	1285C
IB~b	1285D
IDIGNA	1285E
IDIGNA~v1	1285F
IG~a	12860
IG~b	12861
IGI	12862
IL	12863
ILDUM~a	12864
ILDUM~b	12865
IM~a	12866
IM~a@g	12867
IM~b	12868
IN~b	12869
IN~b~v1	1286A
IN~d	1286B
IR~a	1286C
IR~b	1286D
IR~c	1286E
IR~d	1286F
IR₁₁	12870
IR₁₁~v1	12871
IRHAN	12872
IŠ~a	12873
IŠ~a~v1	12874
IŠ~b	12875
IŠ~b~v1	12876
IŠ~b~v2	12877
IŠ~b~v3	12878
IŠ~b~v4	12879
IŠ~b~v5	1287A
IŠ~c	1287B
KA~a	1287C
KA₂~a	1287D
KA₂~b	1287E
KA₂~c	1287F
KA₂~d	12880
KAB	12881
KAD₄~a	12882
KAD₄~b	12883
KAD₄~c1	12884
KAD₄~c2	12885
KAK~a	12886
KAK~b	12887
KAL~a	12888
KAL~b1	12889
KAL~b1~v1	1288A
KAL~b2	1288B
KALAM~a	1288C
KALAM~b	1288D
KALAM~c	1288E
KALAM~d	1288F
KALAM~e	12890
KALAM~f	12891
KAR	12892
KAR₂~a	12893
KAR₂~b	12894
KAŠ~a	12895
KAŠ~a~v1	12896
KAŠ~b	12897
KAŠ~b~v1	12898
KAŠ~b@t	12899
KAŠ~c	1289A
KAŠ~d	1289B
KASKAL	1289C
KASKAL@g	1289D
KEŠ₂	1289E
KI	1289F
KI@n	128A0
KIB	128A1
KIB@g	128A2
KID~a	128A3
KID~b	128A4
KID~c	128A5
KID~d	128A6
KID~e	128A7
KIN	128A8
KIN₂~a	128A9
KIN₂~c	128AA
KIN₂~d	128AB
KIN₂~e	128AC
KINGAL	128AD
KINGAL~v1	128AE
KIR₁₁	128AF
KISAL~a1	128B0
KISAL~a2	128B1
KISAL~b1	128B2
KISAL~b2	128B3
KISAL~b2@t	128B4
KISAL~b3	128B5
KIŠ	128B6
KIŠ~v1	128B7
KIŠIK~a	128B8
KIŠIK~b	128B9
KISIM~a	128BA
KISIM~b	128BB
KISIM~b~v1	128BC
KISIM~b~v2	128BD
KISIM~b~v3	128BE
KISIM~c	128BF
KITI	128C0
KITI~v1	128C1
KU~a	128C2
KU~a@t	128C3
KU~b1	128C4
KU~b2	128C5
KU₃~a	128C6
KU₃~c	128C7
KU₆~a	128C8
KU₆~a@s	128C9
KU₆~c	128CA
KU₆~d	128CB
KUN	128CC
KUR~a	128CD
KUR~b	128CE
KUR~c	128CF
KUR~c~v1	128D0
KUR~d	128D1
KUR@g~a	128D2
KUR@g~b	128D3
KUŠU₂~a	128D4
KUŠU₂~b	128D5
KUŠU₂~c	128D6
KUŠU₂~d	128D7
KUŠU₂~e	128D8
KUŠU₂~f	128D9
LA~b	128DA
LA~c	128DB
LA~d	128DC
LA~e	128DD
LA₂	128DE
LAGAB~a	128DF
LAGAB~b	128E0
LAGAR~a	128E1
LAGAR~a@r	128E2
LAGAR~b1	128E3
LAGAR~b2	128E4
LAGAR~c	128E5
LAHTAN₂	128E6
LAK025	128E7
LAK050	128E8
LAK172	128E9
LAK251	128EA
LAK350	128EB
LAK777	128EC
LAL₂~a	128ED
LAL₂~b	128EE
LAL₃~a	128EF
LAL₃~b	128F0
LAL₃~c	128F1
LAM~a	128F2
LAM~b	128F3
LAM~b~v1	128F4
LAM~b~v2	128F5
LAM~b@t	128F6
LAM~b@s	128F7
LAM~b@r	128F8
LAM~c	128F9
LI	128FA
LI~v1	128FB
LIŠ	128FC
LU₂	128FD
LU₂~v1	128FE
LU₂~v2	128FF
LU₂@t	12900
LUGAL	12901
LUGAL~v1	12902
LUM	12903
MA	12904
MA~v1	12905
MA₂	12906
MAGUR~a	12907
MAGUR~b	12908
MAH~a	12909
MAH~b	1290A
MAR~a	1290B
MAR~a~v1	1290C
MAR~a@t	1290D
MAR~b	1290E
MAŠ	1290F
MAŠ₂	12910
MAŠ₂@g	12911
ME~a	12912
ME~b	12913
ME₃	12914
MEN~a	12915
MEN~a~v1	12916
MEN~b	12917
MES	12918
MES~v1	12919
MIR~a	1291A
MIR~b	1291B
MU	1291C
MUD	1291D
MUD~v1	1291E
MUD₃~a	1291F
MUD₃~a@g	12920
MUD₃~b	12921
MUD₃~c	12922
MUD₃~d	12923
MUL	12924
MUN~a1	12925
MUN~a2	12926
MUN~a3	12927
MUN~a4	12928
MUN~b	12929
MUNŠUB~a	1292A
MUNŠUB~b	1292B
MUNU₃	1292C
MURUB₂	1292D
MUŠ	1292E
MUŠ₃~a	1292F
MUŠ₃~a~v1	12930
MUŠ₃~a~v2	12931
MUŠ₃~a@g	12932
MUŠ₃~a@g~v1	12933
MUŠ₃~b	12934
MUŠEN	12935
NA~a	12936
NA~b	12937
NA~c	12938
NA~d	12939
NA₂~a	1293A
NA₂~a~v1	1293B
NA₂~b1	1293C
NA₂~b2	1293D
NAB	1293E
NAB~v1	1293F
NAB~v2	12940
NAGA~a	12941
NAGA~b	12942
NAGAR~a	12943
NAGAR~a~v1	12944
NAGAR~a~v2	12945
NAGAR~a~v3	12946
NAGAR~b	12947
NAGAR~b~v1	12948
NAM~a	12949
NAM~b	1294A
NAM~c	1294B
NAM~d	1294C
NAM₂	1294D
NAM₂@t	1294E
NAM₂@g	1294F
NAMEŠDA	12950
NAMEŠDA~v1	12951
NANNA~a	12952
NANNA~a~v1	12953
NANNA~b	12954
NANŠE~a	12955
NANŠE~b	12956
NAR	12957
NE~a	12958
NE~a~v1	12959
NE~a~v2	1295A
NE~b	1295B
NE~c	1295C
NE~d	1295D
NERGAL~v	1295E
NESAG₂~a	1295F
NESAG₂~a1	12960
NESAG₂~b	12961
NESAG₂~b~v1	12962
NESAG₂~b@t	12963
NI~a	12964
NI~a@g	12965
NI~b	12966
NI₂	12967
NIGIN	12968
NIM~a	12969
NIM~b1	1296A
NIM~b2	1296B
NIM~b3	1296C
NIMGIR	1296D
NIMGIR~v1	1296E
NIN	1296F
NINDA₂	12970
NINDA₂~v1	12971
NINKUM	12972
NINLIL	12973
NIR~a	12974
NIR~b	12975
NU	12976
NU@g	12977
NU₁₁	12978
NU₁₁@t	12979
NUMUN	1297A
NUMUN₂	1297B
NUN~a	1297C
NUN~b	1297D
NUN~c	1297E
NUN~c~v1	1297F
NUN~c~v2	12980
NUN~c~v3	12981
NUN~d	12982
NUNUZ~a0	12983
NUNUZ~a1	12984
NUNUZ~a1@t	12985
NUNUZ~a2	12986
NUNUZ~b1	12987
NUNUZ~b2	12988
NUNUZ~c	12989
NUNUZ~c~v1	1298A
NUNUZ~c~v2	1298B
