126C6	8(N45@f)	o0903151	EIGHT-N45 FLAT
126C7	8(N51)	o0903195	EIGHT-N51
126C8	8(N51@f)	o0903186	EIGHT-N51 FLAT
126C9	8(N57)	o0903275	EIGHT-N57
126CA	8(N58)	o0903290	EIGHT-N58
126CB	9(N01)	o0902866	NINE-N1
126CC	9(N01)~v1	o0902867	NINE-N1 VARIANT 1
126CD	9(N01@f)	o0902856	NINE-N1 FLAT
126CE	9(N02)	o0902878	NINE-N2
126CF	9(N08)	o0902923	NINE-N8
126D0	9(N14)	o0902940	NINE-N14
126D1	9(N14@f)	o0902953	NINE-N14 FLAT
126D2	9(N18)	o0902970	NINE-N18
126D3	9(N18)~v1	o0902971	NINE-N18 VARIANT 1
126D4	9(N19)	o0902980	NINE-N19
126D5	9(N19)~v1	o0902981	NINE-N19 VARIANT 1
126D6	9(N19@f)	o0902990	NINE-N19 FLAT
126D7	9(N20)	o0902999	NINE-N20
126D8	9(N34)	o0903068	NINE-N34
126D9	9(N34@f)	o0903078	NINE-N34 FLAT
126DA	9(N36)	o0903090	NINE-N36
126DB	9(N45)	o0903143	NINE-N45
126DC	9(N45@f)	o0903152	NINE-N45 FLAT
126DD	9(N51@f)	o0903187	NINE-N51 FLAT
126DE	9(N57)	o0903278	NINE-N57
126DF	9(N58)	o0903291	NINE-N58
126E0	10(N01)	o0902868	TEN-N1
126E1	10(N14)	o0902941	TEN-N14
126E2	10(N14@f)	o0902954	TEN-N14 FLAT
126E3	10(N57)	o0903279	TEN-N57
126E4	10(N58)	o0903292	TEN-N58
126E5	12(N14)	o0902943	TWELVE-N14
126E6	12(N58)	o0903293	TWELVE-N58
126E7	A	o0900000	A
126E8	A@t	o0900009	A TENU
126E9	A@g	o0900008	A GUNU
126EA	A₂	o0900010	A2
126EB	AB~a	o0900012	AB-A
126EC	AB~a~v1	o0900013	AB-A VARIANT 1
126ED	AB~a@g	o0900040	AB-A GUNU
126EE	AB~b	o0900014	AB-B
126EF	AB₂	o0900041	AB2
126F0	AB₂~v1	o0900042	AB2 VARIANT 1
126F1	ABGAL	o0900047	ABGAL
126F2	ABGAL~v1	o0900048	ABGAL VARIANT 1
126F3	ABRIG	o0900049	ABRIG
126F4	ABZU	o0900050	ABZU
126F5	AD~a	o0900053	AD-A
126F6	AD~b	o0900054	AD-B
126F7	AD~c	o0900055	AD-C
126F8	ADAB	o0900056	ADAB
126F9	ADDA	o0900058	ADDA
126FA	ADDA@t	o0900059	ADDA TENU-2
126FB	AGAR₂	o0900060	AGAR2
126FC	AK~a	o0900062	AK-A
126FD	AK~b	o0900063	AK-B
126FE	AL	o0900064	AL
126FF	ALAN~a	o0900066	ALAN-A
12700	ALAN~b	o0900067	ALAN-B
12701	ALAN~c	o0900068	ALAN-C
12702	ALAN~d	o0900069	ALAN-D
12703	ALAN~e	o0900070	ALAN-E
12704	ALAN~f	o0900071	ALAN-F
12705	ALIM	o0900072	ALIM
12706	AM~a	o0900074	AM-A
12707	AM~b	o0900075	AM-B
12708	AMA~a	o0900077	AMA-A
12709	AMA~a~v1	o0900078	AMA-A VARIANT 1
1270A	AMA~b	o0900079	AMA-B
1270B	AMAR	o0900082	AMAR
1270C	AMAR~v1	o0900083	AMAR VARIANT 1
1270D	AMAR~v2	o0900084	AMAR VARIANT 2
1270E	AMAR@g	o0900088	AMAR GUNU
1270F	AN	o0900089	AN
12710	AN~v1	o0900090	AN VARIANT 1
12711	AN~v2	o0900091	AN VARIANT 2
