pcsl	cdli	cdli_fixed_flag	recommendation	encoding_status	unicode_codepoint	unicode_name
BARA₂~a	BARA2~a	False	keep	proposed	126FE	PROTO-CUNEIFORM SIGN BARA2-A
BARA₂~a~v1	BARA2~a	False	keep	proposed	126FF	PROTO-CUNEIFORM SIGN BARA2-A VARIANT 1
BARA₂~b	BARA2~b	False	keep	proposed	12700	PROTO-CUNEIFORM SIGN BARA2-B
BARA₂~b~v1	BARA2~b	False	keep	proposed	12701	PROTO-CUNEIFORM SIGN BARA2-B VARIANT 1
BARA₃	BARA3	False	keep	proposed	12702	PROTO-CUNEIFORM SIGN BARA3
BAU405	UET2_405	False	remove	not_proposed		
BIR~a	BIR~a	False	keep	proposed	12703	PROTO-CUNEIFORM SIGN BIR-A
BIR~b	BIR~b	False	keep	proposed	12704	PROTO-CUNEIFORM SIGN BIR-B
BIR~c	BIR~c	False	keep	proposed	12705	PROTO-CUNEIFORM SIGN BIR-C
BIR₃~a	BIR3~a	False	keep	proposed	12706	PROTO-CUNEIFORM SIGN BIR3-A
BIR₃~a~v1	BIR3~a	False	keep	proposed	12707	PROTO-CUNEIFORM SIGN BIR3-A VARIANT 1
BIR₃~b	BIR3~b	False	keep	proposed	12708	PROTO-CUNEIFORM SIGN BIR3-B
BIR₃~b~v1	BIR3~b	False	keep	proposed	12709	PROTO-CUNEIFORM SIGN BIR3-B VARIANT 1
BIR₃~c	BIR3~c	False	keep	proposed	1270A	PROTO-CUNEIFORM SIGN BIR3-C
BU~a	BU~a	False	keep	proposed	1270B	PROTO-CUNEIFORM SIGN BU-A
|BU~a+DU₆~a|	|BU~a+DU6~a|	False	keep	proposed	1270C	PROTO-CUNEIFORM SIGN BU-A JOINING DU6-A
|BU~a+DU₆~a~v1|	|BU~a+DU6~a|	False	keep	proposed	1270D	PROTO-CUNEIFORM SIGN BU-A JOINING DU6-A VARIANT 1
|BU~a×GIŠ@t|	|BU~axGISZ@t|	False	keep	proposed	1270E	PROTO-CUNEIFORM SIGN BU-A TIMES GISH TENU
|BU~a×1(N58)|	|BU~ax1(N58)|	False	keep	proposed	1270F	PROTO-CUNEIFORM SIGN BU-A TIMES ONE-N58
|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA2~a|	False	keep	proposed	12710	PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-A
|(BU~a&BU~a).NA₂~a~v1|	|(BU~a&BU~a).NA2~a|	False	keep	proposed	12711	PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-A VARIANT 1
|(BU~a&BU~a).NA₂~b|	|(BU~a&BU~a).NA2~b|	False	delete	not_proposed		
