o0903149	7580	6(N45@f)	1269E	SIX-N45 FLAT	OOR		
o0903150	7581	7(N45@f)	126B4	SEVEN-N45 FLAT	OOR		
o0903151	7582	8(N45@f)	126C6	EIGHT-N45 FLAT	OOR		
o0903152	7583	9(N45@f)	126DC	NINE-N45 FLAT	OOR		
o0903155	7589	3(N46)	12633	THREE-N46	OOR		
o0903160	7596	3(N47)	12634	THREE-N47	OOR		
o0903166	7603	6(N48)	1269F	SIX-N48	OOR		
o0903167	7604	7(N48)	126B5	SEVEN-N48	OOR		
o0903168	7605	1(N48@f)	125D1	ONE-N48 FLAT	ADD		
o0903173	7610	5(N49)	12685	FIVE-N49	OOR		
o0903201	7643	3(N53)	1263B	THREE-N53	DNE		
o0903207	7651	1(N55)	125D8	ONE-N55	DNE ACN p.44; only attested on one tablet; interpretation unclear		
o0903210	7657	1(N57)	125DA	ONE-N57	PCE		
o0903222	7658	2(N57)	12610	TWO-N57	PCE		
o0903234	7659	3(N57)	1263D	THREE-N57	PCE		
o0903257	7660	4(N57)	12667	FOUR-N57	PCE		
o0903264	7661	5(N57)	1268B	FIVE-N57	PCE		
o0903268	7662	6(N57)	126A2	SIX-N57	PCE		
o0903269	7663	6(N57)~v1	126A3	SIX-N57 VARIANT 1	VSP		
o0903273	7664	7(N57)	126B8	SEVEN-N57	PCE		
o0903275	7665	8(N57)	126C9	EIGHT-N57	PCE		
o0903278	7666	9(N57)	126DE	NINE-N57	PCE		
o0903279	7667	10(N57)	126E3	TEN-N57	PCE		
o0903280	7671	1(N58)	125DB	ONE-N58	PCE		
o0903284	7674	2(N58)	12611	TWO-N58	PCE		
o0903285	7675	3(N58)	1263E	THREE-N58	PCE		
o0903288	7676	4(N58)	12668	FOUR-N58	PCE		
o0903289	7677	5(N58)	1268C	FIVE-N58	PCE		
o0903290	7678	8(N58)	126CA	EIGHT-N58	PCE		
o0903291	7679	9(N58)	126DF	NINE-N58	PCE		
o0903292	7680	10(N58)	126E4	TEN-N58	PCE		
o0903293	7681	12(N58)	126E6	TWELVE-N58	PCE		
o0903294	7683	1(N58@t)	125DC	ONE-N58 TENU	PCE		
o0903295	7685	1(N59)	F3084	NONAME	ADD ACN p.44; &quot;possibly a variant of [N04]&quot;	CUSAS01	1N59.png
o0903296	7686	2(N59)	12612	TWO-N59	ADD		
o0903297	7687	3(N59)	1263F	THREE-N59	ADD		
o0903298	7688	4(N59)	12669	FOUR-N59	ADD		
o0903299	7689	6(N59)	F3088	NONAME	ADD	CUSAS31	6N59.png
o0903302	7694	3(N61)	12640	THREE-N61	ADD		
o0903303	7696	4(N62)	1266A	FOUR-N62	ADD		
o0903304	7698	1(N63)	125DE	ONE-N63	ADD		
