o0901710	12ABB	SANGA~a~v1	SANGA~a
o0901711	12ABC	SANGA~a~v2	SANGA~a
o0901713	12ABE	SANGA~b~v1	SANGA~b
o0901725	12AC7	SI~v1	SI
o0901743	12ACC	SI₄~d~v1	SI₄~d
o0901745	12ACE	SI₄~f~v1	SI₄~f
o0901754	12AD4	SIG₂~a3~v1	SIG₂~a3
o0901755	12AD5	SIG₂~a3~v2	SIG₂~a3
o0901762	12ADE	SIG₂~d2~v1	SIG₂~d2
o0901772	12AE4	SIG₇~v1	SIG₇
o0901786	12AE8	|SILA₃~a×DUG~a|~v1	|SILA₃~a×DUG~a|
o0901785	12B09	|SILA₃~a~v1×DUG~a|	|SILA₃~a×DUG~a|
o0901867	12B19	SIMUG~v1	SIMUG
o0901871	12B1D	SU~a~v1	SU~a
o0901897	12B2D	SUKUD@g~b~v1	SUKUD@g~b
o0901903	12B32	SUM~a~v1	SUM~a
o0901911	12B3B	ŠA~v1	ŠA
o0901912	12B3C	ŠA~v2	ŠA
o0901927	12B43	ŠAB~a~v1	ŠAB~a
o0901929	12B45	ŠAB~b~v1	ŠAB~b
o0901931	12B47	ŠAGAN~v1	ŠAGAN
o0901956	12B55	|ŠE~a.NAM₂|~v1	|ŠE~a.NAM₂|
o0901963	12B5C	ŠE₃~v1	ŠE₃
o0901965	12B5D	ŠE₃~v1@t	ŠE₃@t
o0901970	12B61	ŠEN~a~v1	ŠEN~a
o0901972	12B63	ŠEN~b~v1	ŠEN~b
o0901975	12B68	ŠEN~d~v1	ŠEN~d
o0901976	12B69	ŠEN~d~v2	ŠEN~d
o0901987	12B6E	ŠEŠ~a~v1	ŠEŠ~a
o0901994	12B73	ŠIM~a~v1	ŠIM~a
o0901995	12B74	ŠIM~a~v2	ŠIM~a
o0901999	12B77	ŠIR~a~v1	ŠIR~a
o0902001	12B79	ŠIR~b~v1	ŠIR~b
o0902002	12B7A	ŠIR~b~v2	ŠIR~b
o0902046	12B93	|ŠU₂~a.EN~a~v1|	|ŠU₂~a.EN~a|
o0902047	12B94	|ŠU₂~a.EN~a~v2|	|ŠU₂~a.EN~a|
o0902069	12BA3	ŠURUPPAK~a~v1	ŠURUPPAK~a
o0902071	12BA5	ŠURUPPAK~b~v1	ŠURUPPAK~b
o0902095	12BB6	TAK₄~a~v1	TAK₄~a
o0902104	12BBE	TI~v1	TI
o0902124	12BC7	TUG₂~a@g~v1	TUG₂~a@g
o0902140	12BD5	TUR~v1	TUR
o0902141	12BD6	TUR~v2	TUR
o0902142	12BD7	TUR~v3	TUR
o0902158	12BDE	U₂~b~v1	U₂~b
o0902159	12BDF	U₂~b~v2	U₂~b
o0902221	12C18	U₈~v1	U₈
o0902222	12C19	U₈~v2	U₈
o0902223	12C1A	U₈~v3	U₈
o0902231	12C1E	UBI~c~v1	UBI~c
o0902235	12C21	UD₅~a~v1	UD₅~a
o0902236	12C22	UD₅~a~v2	UD₅~a
o0902262	12C32	UKKIN~a~v1	UKKIN~a
o0902264	12C3C	UKKIN~b~v1	UKKIN~b
o0902291	12C43	UMUN₂~v1	UMUN₂
o0902294	12C46	UNUG~a~v1	UNUG~a
o0902314	12C53	UR₃~a1~v1	UR₃~a1
o0902333	12C60	URI₃~a~v1	URI₃~a
o0902374	12C74	URUDU~a~v1	URUDU~a
o0902375	12C75	URUDU~a~v2	URUDU~a
o0902386	12C81	UŠ~b~v1	UŠ~b
o0902389	12C82	|UŠ~b~v2×TAR~c|	|UŠ~b×TAR~c|
o0902402	12C89	UTUA~b~v1	UTUA~b
o0902423	12C94	ZAG~a~v1	ZAG~a
o0902439	12CA2	ZATU623~v1	ZATU623
o0902440	12CA3	ZATU623~v2	ZATU623
o0902446	12CA8	ZATU625~v1	ZATU625
o0902454	12CAE	ZATU628~a~v1	ZATU628~a
o0902457	12CB1	ZATU629~v1	ZATU629
o0902462	12CB5	ZATU632~a~v1	ZATU632~a
o0902471	12CBD	ZATU636~v1	ZATU636
o0902485	12CC9	ZATU647~v1	ZATU647
o0902488	12CCC	ZATU649~v1	ZATU649
o0902491	12CD7	ZATU651~v1	ZATU651
o0902492	12CD8	ZATU651~v2	ZATU651
o0902512	12CE0	ZATU662~v1	ZATU662
o0902513	12CE2	ZATU662~v2	ZATU662
o0902514	12CE4	ZATU662~v3	ZATU662
o0902516	12CE1	|ZATU662~v1×1(N14)|	|ZATU662×1(N14)|
o0902517	12CE3	|ZATU662~v2×1(N14)|	|ZATU662×1(N14)|
o0902530	12CF0	ZATU675~b~v1	ZATU675~b
o0902545	12CFC	ZATU680~b~v1	ZATU680~b
o0902569	12D12	ZATU693~v1	ZATU693
o0902570	12D13	ZATU693~v2	ZATU693
o0902576	12D17	ZATU694~c~v1	ZATU694~c
o0902585	12D1D	ZATU697~a~v1	ZATU697~a
o0902586	12D1E	ZATU697~a~v2	ZATU697~a
o0902587	12D1F	ZATU697~a~v3	ZATU697~a
o0902606	12D30	ZATU710~v1	ZATU710
o0902608	12D32	ZATU711~v1	ZATU711
o0902627	12D43	ZATU725~v1	ZATU725
o0902635	12D4A	ZATU729~v1	ZATU729
o0902643	12D51	ZATU735~b~v1	ZATU735~b
o0902644	12D52	ZATU735~b~v2	ZATU735~b
o0902650	12D64	ZATU737~v1	ZATU737
o0902651	12D67	ZATU737~v2	ZATU737
o0902666	12D66	|ZATU737~v1×GAR|	|ZATU737×GAR|
o0902659	12D68	|ZATU737~v2×DI|	|ZATU737×DI|
o0902688	12D6D	ZATU749~a~v1	ZATU749~a
o0902689	12D6E	ZATU749~a~v2	ZATU749~a
o0902693	12D72	ZATU750~v1	ZATU750
o0902694	12D73	ZATU750~v2	ZATU750
o0902695	12D74	ZATU750~v3	ZATU750
o0902700	12D78	ZATU752~v1	ZATU752
o0902707	12D7E	ZATU756~v1	ZATU756
o0902709	12D80	ZATU757~v1	ZATU757
o0902712	12D88	ZATU759~v1	ZATU759
o0902723	12D8C	ZATU762~a~v1	ZATU762~a
o0902724	12D8D	ZATU762~a~v2	ZATU762~a
o0902740	12D99	ZATU773~a~v1	ZATU773~a
o0902745	12D9E	ZATU776~v1	ZATU776
o0902747	12DA0	ZATU777~v1	ZATU777
o0902748	12DA1	ZATU777~v2	ZATU777
o0902807	12DDA	ZATU839~v1	ZATU839
o0902830	12DEC	ZI~a~v1	ZI~a
o0903221	12DF7	|1(N57).ŠUBUR~v1|	|1(N57).ŠUBUR|
