o0981636	ZATU697~a	𒴟	𒴜𒴝𒴞𒴟
o0981652	ZATU710	𒴯	𒴯𒴰
o0981653	ZATU711	𒴱	𒴲𒴱
o0981669	ZATU725	𒵃	𒵂𒵃
o0981675	ZATU729	𒵉	𒵉𒵊
o0981681	ZATU735~b	𒵐	𒵒𒵐𒵑
o0981685	ZATU737	𒵖	𒵖𒵤𒵧
o0981693	|ZATU737×GAR|	𒵝	𒵝𒵦
o0981689	|ZATU737×DI|	𒵨	𒵚𒵨
o0981706	ZATU749~a	𒵬	𒵬𒵭𒵮
o0981709	ZATU750	𒵳	𒵱𒵲𒵳𒵴
o0981713	ZATU752	𒵸	𒵷𒵸
o0981718	ZATU756	𒵾	𒵽𒵾
o0981719	ZATU757	𒶀	𒵿𒶀
o0981721	ZATU759	𒶂	𒶂𒶈
o0981728	ZATU762~a	𒶊	𒶍𒶌𒶊
o0981740	ZATU773~a	𒶘	𒶘𒶙
o0981744	ZATU776	𒶞	𒶞𒶝
o0981745	ZATU777	𒶟	𒶟𒶠𒶡
o0981802	ZATU839	𒷙	𒷙𒷚
o0981520	ZI~a	𒷬	𒷫𒷬
o0980744	|LAGAB~a×ŠA|	𒦏	𒦏󳂹
o0981015	PU₂	𒪛	𒪛󳃁󳂡
o0981077	SIG₂~a2	𒫒	𒫒󳃂󳂢
o0981306	TUG₂~a	𒯄	𒯄󳃏󳂧
o0980000	A	𒚐	𒚐󳃹
o0980011	|AB~a×A@t|	𒚙	𒚙󳃱
o0980034	ADAB	𒚲	𒚲󳁧
o0980898	NAM₂	𒨣	𒨣󳃻
o0981489	UŠ~a	𒱼	𒱼󳃲
o0981959	9(N19)	𒘓	𒘓,󰂕,󰂔
o0981156	SUHUR	𒬣	𒬣;󳄇,󳄈,󳁘
