126C1	𒜧	PROTO-CUNEIFORM SIGN DANNA	o0900226
126C2	𒜨	PROTO-CUNEIFORM SIGN DAR-A	o0900228
126C3	𒜩	PROTO-CUNEIFORM SIGN DAR-A TIMES A	o0900233
126C4	𒜪	PROTO-CUNEIFORM SIGN DAR-B	o0900229
126C5	𒜫	PROTO-CUNEIFORM SIGN DAR-C	o0900230
126C6	𒜬	PROTO-CUNEIFORM SIGN DAR-D	o0900231
126C7	𒜭	PROTO-CUNEIFORM SIGN DARA3-A	o0900235
126C8	𒜮	PROTO-CUNEIFORM SIGN DARA3-B	o0900236
126C9	𒜯	PROTO-CUNEIFORM SIGN DARA3-C	o0900237
126CA	𒜰	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2-B	o0900241
126CB	𒜱	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2-C PLUS SHE-A	o0900246
126CC	𒜳	PROTO-CUNEIFORM SIGN DARA3-D	o0900239
126CD	𒜴	PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2-B	o0900243
126CE	𒜷	PROTO-CUNEIFORM SIGN DARA3-D2 TIMES KAR2-A1 PLUS SHE-A	o0900247
126CF	𒜸	PROTO-CUNEIFORM SIGN DARA4-A1	o0900249
126D0	𒜹	PROTO-CUNEIFORM SIGN DARA4-A2	o0900250
126D1	𒜺	PROTO-CUNEIFORM SIGN DARA4-A3	o0900251
126D2	𒜻	PROTO-CUNEIFORM SIGN DARA4-B	o0900252
126D3	󳁩	PROTO-CUNEIFORM SIGN DARA4-C	o0900253
126D4	𒜼	PROTO-CUNEIFORM SIGN DARA4-C1	o0900254
126D5	𒜽	PROTO-CUNEIFORM SIGN DARA4-C2	o0900255
126D6	𒜾	PROTO-CUNEIFORM SIGN DARA4-C3	o0900256
126D7	𒜿	PROTO-CUNEIFORM SIGN DARA4-C4	o0900257
126D8	𒝀	PROTO-CUNEIFORM SIGN DARA4-C5	o0900258
126D9	󳀯	PROTO-CUNEIFORM SIGN DARA4-D	o0900259
126DA	𒝁	PROTO-CUNEIFORM SIGN DI	o0900260
126DB	𒝂	PROTO-CUNEIFORM SIGN DI TENU	o0900261
126DC	𒝃	PROTO-CUNEIFORM SIGN DIB	o0900262
126DD	𒝅	PROTO-CUNEIFORM SIGN DILMUN	o0900264
126DE	𒝈	PROTO-CUNEIFORM SIGN DIM-A	o0900269
126DF	𒝉	PROTO-CUNEIFORM SIGN DIM-B	o0900270
126E0	𒝊	PROTO-CUNEIFORM SIGN DIM-C	o0900271
126E1	𒝋	PROTO-CUNEIFORM SIGN DIN	o0900276
126E2	󳀰	PROTO-CUNEIFORM SIGN DIN TIMES ONE-N58	o0900277
126E3	𒝌	PROTO-CUNEIFORM SIGN DIN TENU	o0900278
126E4	𒝍	PROTO-CUNEIFORM SIGN DU	o0900279
126E5	𒝎	PROTO-CUNEIFORM SIGN DU TIMES ONE-N58 TENU	o0900281
126E6	𒝏	PROTO-CUNEIFORM SIGN DU GUNU	o0900282
126E7	𒝐	PROTO-CUNEIFORM SIGN DU6-A	o0900284
126E8	𒝓	PROTO-CUNEIFORM SIGN DU6-B	o0900287
126E9	𒝔	PROTO-CUNEIFORM SIGN DU6-C	o0900288
126EA	𒝕	PROTO-CUNEIFORM SIGN DU7	o0900291
126EB	𒝖	PROTO-CUNEIFORM SIGN DU8-A	o0900293
126EC	𒝗	PROTO-CUNEIFORM SIGN DU8-B	o0900294
126ED	𒝙	PROTO-CUNEIFORM SIGN DU8-C	o0900296
126EE	󳀱	PROTO-CUNEIFORM SIGN DU8-C TIMES AB2	o0900299
126EF	󳀲	PROTO-CUNEIFORM SIGN DU8-C TIMES AMAR	o0900301
126F0	𒝚	PROTO-CUNEIFORM SIGN DU8-C TIMES HI	o0900303
126F1	𒝛	PROTO-CUNEIFORM SIGN DU8-C TIMES UDU-A	o0900305
126F2	𒝝	PROTO-CUNEIFORM SIGN DU8-C GUNU	o0900309
126F3	𒝟	PROTO-CUNEIFORM SIGN DUB-A	o0900312
126F4	𒝠	PROTO-CUNEIFORM SIGN DUB-B	o0900313
126F5	𒝥	PROTO-CUNEIFORM SIGN DUB-C	o0900318
126F6	𒝦	PROTO-CUNEIFORM SIGN DUB-D	o0900319
126F7	𒝧	PROTO-CUNEIFORM SIGN DUB-E	o0900320
126F8	𒝨	PROTO-CUNEIFORM SIGN DUB-F	o0900321
126F9	󳀳	PROTO-CUNEIFORM SIGN DUB-H	o0900322
126FA	𒝩	PROTO-CUNEIFORM SIGN DUB NUTILLU-A TIMES ONE-N58 FORM A	o0900324
126FB	𒝪	PROTO-CUNEIFORM SIGN DUB NUTILLU-A TIMES ONE-N58 FORM B	o0900326
126FC	𒝫	PROTO-CUNEIFORM SIGN DUB NUTILLU-B TIMES ONE-N58-A	o0900325
126FD	𒝬	PROTO-CUNEIFORM SIGN DUB2	o0900329
126FE	𒝭	PROTO-CUNEIFORM SIGN DUG-A	o0900331
126FF	󳁪	PROTO-CUNEIFORM SIGN DUG-A TIMES KU6-A	o0900378
12700	𒝰	PROTO-CUNEIFORM SIGN DUG-A TIMES NAGA-A	o0900407
12701	𒝱	PROTO-CUNEIFORM SIGN DUG-A TIMES U2-A	o0900447
12702	𒝲	PROTO-CUNEIFORM SIGN DUG-A TIMES U2-B	o0900448
12703	𒝳	PROTO-CUNEIFORM SIGN DUG-A TIMES ONE-N57	o0900394
12704	𒝷	PROTO-CUNEIFORM SIGN DUG-B	o0900334
12705	𒝸	PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-B	o0900342
12706	𒝹	PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-D	o0900343
12707	𒝺	PROTO-CUNEIFORM SIGN DUG-B TIMES BALA-A	o0900347
12708	𒝻	PROTO-CUNEIFORM SIGN DUG-B TIMES BIR3-C	o0900349
12709	𒝼	PROTO-CUNEIFORM SIGN DUG-B TIMES DIN	o0900351
1270A	𒝽	PROTO-CUNEIFORM SIGN DUG-B TIMES DIN REVERSED	o0900354
1270B	𒞀	PROTO-CUNEIFORM SIGN DUG-B TIMES GA-B	o0900359
1270C	𒞂	PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-B	o0900363
1270D	𒞃	PROTO-CUNEIFORM SIGN DUG-B TIMES GI6	o0900365
1270E	𒞄	PROTO-CUNEIFORM SIGN DUG-B TIMES GISH	o0900367
1270F	𒞅	PROTO-CUNEIFORM SIGN DUG-B TIMES HI	o0900370
12710	𒞆	PROTO-CUNEIFORM SIGN DUG-B TIMES KASKAL	o0900376
12711	𒞇	PROTO-CUNEIFORM SIGN DUG-B TIMES KU6-A	o0900379
12712	𒞈	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-A	o0900381
12713	𒞊	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-B	o0900382
12714	𒞋	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR GUNU-A	o0900386
12715	𒞌	PROTO-CUNEIFORM SIGN DUG-B TIMES LAM-A	o0900389
12716	𒞍	PROTO-CUNEIFORM SIGN DUG-B TIMES MASH	o0900391
12717	𒞎	PROTO-CUNEIFORM SIGN DUG-B TIMES NAGA-A	o0900408
12718	𒞏	PROTO-CUNEIFORM SIGN DUG-B TIMES NAM2	o0900410
12719	𒞑	PROTO-CUNEIFORM SIGN DUG-B TIMES SA-A	o0900414
1271A	󳁔	PROTO-CUNEIFORM SIGN DUG-B TIMES SA-A PLUS GI	o0900416
1271B	𒞒	PROTO-CUNEIFORM SIGN DUG-B TIMES SI4-A	o0900418
1271C	𒞔	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A1	o0900422
1271D	𒞕	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A2	o0900423
1271E	𒞖	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG7	o0900425
1271F	𒞗	PROTO-CUNEIFORM SIGN DUG-B TIMES SUHUR	o0900427
12720	𒞘	PROTO-CUNEIFORM SIGN DUG-B TIMES SHAH2-A	o0900431
12721	𒞙	PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A	o0900433
12722	𒞚	PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A PLUS NAM2	o0900437
12723	𒞛	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A	o0900439
12724	𒞜	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A PLUS SA-A	o0900441
12725	𒞝	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A PLUS SAL	o0900443
12726	𒞞	PROTO-CUNEIFORM SIGN DUG-B TIMES TI	o0900445
12727	𒞟	PROTO-CUNEIFORM SIGN DUG-B TIMES U2-A	o0900449
12728	𒞠	PROTO-CUNEIFORM SIGN DUG-B TIMES U2-B	o0900450
12729	󳀴	PROTO-CUNEIFORM SIGN DUG-B TIMES UDU-A TIMES TAR	o0900454
1272A	𒞡	PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A	o0900456
1272B	𒞢	PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A TENU	o0900458
1272C	𒞥	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU764	o0900466
1272D	𒞦	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU779	o0900468
1272E	𒞧	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU780	o0900470
1272F	𒞨	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU781	o0900472
12730	𒞩	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU789 PLUS SA-A	o0900474
12731	𒞪	PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57	o0900395
12732	𒞫	PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57 PLUS KU3-A	o0900401
12733	𒞻	PROTO-CUNEIFORM SIGN DUG-C TENU	o0900479
12734	󳀞	PROTO-CUNEIFORM SIGN DUG-D	o0900338
12735	𒟂	PROTO-CUNEIFORM SIGN DUGUD	o0900481
12736	𒟃	PROTO-CUNEIFORM SIGN DUR-A	o0900483
12737	𒟄	PROTO-CUNEIFORM SIGN DUR-B	o0900484
12738	𒟅	PROTO-CUNEIFORM SIGN DUR2	o0900485
12739	𒟆	PROTO-CUNEIFORM SIGN E-A	o0900487
1273A	𒟇	PROTO-CUNEIFORM SIGN E-B	o0900488
1273B	𒟈	PROTO-CUNEIFORM SIGN E-C	o0900489
1273C	𒟊	PROTO-CUNEIFORM SIGN E2-A	o0900493
1273D	𒟍	PROTO-CUNEIFORM SIGN E2-A TIMES ONE-N58 TENU	o0900503
1273E	𒟎	PROTO-CUNEIFORM SIGN E2-B	o0900494
1273F	𒟐	PROTO-CUNEIFORM SIGN E2-B TIMES ONE-N58 TENU	o0900504
12740	𒟑	PROTO-CUNEIFORM SIGN E2-C	o0900495
12741	𒟒	PROTO-CUNEIFORM SIGN E2-D	o0900496
12742	𒟔	PROTO-CUNEIFORM SIGN E3-B	o0900510
12743	𒟕	PROTO-CUNEIFORM SIGN EDIN	o0900511
12744	𒟖	PROTO-CUNEIFORM SIGN EN-A	o0900513
12745	𒟚	PROTO-CUNEIFORM SIGN EN-B	o0900517
12746	𒟛	PROTO-CUNEIFORM SIGN EN-B TENU	o0900528
12747	𒟝	PROTO-CUNEIFORM SIGN EN-C	o0900519
12748	𒟞	PROTO-CUNEIFORM SIGN EN-C OVER EN-C	o0900523
12749	𒟡	PROTO-CUNEIFORM SIGN EN GUNU-A	o0900525
1274A	𒟢	PROTO-CUNEIFORM SIGN EN GUNU-B	o0900526
1274B	𒟣	PROTO-CUNEIFORM SIGN EN2	o0900529
1274C	𒟤	PROTO-CUNEIFORM SIGN EN2 BESIDE E2-A	o0900531
1274D	𒟥	PROTO-CUNEIFORM SIGN EN2 BESIDE E2-B	o0900532
1274E	𒟦	PROTO-CUNEIFORM SIGN ENDIB	o0900533
1274F	𒟧	PROTO-CUNEIFORM SIGN ENGIZ	o0900534
12750	𒟨	PROTO-CUNEIFORM SIGN ENKUM	o0900535
12751	𒟫	PROTO-CUNEIFORM SIGN ERIM-A	o0900541
12752	𒟬	PROTO-CUNEIFORM SIGN ERIM-B1	o0900542
12753	𒟭	PROTO-CUNEIFORM SIGN ERIM-B2	o0900543
