128FB	𒸂	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE PIRIG-B1	o0903248
128FC	𒸃	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE SHUBUR	o0903252
128FD	𒸄	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE AMAR	o0903258
128FE	𒸅	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE GAR	o0903259
128FF	𒸆	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE KU3-A	o0903261
12900	𒸈	PROTO-CUNEIFORM SIGN FIVE-N57 BESIDE GAR	o0903265
12901	𒸉	PROTO-CUNEIFORM SIGN FIVE-N57 BESIDE KU3-A	o0903267
12902	𒸊	PROTO-CUNEIFORM SIGN SIX-N57 BESIDE GAR	o0903270
12903	𒸋	PROTO-CUNEIFORM SIGN SIX-N57 BESIDE KU3-A	o0903272
12904	𒸌	PROTO-CUNEIFORM SIGN EIGHT-N57 BESIDE NI-B	o0903277
12905	𒸏	PROTO-CUNEIFORM SIGN ONE-N58-A BESIDE BAD-A	o0903282
12906	𒸍	PROTO-CUNEIFORM SIGN ONE-N58 BESIDE BAD	o0903281
12907	𒸐	PROTO-CUNEIFORM SIGN THREE-N58 BESIDE UR3-B1	o0903287
12908	𒨋	PROTO-CUNEIFORM SIGN NA-A	o0901437
12909	𒨌	PROTO-CUNEIFORM SIGN NA-B	o0901438
1290A	𒨍	PROTO-CUNEIFORM SIGN NA-C	o0901439
1290B	𒨏	PROTO-CUNEIFORM SIGN NA2-A	o0901442
1290C	𒨑	PROTO-CUNEIFORM SIGN NA2-B1	o0901444
1290D	𒨒	PROTO-CUNEIFORM SIGN NA2-B2	o0901445
1290E	󳁴	PROTO-CUNEIFORM SIGN NA2-C	o0901446
1290F	𒨓	PROTO-CUNEIFORM SIGN NAB	o0901448
12910	𒨖	PROTO-CUNEIFORM SIGN NAGA-A	o0901452
12911	𒨗	PROTO-CUNEIFORM SIGN NAGA-A TIMES TAK4-A	o0901455
12912	𒨘	PROTO-CUNEIFORM SIGN NAGA-B	o0901453
12913	𒨙	PROTO-CUNEIFORM SIGN NAGAR-A	o0901457
12914	𒨝	PROTO-CUNEIFORM SIGN NAGAR-B	o0901461
12915	𒨟	PROTO-CUNEIFORM SIGN NAM-A	o0901464
12916	𒨠	PROTO-CUNEIFORM SIGN NAM-B	o0901465
12917	𒨡	PROTO-CUNEIFORM SIGN NAM-C	o0901466
12918	𒨢	PROTO-CUNEIFORM SIGN NAM-D	o0901467
12919	𒨣	PROTO-CUNEIFORM SIGN NAM2	o0901468
1291A	𒨤	PROTO-CUNEIFORM SIGN NAM2 TIMES ONE-N1	o0901469
1291B	𒨥	PROTO-CUNEIFORM SIGN NAM2 GUNU	o0901470
1291C	𒨦	PROTO-CUNEIFORM SIGN NAM2 TENU	o0901471
1291D	𒨧	PROTO-CUNEIFORM SIGN NAMESHDA	o0901472
1291E	𒨩	PROTO-CUNEIFORM SIGN NANNA-A	o0901475
1291F	𒨫	PROTO-CUNEIFORM SIGN NANNA-B	o0901477
12920	𒨬	PROTO-CUNEIFORM SIGN NANSHE-A	o0901479
12921	𒨭	PROTO-CUNEIFORM SIGN NANSHE-B	o0901480
12922	𒨮	PROTO-CUNEIFORM SIGN NAR	o0901481
12923	𒨯	PROTO-CUNEIFORM SIGN NE-A	o0901483
12924	𒨲	PROTO-CUNEIFORM SIGN NE-B	o0901486
12925	𒨳	PROTO-CUNEIFORM SIGN NE-C	o0901487
12926	𒨴	PROTO-CUNEIFORM SIGN NE-D	o0901488
12927	𒨵	PROTO-CUNEIFORM SIGN NERGAL-V	o0901491
12928	𒨶	PROTO-CUNEIFORM SIGN NESAG2-A	o0901493
12929	𒨷	PROTO-CUNEIFORM SIGN NESAG2-B	o0901496
1292A	𒨺	PROTO-CUNEIFORM SIGN NI-A	o0901501
1292B	𒨽	PROTO-CUNEIFORM SIGN NI-A GUNU	o0901512
1292C	𒨾	PROTO-CUNEIFORM SIGN NI-B	o0901502
1292D	𒩀	PROTO-CUNEIFORM SIGN NI-B TIMES FOUR-N57	o0901508
1292E	𒩁	PROTO-CUNEIFORM SIGN NI2	o0901513
1292F	𒩂	PROTO-CUNEIFORM SIGN NIGIN	o0901514
12930	𒩃	PROTO-CUNEIFORM SIGN NIM-A	o0901516
12931	𒩄	PROTO-CUNEIFORM SIGN NIM-B1	o0901517
12932	𒩅	PROTO-CUNEIFORM SIGN NIM-B2	o0901518
12933	𒩆	PROTO-CUNEIFORM SIGN NIM-B3	o0901519
12934	𒩇	PROTO-CUNEIFORM SIGN NIMGIR	o0901521
12935	𒩉	PROTO-CUNEIFORM SIGN NIN	o0901524
12936	𒩊	PROTO-CUNEIFORM SIGN NINDA2	o0901525
12937	𒩋	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN	o0901527
12938	𒩌	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN PLUS HI	o0901528
12939	𒩍	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN PLUS ME-A	o0901535
1293A	𒩐	PROTO-CUNEIFORM SIGN NINDA2 TIMES EZEN-B	o0901540
1293B	𒩑	PROTO-CUNEIFORM SIGN NINDA2 TIMES GAAR-A1	o0901542
1293C	𒩒	PROTO-CUNEIFORM SIGN NINDA2 TIMES GAR	o0901543
1293D	𒩓	PROTO-CUNEIFORM SIGN NINDA2 TIMES GISH	o0901544
1293E	𒩔	PROTO-CUNEIFORM SIGN NINDA2 TIMES GU4	o0901547
1293F	𒩕	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI	o0901548
12940	𒩖	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI PLUS AN PLUS ME-A	o0901533
12941	𒩗	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI PLUS ME-A	o0901530
12942	𒩚	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI-A1 PLUS ME-A	o0901531
12943	𒩛	PROTO-CUNEIFORM SIGN NINDA2 TIMES KASH-B	o0901553
12944	󳁁	PROTO-CUNEIFORM SIGN NINDA2 TIMES MAR-A	o0901555
12945	𒩜	PROTO-CUNEIFORM SIGN NINDA2 TIMES MAR-B	o0901556
12946	󳁂	PROTO-CUNEIFORM SIGN NINDA2 TIMES NUN-A	o0901564
12947	𒩝	PROTO-CUNEIFORM SIGN NINDA2 TIMES U4	o0901567
12948	𒩢	PROTO-CUNEIFORM SIGN NINDA2 TIMES ZATU659 TIMES ONE-N1	o0901575
12949	󳁃	PROTO-CUNEIFORM SIGN NINDA2 TIMES ZATU710	o0901576
1294A	𒩣	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N1	o0901557
1294B	𒩤	PROTO-CUNEIFORM SIGN NINDA2 TIMES TWO-N1	o0901558
1294C	𒩥	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N6 PLUS HI GUNU-A	o0901551
1294D	𒩦	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N8	o0901560
1294E	𒩨	PROTO-CUNEIFORM SIGN NINKUM	o0901577
1294F	𒩩	PROTO-CUNEIFORM SIGN NINLIL	o0901578
12950	𒩪	PROTO-CUNEIFORM SIGN NIR-A	o0901580
12951	𒩫	PROTO-CUNEIFORM SIGN NIR-A TIMES AN	o0901583
12952	𒩬	PROTO-CUNEIFORM SIGN NIR-B	o0901581
12953	𒩭	PROTO-CUNEIFORM SIGN NU	o0901584
12954	𒩮	PROTO-CUNEIFORM SIGN NU GUNU	o0901585
12955	𒩯	PROTO-CUNEIFORM SIGN NU11	o0901586
12956	𒩰	PROTO-CUNEIFORM SIGN NU11 OVER NU11	o0901587
12957	𒩱	PROTO-CUNEIFORM SIGN NU11 TENU	o0901588
12958	𒩲	PROTO-CUNEIFORM SIGN NUMUN	o0901589
12959	𒩴	PROTO-CUNEIFORM SIGN NUN-A	o0901592
1295A	𒩵	PROTO-CUNEIFORM SIGN NUN-A JOINING A	o0901603
1295B	𒩸	PROTO-CUNEIFORM SIGN NUN-A JOINING EN-D	o0901608
1295C	𒩹	PROTO-CUNEIFORM SIGN NUN-A JOINING NAM2	o0901611
1295D	𒩺	PROTO-CUNEIFORM SIGN NUN-B	o0901593
1295E	𒩻	PROTO-CUNEIFORM SIGN NUN-B JOINING EN-A	o0901609
1295F	𒩼	PROTO-CUNEIFORM SIGN NUN-C	o0901594
12960	𒪀	PROTO-CUNEIFORM SIGN NUN-D	o0901598
12961	𒪁	PROTO-CUNEIFORM SIGN NUNUZ-A0	o0901613
12962	𒪂	PROTO-CUNEIFORM SIGN NUNUZ-A1	o0901614
12963	𒪄	PROTO-CUNEIFORM SIGN NUNUZ-A2	o0901615
12964	𒪅	PROTO-CUNEIFORM SIGN NUNUZ-B1	o0901616
12965	𒪇	PROTO-CUNEIFORM SIGN NUNUZ-C	o0901618
12966	𒪋	PROTO-CUNEIFORM SIGN PA-A	o0901625
12967	𒪎	PROTO-CUNEIFORM SIGN PA-B	o0901628
12968	𒪏	PROTO-CUNEIFORM SIGN PAD-A	o0901636
12969	𒪐	PROTO-CUNEIFORM SIGN PAD-B	o0901637
1296A	𒪑	PROTO-CUNEIFORM SIGN PAP-A	o0901639
1296B	𒪒	PROTO-CUNEIFORM SIGN PAP-A TENU	o0901643
1296C	𒪓	PROTO-CUNEIFORM SIGN PAP-B	o0901640
1296D	𒪕	PROTO-CUNEIFORM SIGN PIRIG-A1	o0901645
1296E	𒪖	PROTO-CUNEIFORM SIGN PIRIG-A2	o0901646
1296F	𒪗	PROTO-CUNEIFORM SIGN PIRIG-A3	o0901647
12970	𒪘	PROTO-CUNEIFORM SIGN PIRIG-B1	o0901648
12971	󳀘	PROTO-CUNEIFORM SIGN PIRIG-B1 JOINING DIN	o0901655
12972	𒪚	PROTO-CUNEIFORM SIGN PIRIG-B2	o0901649
12973	𒪛	PROTO-CUNEIFORM SIGN PU2	o0901656
12974	𒪜	PROTO-CUNEIFORM SIGN RA	o0901657
12975	𒪝	PROTO-CUNEIFORM SIGN RAD-A	o0901659
12976	𒪞	PROTO-CUNEIFORM SIGN RAD-A GUNU	o0901662
12977	𒪠	PROTO-CUNEIFORM SIGN RAD-B	o0901660
12978	𒪡	PROTO-CUNEIFORM SIGN RI8-A	o0901668
12979	𒪢	PROTO-CUNEIFORM SIGN RI8-B	o0901669
1297A	𒪣	PROTO-CUNEIFORM SIGN RU	o0901670
1297B	𒪦	PROTO-CUNEIFORM SIGN SA-A	o0901674
1297C	𒪧	PROTO-CUNEIFORM SIGN SA-C	o0901675
1297D	𒪩	PROTO-CUNEIFORM SIGN SAG	o0901677
1297E	𒪪	PROTO-CUNEIFORM SIGN SAG TIMES GESHTU-A	o0901681
1297F	󳀐	PROTO-CUNEIFORM SIGN SAG TIMES NAM2	o0901689
12980	𒪫	PROTO-CUNEIFORM SIGN SAG GUNU	o0901694
12981	𒪬	PROTO-CUNEIFORM SIGN SAG NUTILLU	o0901695
12982	𒪭	PROTO-CUNEIFORM SIGN SAG NUTILLU TIMES GESHTU-B	o0901682
12983	𒪴	PROTO-CUNEIFORM SIGN SAGSHU	o0901696
12984	𒪵	PROTO-CUNEIFORM SIGN SAL	o0901697
12985	𒪶	PROTO-CUNEIFORM SIGN SAL BESIDE KUR-A	o0901699
12986	𒪸	PROTO-CUNEIFORM SIGN SAL BESIDE SHU2-B	o0901703
12987	󳀏	PROTO-CUNEIFORM SIGN SAL JOINING HI TIMES HI	o0901705
12988	󳀎	PROTO-CUNEIFORM SIGN SAL JOINING ZATU751-A	o0901707
12989	𒪹	PROTO-CUNEIFORM SIGN SAL TIMES ONE-N58	o0901704
1298A	𒪺	PROTO-CUNEIFORM SIGN SANGA-A	o0901709
1298B	𒪽	PROTO-CUNEIFORM SIGN SANGA-B	o0901712
1298C	𒪿	PROTO-CUNEIFORM SIGN SANGA-C	o0901714
1298D	󳁤	PROTO-CUNEIFORM SIGN SANGA-E1	o0901715
1298E	𒫀	PROTO-CUNEIFORM SIGN SAR-A	o0901718
1298F	𒫁	PROTO-CUNEIFORM SIGN SAR-A TIMES SHE-A	o0901723
12990	𒫂	PROTO-CUNEIFORM SIGN SAR-B	o0901719
12991	𒫃	PROTO-CUNEIFORM SIGN SAR-C	o0901720
12992	󳁆	PROTO-CUNEIFORM SIGN SAR-D	o0901721
12993	𒫄	PROTO-CUNEIFORM SIGN SI	o0901724
12994	󳀌	PROTO-CUNEIFORM SIGN SI JOINING AN	o0901737
12995	󳁈	PROTO-CUNEIFORM SIGN SI TIMES EN-A	o0901728
12996	𒫅	PROTO-CUNEIFORM SIGN SI TIMES GU4	o0901729
12997	󳁉	PROTO-CUNEIFORM SIGN SI TIMES KU-B1	o0901731
12998	󳁋	PROTO-CUNEIFORM SIGN SI TIMES SAL	o0901733
12999	󳁌	PROTO-CUNEIFORM SIGN SI TIMES TUN3-A	o0901736
1299A	󳁇	PROTO-CUNEIFORM SIGN SI TIMES ONE-N58	o0901732
1299B	𒫈	PROTO-CUNEIFORM SIGN SI4-A	o0901739
1299C	𒫉	PROTO-CUNEIFORM SIGN SI4-B	o0901740
1299D	𒫊	PROTO-CUNEIFORM SIGN SI4-C	o0901741
1299E	𒫋	PROTO-CUNEIFORM SIGN SI4-D	o0901742
1299F	𒫍	PROTO-CUNEIFORM SIGN SI4-F	o0901744
129A0	𒫏	PROTO-CUNEIFORM SIGN SIG	o0901746
129A1	󳁸	PROTO-CUNEIFORM SIGN SIG-B	o0901747
129A2	𒫑	PROTO-CUNEIFORM SIGN SIG2-A1	o0901751
129A3	𒫒	PROTO-CUNEIFORM SIGN SIG2-A2	o0901752
129A4	𒫓	PROTO-CUNEIFORM SIGN SIG2-A3	o0901753
129A5	𒫖	PROTO-CUNEIFORM SIGN SIG2-A4	o0901756
129A6	𒫗	PROTO-CUNEIFORM SIGN SIG2-B	o0901757
129A7	𒫘	PROTO-CUNEIFORM SIGN SIG2-B TIMES ONE-N14	o0901767
129A8	𒫙	PROTO-CUNEIFORM SIGN SIG2-B OVER SIG2-B	o0901769
129A9	𒫚	PROTO-CUNEIFORM SIGN SIG2-C1	o0901758
129AA	𒫛	PROTO-CUNEIFORM SIGN SIG2-C2	o0901759
129AB	𒫜	PROTO-CUNEIFORM SIGN SIG2-D1	o0901760
129AC	𒫝	PROTO-CUNEIFORM SIGN SIG2-D2	o0901761
129AD	𒫟	PROTO-CUNEIFORM SIGN SIG2-D3	o0901763
129AE	𒫠	PROTO-CUNEIFORM SIGN SIG2-D4	o0901764
129AF	𒫡	PROTO-CUNEIFORM SIGN SIG2-E	o0901765
129B0	𒫢	PROTO-CUNEIFORM SIGN SIG4	o0901770
129B1	𒫣	PROTO-CUNEIFORM SIGN SIG7	o0901771
129B2	𒫥	PROTO-CUNEIFORM SIGN SILA3-A	o0901775
129B3	𒫦	PROTO-CUNEIFORM SIGN SILA3-A TIMES A	o0901781
129B4	𒫧	PROTO-CUNEIFORM SIGN SILA3-A TIMES AMAR	o0901783
129B5	𒫪	PROTO-CUNEIFORM SIGN SILA3-A TIMES GARA2-A	o0901792
129B6	𒫬	PROTO-CUNEIFORM SIGN SILA3-A TIMES GESHTU-C3	o0901795
129B7	𒫮	PROTO-CUNEIFORM SIGN SILA3-A TIMES HASHHUR	o0901800
129B8	𒫯	PROTO-CUNEIFORM SIGN SILA3-A TIMES HI	o0901802
129B9	𒫱	PROTO-CUNEIFORM SIGN SILA3-A TIMES IB-A	o0901806
129BA	𒫲	PROTO-CUNEIFORM SIGN SILA3-A TIMES KASH-A	o0901808
129BB	𒫳	PROTO-CUNEIFORM SIGN SILA3-A TIMES KASH-C	o0901809
129BC	𒫴	PROTO-CUNEIFORM SIGN SILA3-A TIMES KASH-D	o0901810
129BD	𒫵	PROTO-CUNEIFORM SIGN SILA3-A TIMES KU6-A	o0901812
129BE	𒫶	PROTO-CUNEIFORM SIGN SILA3-A TIMES KUR-A	o0901814
129BF	𒫸	PROTO-CUNEIFORM SIGN SILA3-A TIMES MASH	o0901818
129C0	󳁊	PROTO-CUNEIFORM SIGN SILA3-A TIMES MUD3-B	o0901820
129C1	𒫹	PROTO-CUNEIFORM SIGN SILA3-A TIMES NAGA-A	o0901826
129C2	𒫺	PROTO-CUNEIFORM SIGN SILA3-A TIMES NI-A	o0901829
129C3	𒫻	PROTO-CUNEIFORM SIGN SILA3-A TIMES NUN-B	o0901834
129C4	𒫼	PROTO-CUNEIFORM SIGN SILA3-A TIMES SUHUR	o0901836
129C5	𒫾	PROTO-CUNEIFORM SIGN SILA3-A TIMES SUM-B	o0901839
129C6	𒫿	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHE-A	o0901841
129C7	𒬀	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHE-A TENU	o0901843
129C8	𒬁	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHU	o0901845
129C9	𒬂	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHU2-B	o0901848
129CA	𒬅	PROTO-CUNEIFORM SIGN SILA3-A TIMES ZATU646	o0901854
129CB	𒬇	PROTO-CUNEIFORM SIGN SILA3-A TIMES ONE-N57	o0901822
129CC	𒬊	PROTO-CUNEIFORM SIGN SILA3-B	o0901776
129CD	𒬋	PROTO-CUNEIFORM SIGN SILA3-B TIMES GUG2	o0901798
129CE	𒬌	PROTO-CUNEIFORM SIGN SILA3-B TIMES NAGA-B	o0901827
129CF	𒬍	PROTO-CUNEIFORM SIGN SILA3-B TIMES NI-B	o0901831
129D0	𒬏	PROTO-CUNEIFORM SIGN SILA3-C TIMES NI-A	o0901830
129D1	𒬑	PROTO-CUNEIFORM SIGN SILA3-C TIMES ZATU687	o0901858
129D2	𒬓	PROTO-CUNEIFORM SIGN SILA4-A	o0901860
129D3	𒬔	PROTO-CUNEIFORM SIGN SILA4-B	o0901861
129D4	𒬕	PROTO-CUNEIFORM SIGN SILA4-C	o0901862
129D5	𒬖	PROTO-CUNEIFORM SIGN SILA4-D	o0901864
129D6	𒬗	PROTO-CUNEIFORM SIGN SILANITA	o0901865
129D7	𒬘	PROTO-CUNEIFORM SIGN SIMUG	o0901866
129D8	𒬚	PROTO-CUNEIFORM SIGN SIPA	o0901868
129D9	𒬛	PROTO-CUNEIFORM SIGN SU-A	o0901870
129DA	𒬜	PROTO-CUNEIFORM SIGN SU-A TIMES ONE-N58	o0901875
129DB	𒬞	PROTO-CUNEIFORM SIGN SU-B	o0901872
129DC	󳁹	PROTO-CUNEIFORM SIGN SU-C	o0901873
129DD	𒬟	PROTO-CUNEIFORM SIGN SU3	o0901876
129DE	𒬠	PROTO-CUNEIFORM SIGN SUG	o0901878
129DF	𒬡	PROTO-CUNEIFORM SIGN SUG5	o0901879
129E0	𒬢	PROTO-CUNEIFORM SIGN SUH3	o0901880
129E1	𒬣	PROTO-CUNEIFORM SIGN SUHUR	o0901881
129E2	𒬤	PROTO-CUNEIFORM SIGN SUHUR GUNU	o0901883
129E3	𒬥	PROTO-CUNEIFORM SIGN SUHUR NUTILLU	o0901884
129E4	󳁙	PROTO-CUNEIFORM SIGN SUHUR TENU	o0901885
129E5	𒬦	PROTO-CUNEIFORM SIGN SUKKAL	o0901887
129E6	𒬧	PROTO-CUNEIFORM SIGN SUKUD	o0901888
129E7	𒬨	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM A	o0901890
129E8	𒬩	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM B	o0901891
129E9	𒬫	PROTO-CUNEIFORM SIGN SUKUD GUNU-A	o0901895
129EA	𒬬	PROTO-CUNEIFORM SIGN SUKUD GUNU-B	o0901896
129EB	𒬮	PROTO-CUNEIFORM SIGN SUKUD GUNU-C	o0901898
129EC	𒬯	PROTO-CUNEIFORM SIGN SUKUD GUNU-D	o0901899
129ED	𒬰	PROTO-CUNEIFORM SIGN SUM-A	o0901902
129EE	𒬳	PROTO-CUNEIFORM SIGN SUM-B	o0901904
129EF	𒬴	PROTO-CUNEIFORM SIGN SUMASH	o0901907
129F0	𒬵	PROTO-CUNEIFORM SIGN SUR	o0901908
129F1	𒬶	PROTO-CUNEIFORM SIGN SUSA	o0901909
129F2	𒬷	PROTO-CUNEIFORM SIGN SHA	o0901910
129F3	𒬸	PROTO-CUNEIFORM SIGN SHA TIMES HI GUNU-A FORM A	o0901914
129F4	𒬹	PROTO-CUNEIFORM SIGN SHA TIMES HI GUNU-A FORM B	o0901915
129F5	𒬺	PROTO-CUNEIFORM SIGN SHA GUNU	o0901916
129F6	𒬽	PROTO-CUNEIFORM SIGN SHA3-A1	o0901918
129F7	𒬾	PROTO-CUNEIFORM SIGN SHA3-A2	o0901919
129F8	󳁅	PROTO-CUNEIFORM SIGN SHA3-A2 GUNU	o0901924
129F9	𒬿	PROTO-CUNEIFORM SIGN SHA3-B	o0901920
129FA	𒭀	PROTO-CUNEIFORM SIGN SHA3-C	o0901921
129FB	𒭁	PROTO-CUNEIFORM SIGN SHA3-D	o0901922
129FC	𒭂	PROTO-CUNEIFORM SIGN SHAB-A	o0901926
129FD	𒭄	PROTO-CUNEIFORM SIGN SHAB-B	o0901928
129FE	𒭆	PROTO-CUNEIFORM SIGN SHAGAN	o0901930
129FF	𒭈	PROTO-CUNEIFORM SIGN SHAGINA	o0901932
12A00	𒭉	PROTO-CUNEIFORM SIGN SHAH2-A	o0901934
12A01	𒭊	PROTO-CUNEIFORM SIGN SHAH2-B	o0901935
12A02	𒭋	PROTO-CUNEIFORM SIGN SHAH2-C	o0901936
12A03	𒭌	PROTO-CUNEIFORM SIGN SHAKIR-A	o0901938
12A04	𒭍	PROTO-CUNEIFORM SIGN SHAKIR-B	o0901939
12A05	𒭎	PROTO-CUNEIFORM SIGN SHAKIR-C	o0901940
12A06	𒭏	PROTO-CUNEIFORM SIGN SHAM2	o0901941
12A07	𒭐	PROTO-CUNEIFORM SIGN SHANDANA-A	o0901943
12A08	𒭒	PROTO-CUNEIFORM SIGN SHE-A	o0901946
12A09	𒭓	PROTO-CUNEIFORM SIGN SHE-A BESIDE KIN2-C	o0901953
12A0A	𒭔	PROTO-CUNEIFORM SIGN SHE-A BESIDE NAM2	o0901955
12A0B	𒭖	PROTO-CUNEIFORM SIGN SHE-A OVER SHE-A	o0901959
12A0C	𒭗	PROTO-CUNEIFORM SIGN SHE-A TENU	o0901961
12A0D	𒭘	PROTO-CUNEIFORM SIGN SHE-B	o0901947
12A0E	𒭙	PROTO-CUNEIFORM SIGN SHE-C	o0901948
12A0F	𒭚	PROTO-CUNEIFORM SIGN SHE3	o0901962
12A10	𒭛	PROTO-CUNEIFORM SIGN SHE3 TENU	o0901964
12A11	𒭞	PROTO-CUNEIFORM SIGN SHEG9	o0901966
12A12	𒭟	PROTO-CUNEIFORM SIGN SHELU	o0901967
12A13	𒭠	PROTO-CUNEIFORM SIGN SHEN-A	o0901969
12A14	𒭢	PROTO-CUNEIFORM SIGN SHEN-B	o0901971
12A15	𒭤	PROTO-CUNEIFORM SIGN SHEN-C	o0901973
12A16	𒭥	PROTO-CUNEIFORM SIGN SHEN-C TENU	o0901981
12A17	𒭧	PROTO-CUNEIFORM SIGN SHEN-D TIMES A	o0901979
12A18	𒭪	PROTO-CUNEIFORM SIGN SHEN-E	o0901977
12A19	𒭫	PROTO-CUNEIFORM SIGN SHENNUR-A	o0901983
12A1A	𒭬	PROTO-CUNEIFORM SIGN SHENNUR-B	o0901984
12A1B	𒭭	PROTO-CUNEIFORM SIGN SHESH-A	o0901986
12A1C	𒭯	PROTO-CUNEIFORM SIGN SHESH-B	o0901988
12A1D	𒭰	PROTO-CUNEIFORM SIGN SHIDIM	o0901990
12A1E	𒭲	PROTO-CUNEIFORM SIGN SHIM-A	o0901993
12A1F	𒭵	PROTO-CUNEIFORM SIGN SHIM-B	o0901996
12A20	𒭶	PROTO-CUNEIFORM SIGN SHIR-A	o0901998
12A21	𒭸	PROTO-CUNEIFORM SIGN SHIR-B	o0902000
12A22	𒭻	PROTO-CUNEIFORM SIGN SHITA-A1	o0902004
12A23	𒭼	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES KAK-A	o0902014
12A24	𒭽	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES SHU	o0902020
12A25	𒮁	PROTO-CUNEIFORM SIGN SHITA-A1 GUNU	o0902026
12A26	𒮂	PROTO-CUNEIFORM SIGN SHITA-A2	o0902005
12A27	𒮃	PROTO-CUNEIFORM SIGN SHITA-A3	o0902006
12A28	𒮄	PROTO-CUNEIFORM SIGN SHITA-B1	o0902007
12A29	𒮆	PROTO-CUNEIFORM SIGN SHITA-B2	o0902008
12A2A	𒮇	PROTO-CUNEIFORM SIGN SHITA-B2 GUNU TIMES HI GUNU-A	o0902012
12A2B	𒮈	PROTO-CUNEIFORM SIGN SHITA-B3	o0902009
12A2C	𒮉	PROTO-CUNEIFORM SIGN SHITA-B3 TIMES NAM2	o0902018
12A2D	𒮊	PROTO-CUNEIFORM SIGN SHITA-B3 GUNU	o0902028
12A2E	𒮌	PROTO-CUNEIFORM SIGN SHITA-B3 GUNU TIMES ONE-N6	o0902032
12A2F	𒮍	PROTO-CUNEIFORM SIGN SHU	o0902033
12A30	𒮎	PROTO-CUNEIFORM SIGN SHU TIMES ONE-N58	o0902034
12A31	𒮏	PROTO-CUNEIFORM SIGN SHU OVER SHU	o0902035
12A32	𒮐	PROTO-CUNEIFORM SIGN SHU GUNU	o0902036
12A33	󳁿	PROTO-CUNEIFORM SIGN SHU2	o0902038
12A34	󳀄	PROTO-CUNEIFORM SIGN SHU2 BESIDE PAP-A	o0902054
12A35	󳀓	PROTO-CUNEIFORM SIGN SHU2 TIMES ONE-N24	o0902057
12A36	𒮒	PROTO-CUNEIFORM SIGN SHU2-A BESIDE AN	o0902041
12A37	𒮖	PROTO-CUNEIFORM SIGN SHU2-A BESIDE HI TIMES ONE-N57 OVER HI TIMES ONE-N57	o0902050
12A38	𒮙	PROTO-CUNEIFORM SIGN SHU2-B BESIDE E2-A	o0902043
12A39	𒮚	PROTO-CUNEIFORM SIGN SHU2-B BESIDE E2-B	o0902044
12A3A	𒮝	PROTO-CUNEIFORM SIGN SHU12	o0902059
12A3B	𒮞	PROTO-CUNEIFORM SIGN SHUBUR	o0902060
12A3C	𒮟	PROTO-CUNEIFORM SIGN SHUM	o0902061
12A3D	󳀗	PROTO-CUNEIFORM SIGN SHUR2 TIMES ONE-N58	o0902066
12A3E	𒮠	PROTO-CUNEIFORM SIGN SHUR2-A	o0902063
12A3F	𒮡	PROTO-CUNEIFORM SIGN SHUR2-B	o0902064
12A40	𒮢	PROTO-CUNEIFORM SIGN SHURUPPAK-A	o0902068
12A41	𒮤	PROTO-CUNEIFORM SIGN SHURUPPAK-B	o0902070
12A42	𒮦	PROTO-CUNEIFORM SIGN TA-A	o0902074
12A43	𒮧	PROTO-CUNEIFORM SIGN TA-B	o0902075
12A44	𒮨	PROTO-CUNEIFORM SIGN TA-C	o0902076
12A45	𒮩	PROTO-CUNEIFORM SIGN TA-D	o0902077
12A46	𒮫	PROTO-CUNEIFORM SIGN TA-E	o0902078
12A47	𒮬	PROTO-CUNEIFORM SIGN TAG-A1	o0902083
12A48	𒮭	PROTO-CUNEIFORM SIGN TAG-A1 TENU	o0902092
12A49	𒮮	PROTO-CUNEIFORM SIGN TAG-A2	o0902084
12A4A	𒮯	PROTO-CUNEIFORM SIGN TAG-A3	o0902085
12A4B	𒮰	PROTO-CUNEIFORM SIGN TAG-A4	o0902086
12A4C	𒮱	PROTO-CUNEIFORM SIGN TAG-B	o0902087
12A4D	𒮲	PROTO-CUNEIFORM SIGN TAG-C	o0902088
12A4E	𒮳	PROTO-CUNEIFORM SIGN TAG-D	o0902089
12A4F	𒮴	PROTO-CUNEIFORM SIGN TAK4-A	o0902094
