BAU145	o0901670	333	2359	RU	U+F29A7	󲦧	
BAU146	o0900083	334	91	AMAR~v1	U+F270C	󲜌	
BAU146a		335	0					Read as sequence AMAR AMAR.
BAU146b		336	0					Read as sequence ŠE~a AMAR (possible antecedant of |AMAR×ŠE|)
BAU147	o0900207	337	694	BULUG₃	U+F2754	󲝔	
BAU148	o0900176	338	684	BU~a~v1	U+F2750	󲝐	
BAU149	o0901876	339	2592	SU₃	U+F2A3F	󲨿	
BAU150		340	0					Read as sequence BU/SU₃ SAL BAR vel sim.
BAU151	o0901876	341	2592	SU₃	U+F2A3F	󲨿	
BAU152	o0901417	342	2032	MUŠ	U+F292E	󲤮	
BAU153	o0901417	343	2032	MUŠ	U+F292E	󲤮	
BAU154	o0901496	344	2185	NESAG₂~b	U+F2961	󲥡	
BAU155	o0901442	345	2129	NA₂~a	U+F293A	󲤺	
BAU156		346	0					[Omitted]
BAU157	o0900159	347	170	BARA₂~a~v1	U+F2743	󲝃	
BAU158	o0902422	348	6029	ZAG~a	U+F2AF3	󲫳	
BAU159	o0901966	349	2701	ŠEG₉	U+F29DE	󲧞	
BAU160	o0901481	350	2171	NAR	U+F2957	󲥗	
BAU161		351	0					[Omitted]
BAU161a	o0900094	352	100	ANŠE~b	U+F2713	󲜓	
BAU161b	o0901648	353	2341	PIRIG~b1	U+F299B	󲦛	
BAU161c	o0900094	354	100	ANŠE~b	U+F2713	󲜓	
BAU162	o0901649	355	2346	PIRIG~b2	U+F299C	󲦜	
BAU163		356	0					Read as sequence MA (AMAR AN) ANŠE~b
BAU164	o0901128	357	1748	KIŠ	U+F28B6	󲢶	
BAU165	o0900862	358	1461	|GIR₃~c×KAR₂~b|	U+F2D38	󲴸	
BAU166		359	0					Read as combination UR₂ above MUŠ₃a?
BAU167		360	0					Read as combination |ŠU₂.AN.HI×KAK|
BAU168		361	0					Read as sequence x UD E₂ where x is probably not a sign; or U.UD.KID₂??
BAU169		362	0					Read as sequence ŠU₂~b AN E₂
BAU170		363	0					Read as sequence ŠU₂~b E₂
BAU171		364	0					[Omitted]
BAU172	o0900935	365	1539	GUL	U+F2845	󲡅	
BAU173	o0900837	366	1434	GI₆~v1	U+F280E	󲠎	
BAU174		367	0					[Omitted]
BAU175		368	0					[Omitted]
BAU176		369	0					Not an ED I sign; Akkadian MI+ŠITA₂ vel sim.
BAU177	o0900041	370	43	AB₂	U+F26EF	󲛯	
BAU178	o0900041	371	43	AB₂	U+F26EF	󲛯	
BAU179		372	0					SAGŠU (|ŠU₂~b.SAG|) rejected in CDLI transliterations; both instances partly damaged and read X SAG.
BAU180	o0901636	373	2325	PAD~a	U+F2992	󲦒	
BAU181		374	0					[Omitted]
BAU182	o0901142	375	1760	KU₃~a	U+F28C6	󲣆	
BAU183		376	0					Sealing 1 only.  Possibly DIN@t but not certain.
BAU184	o0900960	377	1567	HI	U+F2855	󲡕	
BAU185		378	0					[Omitted]
BAU186		379	0					[Omitted]
BAU187		380	0					Read as sequence NUNUZ NUNUZ.
BAU188	o0900165	381	639	BIR~a	U+F2747	󲝇	
BAU189	o0900165	382	639	BIR~a	U+F2747	󲝇	
BAU190	o0900260	383	754	DI	U+F2774	󲝴	
BAU191	o0901090	384	1708	KI	U+F289F	󲢟	
BAU192	o0902327	385	5933	UR₅~a	U+F2AC8	󲫈	
BAU193		386	0					[Omitted]
BAU194	o0902102	387	2858	TE	U+F2A68	󲩨	
BAU195	o0902102	388	2858	TE	U+F2A68	󲩨	
BAU196	o0901071	389	1687	KAR	U+F2892	󲢒	
BAU197	o0902161	390	2921	U₄	U+F2A8F	󲪏	
BAU198		391	0					[Omitted]
BAU198a		392	0					[Omitted]
BAU198b		393	0					[Omitted]
BAU199	o0902178	394	2946	|U₄×1(N01)|	U+F2E41	󲹁	
BAU200	o0900056	395	59	ADAB	U+F26F8	󲛸	
BAU201	o0900106	396	112	ARARMA₂~a	U+F271A	󲜚	
BAU202	o0901746	397	2443	SIG	U+F2A1C	󲨜	
BAU203		398	0					Only in UET 2 1
BAU204	o0901670	399	2359	RU	U+F29A7	󲦧	
BAU205		400	0					[Omitted]
BAU206	o0901770	401	2469	SIG₄	U+F2A2D	󲨭	
BAU207	o0901145	402	1766	KU₆~a	U+F28C8	󲣈	
BAU208		403	0					Read as sequence KU₆~a A
BAU209	o0901151	404	1768	|KU₆~a+GIŠ|	U+F2D60	󲵠	
BAU210	o0900845	405	1441	GIR~a	U+F2814	󲠔	
BAU211	o0901888	406	2608	SUKUD	U+F2A47	󲩇	
BAU212		407	0					[Omitted]
BAU212a		408	0					[Omitted]
