id_text	designation	artifact_type	period	provenience	museum_no	accession_no	excavation_no	artifact_comments	seal_information	collections	dates	alternative_years	genres	languages	materials	publications_key	publications_type	publications_exact_ref
P000605	CDLI Lexical 000023, ex. 090	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134958		W 21759			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376045;1444325	history;history	pl. 65, W 21759
P000606	CDLI Lexical 000002, ex. 030	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 21761,a+		W 21761,a + W 21761,b			German Archaeological Institute, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1376046;1444325	history;history	pl. 5, W 21761,a+
P000608	CDLI Lexical 000028, ex. 09	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM —		W 21916,1			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; sec649	history; history	pl. 75, W 21916,1; catalogue
P000609	CDLI Lexical 000013, ex. 004	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM —		W 21916,2			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Englund1993ATU3; sec649	history; history	pl. 31, W 21916,2; catalogue
P000610	CDLI Lexical Archaic Unidentified, ex. 106	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 21924,1		W 21924,1			German Archaeological Institute, Berlin, Germany			Lexical	undetermined	clay	Englund1993ATU3; sec649	history; history	pl. 98, W 21924,1; catalogue
P000611	CDLI Lexical 000022, ex. 020	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 21924,2		W 21924,2			German Archaeological Institute, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; sec649	history; history	pl. 41, W 21924,2; catalogue
P000614	CDLI Lexical 000022, ex. 028	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134962		W 22090,2 + W 22090,3 + W 22090,5 + W 22090,9			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376047;1454051;1458915	history;history;history	pl. 43, W 22090,2+
P000615	CDLI Lexical Archaic Unidentified, ex. 107	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 22090,8		W 22090,8			German Archaeological Institute, Berlin, Germany			Lexical	undetermined	clay	1376048;1444332	history;history	pl. 98, W 22090,8
P000617	CDLI Lexical 000002, ex. 022	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 22091,3		W 22091,3			German Archaeological Institute, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1376049;1444334	history;history	pl. 4, W 22091,3
P000618	CDLI Lexical 000013, ex. 005	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134981		W 22101,7 + W 22101,9a			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1376050;1444335	history;history	pl. 31, W 22101,7+
P000620	CDLI Lexical 000013, ex. 013	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134983,1		W 22101,9b			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1376051;1444337	history;history	pl. 32, W 22101,9b
P000621	CDLI Lexical 000026, ex. 043	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 22104,0		W 22104,0			German Archaeological Institute, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1376052;1444338	history;history	pl. 73, W 22104,0
P000622	CDLI Lexical 000002, ex. 045	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134984		W 22115,0			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376053;1444338	history;history	pl. 8, W 22115,0
P000623	CDLI Lexical 000013, ex. 021	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 22116,2		W 22116,2			German Archaeological Institute, Berlin, Germany			Lexical	undetermined	clay	1376054;1444339	history;history	pl. 33, W 22116,2
P000624	CDLI Lexical Archaic Unidentified, ex. 108	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 22117,0		W 22117,0			German Archaeological Institute, Berlin, Germany			Lexical	undetermined	clay	1376055;1444340	history;history	pl. 98, W 22117,0
P000625	CDLI Lexical 000022, ex. 013	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134996		W 22118,6			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376056;1444341	history;history	pl. 40, W 22118,6
P000626	CDLI Lexical Archaic Unidentified, ex. 109	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134997		W 22118,7			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1376057;1444341	history;history	pl. 98, W 22118,7
P000627	CDLI Lexical 000023, ex. 084	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135004		W 22119,4			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376058;1444342	history;history	pl. 64, W 22119,4
P000628	ATU 3, pl. 081, W 22119,5	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135005		W 22119,5			National Museum of Iraq, Baghdad, Iraq			Vocabularies	undetermined	clay	Englund1993;1444342	primary;history	pl. 81, W 22119,5
P000629	CDLI Lexical Archaic Unidentified, ex. 110	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135036		W 22135,4			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1376059;1444342	history;history	pl. 98, W 22135,4
P000630	CDLI Lexical Archaic Unidentified, ex. 111	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135037		W 22135,5			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	1376060;1444342	history;history	pl. 98, W 22135,5
P000631	ATU 3, pl. 081, W 22136	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 073411		W 22136			National Museum of Iraq, Baghdad, Iraq			Vocabularies	undetermined	clay	Englund1993;1444343	primary;history	pl. 81, W 22136
P000632	CDLI Lexical 000022, ex. 027	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135437		W 23610			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376061;1444343	history;history	pl. 42, W 23610, BagM 10 (1979) 141
P000633	CDLI Lexical 000022, ex. 014	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 081213		W 23973,02			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	061; pl. 40, W 23973,2
P000634	CDLI Lexical 000002, ex. 087	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM —		W 23973,06a			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; Cavigneaux1991BagM22	history; history	pl. 13, W 23973,6a; 62
P000635	CDLI Lexical 000002, ex. 169	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM —		W 23973,06b			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; Cavigneaux1991BagM22	history; history	pl. 22, W 23973,6b; 62
P000636	CDLI Lexical 000002, ex. 031	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135458		W 23973,07c			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; Cavigneaux1991BagM22	history; history	pl. 5, W 23973,7c; 63
P000637	CDLI Lexical 000013, ex. 006	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135475		W 23983,e			National Museum of Iraq, Baghdad, Iraq			Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	066; pl. 31, W 23983,e
P000638	CDLI Lexical 000026, ex. 044	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM —		W 23984			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; Cavigneaux1991BagM22	history; history	pl. 73, W 23984; 67
P000639	CDLI Lexical 000022, ex. 021	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135477		W 23986,a			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Cavigneaux1991BagM22; Englund1993ATU3	history; history	067; pl. 41, W 23986,a
P000640	CDLI Lexical 000002, ex. 023	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135581		W 23989			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; Cavigneaux1991BagM22	history; history	pl. 4, W 23989; 68
P000641	CDLI Lexical 000026, ex. 017	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 081224		W 23997,2			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; Cavigneaux1991BagM22	history; history	pl. 70, W 23997,2; 71
P000642	CDLI Lexical 000002, ex. 042	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 135487		W 23997,4a			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; Cavigneaux1991BagM22	history; history	pl. 7, W 23997,4a; 72
