o0902997	ACN	7(N20)	N	-	𒘼,󰂝	o0902997
o0902998	ACN	8(N20)	N	-	𒘽,󰂞	o0902998
o0902999	ACN	9(N20)	N	-	𒘾,󰂟	o0902999
o0903329	ACN	1(N21)	N	-	𒗚	-
o0903000	ACN	2(N21)	N	-	𒗛	o0903000
o0903001	ACN	3(N21)	N	-	𒗜	o0903001
o0903002	ACN	4(N21)	N	-	𒗝	o0903002
o0903003	ACN	5(N21)	N	-	𒗞,󰂠	o0903003
o0903004	OOR	6(N21)	N	-	󰃠	o0903004
o0903005	ACN	1(N22)	N	-	𒖌	o0903005
o0903006	ACN	2(N22)	N	-	𒖍	o0903006
o0903007	ADD	1(N22~v)	N	-	󰃽	-
o0903008	ACN	1(N22@f)	N	-	𒙪	o0903008
o0903009	ACN	2(N22@f)	N	-	𒙫	o0903009
o0903010	Pelm	1(N23)	N	-	󰃾	o0903010
o0903011	Pelm	2(N23)	N	-	󰃿	o0903011
o0903012	Pelm	3(N23)	N	-	󰄀	o0903012
o0903013	Pelm	5(N23)	N	-	󰄁	o0903013
o0903014	Pelm	7(N23)	N	-	󰄂	o0903014
o0903016	ACN	1(N24)	N	-	𒖪	o0903016
o0903019	ADD	2(N24)	N	-	󰄃	o0903019
o0903020	ADD	4(N24)	N	-	󰄄	o0903020
o0903021	ADD	6(N24)	N	-	󰄅	o0903021
o0903015	ADD	1(N24@f)	N	-	󰄆	o0903015
o0903017	ACN	1(N24A)	N	-	𒗪	o0903017
o0903018	ACN	1(N24B)	N	-	𒗾	o0903018
o0903022	ACN	1(N25)	N	-	𒘣	o0903022
o0903023	ACN	1(N26)	N	-	𒖫,󰂡	o0903023
o0903025	ACN	1(N26B)	N	-	𒗿	o0903025
o0903026	ACN	1(N27)	N	-	𒘤,󰂢	o0903026
o0903028	ACN	1(N28)	N	-	𒖬	o0903028
o0903029	ACN	1(N28B)	N	-	𒘀	o0903029
o0903030	ACN	1(N28C)	N	-	𒘥	o0903030
o0903033	ACN	1(N29A)	N	-	𒖭,󰂣	-
o0903037	ADD	2(N29A)	N	-	󰄇	o0903037
o0903040	ACN	1(N29AB)	N	-	𒘁	o0903040
o0903043	ADD	2(N29AB)	N	-	󰄊	o0903043
o0903041	ACN	1(N29AC)	N	-	𒘦	o0903041
o0903034	ACN	1(N29B)	N	-	𒖮	o0903034
o0903038	ADD	2(N29B)	N	-	󰄈	-
o0903035	ADD	1(N29C)	N	-	󰄉	-
o0903051	ACN	1(N30A)	N	-	𒖯,󰂤	-
o0903342	ACN	1(N30AC)	N	-	𒘧	-
o0903047	ADD	1(N30B)	N	-	󰄋	-
o0903053	ACN	1(N30C)	N	-	𒖰	-
o0903562	ADD	1(N30CA)	N	-	󳂁	-
o0903054	ADD	1(N30CB)	N	-	󰄌	o0903054
o0903343	ACN	1(N30CC)	N	-	𒘨	-
o0903309	ACN	1(N30D)	N	-	𒖱	-
o0903310	ACN	1(N30E)	N	-	𒖲	-
o0903056	ACN	1(N31)	N	-	𒖳	o0903056
o0903057	ACN	1(N32)	N	-	𒖴	o0903057
o0903058	ACN	1(N33)	N	-	𒖵	o0903058
o0903059	ACN	1(N34)	N	-	𒕫	o0903059
o0903060	ADD	|1(N34)×1(N58)|	N	-	󰄭	o0903060
o0903061	ACN	2(N34)	N	-	𒕬,󰂥	o0903061
o0903062	ACN	3(N34)	N	-	𒕭,󰂦	o0903062
o0903063	ACN	4(N34)	N	-	𒕮	o0903063
o0903064	ACN	5(N34)	N	-	𒕯,󰂧	o0903064
o0903065	ACN	6(N34)	N	-	𒕰,󰂨	o0903065
o0903066	ACN	7(N34)	N	-	𒕱,󰂩	o0903066
o0903067	ACN	8(N34)	N	-	𒕲,󰂪	o0903067
