o0990470	12823	𒠣
o0990471	12824	𒠤
o0990472	12825	𒠥
o0990473	12826	𒠦
o0990475	12827	𒠧
o0990476	12828	𒠨
o0990477	12829	𒠩
o0990478	1282A	𒠪
o0990479	1282B	𒠫
o0990480	1282C	𒠬
o0990481	1282D	𒠭
o0990482	1282E	𒠮
o0990483	1282F	𒠯
o0990484	12830	𒠰
o0990485	12831	𒠱
o0990486	12832	𒠲
o0990488	12833	𒠳
o0990489	12834	𒠴
o0990490	12835	𒠵
o0990491	12836	𒠶
o0990492	12837	𒠷
o0990493	12838	𒠸
o0990494	12839	𒠹
o0990495	1283A	𒠺
o0990496	1283B	𒠻
o0990497	1283C	𒠼
o0990498	1283D	𒠽
o0990500	1283E	𒠾
o0990501	1283F	𒠿
o0990502	12840	𒡀
o0990503	12841	𒡁
o0990504	12842	𒡂
o0990506	12843	𒡃
o0990507	12844	𒡄
o0990510	12845	𒡅
o0990511	12846	𒡆
o0990512	12847	𒡇
o0990513	12848	𒡈
o0990514	12849	𒡉
o0990515	1284A	𒡊
o0990516	1284B	𒡋
o0990517	1284C	𒡌
o0990518	1284D	𒡍
o0990519	1284E	𒡎
o0990520	1284F	𒡏
o0990521	12850	𒡐
o0990522	12851	𒡑
o0990523	12852	𒡒
o0990524	12853	𒡓
o0990525	12854	𒡔
o0990526	12855	𒡕
o0990527	12856	𒡖
o0990528	12857	𒡗
o0990529	12858	𒡘
o0990531	12859	𒡙
o0990532	1285A	𒡚
o0990533	1285B	𒡛
o0990536	1285C	𒡜
o0990537	1285D	𒡝
o0990538	1285E	𒡞
o0990541	1285F	𒡟
o0990530	12860	𒡠
o0990534	12861	𒡡
o0990535	12862	𒡢
o0990542	12863	𒡣
o0990539	12864	𒡤
o0990540	12865	𒡥
o0990545	12866	𒡦
o0990547	12867	𒡧
o0990548	12868	𒡨
o0990549	12869	𒡩
o0990550	1286A	𒡪
o0990551	1286B	𒡫
o0990552	1286C	𒡬
o0990553	1286D	𒡭
o0990554	1286E	𒡮
o0990555	1286F	𒡯
o0990556	12870	𒡰
o0990561	12871	𒡱
o0990562	12872	𒡲
o0990563	12873	𒡳
o0990565	12874	𒡴
o0990566	12875	𒡵
o0990567	12876	𒡶
o0990568	12877	𒡷
o0990570	12878	𒡸
o0990573	12879	𒡹
o0990575	1287A	𒡺
o0990576	1287B	𒡻
o0990577	1287C	𒡼
o0990578	1287D	𒡽
o0990580	1287E	𒡾
o0990581	1287F	𒡿
o0990582	12880	𒢀
o0990583	12881	𒢁
o0990584	12882	𒢂
o0990586	12883	𒢃
o0990569	12884	𒢄
o0990572	12885	𒢅
o0990574	12886	𒢆
o0990579	12887	𒢇
o0990585	12888	𒢈
o0990587	12889	𒢉
o0990588	1288A	𒢊
o0990589	1288B	𒢋
o0990590	1288C	𒢌
o0990591	1288D	𒢍
o0990593	1288E	𒢎
o0990592	1288F	𒢏
o0990594	12890	𒢐
o0990595	12891	𒢑
o0990596	12892	𒢒
o0990600	12893	𒢓
o0990601	12894	𒢔
o0990602	12895	𒢕
o0990603	12896	𒢖
o0990604	12897	𒢗
o0990605	12898	𒢘
o0990606	12899	𒢙
o0990607	1289A	𒢚
o0990608	1289B	𒢛
o0990609	1289C	𒢜
o0990610	1289D	𒢝
o0990611	1289E	𒢞
o0990612	1289F	𒢟
o0990613	128A0	𒢠
o0990614	128A1	𒢡
o0990615	128A2	𒢢
o0990616	128A3	𒢣
o0990617	128A4	𒢤
o0990619	128A5	𒢥
o0990620	128A6	𒢦
o0990621	128A7	𒢧
o0990622	128A8	𒢨
o0990623	128A9	𒢩
o0990624	128AA	𒢪
o0990625	128AB	𒢫
o0990626	128AC	𒢬
o0990627	128AD	𒢭
o0990629	128AE	𒢮
o0990631	128AF	𒢯
o0990632	128B0	𒢰
o0990633	128B1	𒢱
o0990635	128B2	𒢲
o0990634	128B3	𒢳
o0990636	128B4	𒢴
o0990637	128B5	𒢵
o0990638	128B6	𒢶
o0990640	128B7	𒢷
o0990641	128B8	𒢸
o0990642	128B9	𒢹
o0990644	128BA	𒢺
o0990645	128BB	𒢻
o0990646	128BC	𒢼
o0990647	128BD	𒢽
o0990649	128BE	𒢾
o0990650	128BF	𒢿
o0990652	128C0	𒣀
o0990648	128C1	𒣁
o0990654	128C2	𒣂
o0990655	128C3	𒣃
o0990656	128C4	𒣄
o0990657	128C5	𒣅
o0990658	128C6	𒣆
o0990659	128C7	𒣇
o0990662	128C8	𒣈
o0990667	128C9	𒣉
o0990661	128CA	𒣊
o0990664	128CB	𒣋
o0990666	128CC	𒣌
o0990668	128CD	𒣍
o0990669	128CE	𒣎
o0990670	128CF	𒣏
o0990671	128D0	𒣐
o0990672	128D1	𒣑
o0990673	128D2	𒣒
o0990674	128D3	𒣓
o0990675	128D4	𒣔
o0990677	128D5	𒣕
o0990678	128D6	𒣖
o0990676	128D7	𒣗
o0990679	128D8	𒣘
o0990680	128D9	𒣙
o0990681	128DA	𒣚
o0990682	128DB	𒣛
o0990685	128DC	𒣜
o0990683	128DD	𒣝
o0990686	128DE	𒣞
o0990687	128DF	𒣟
o0990688	128E0	𒣠
o0990689	128E1	𒣡
o0990690	128E2	𒣢
o0990691	128E3	𒣣
o0990692	128E4	𒣤
o0990693	128E5	𒣥
o0990694	128E6	𒣦
o0990695	128E7	𒣧
o0990696	128E8	𒣨
o0990697	128E9	𒣩
o0990698	128EA	𒣪
o0990700	128EB	𒣫
o0990702	128EC	𒣬
o0990703	128ED	𒣭
o0990705	128EE	𒣮
o0990706	128EF	𒣯
o0990708	128F0	𒣰
o0990709	128F1	𒣱
o0990710	128F2	𒣲
o0990712	128F3	𒣳
o0990713	128F4	𒣴
o0990716	128F5	𒣵
o0990717	128F6	𒣶
o0990720	128F7	𒣷
o0990719	128F8	𒣸
o0990721	128F9	𒣹
o0990722	128FA	𒣺
o0990724	128FB	𒣻
o0990725	128FC	𒣼
o0990726	128FD	𒣽
o0990727	128FE	𒣾
o0990729	128FF	𒣿
o0990730	12900	𒤀
o0990731	12901	𒤁
o0990732	12902	𒤂
o0990733	12903	𒤃
o0990734	12904	𒤄
o0990735	12905	𒤅
o0990736	12906	𒤆
o0990737	12907	𒤇
o0990738	12908	𒤈
o0990739	12909	𒤉
o0990740	1290A	𒤊
o0990742	1290B	𒤋
o0990741	1290C	𒤌
o0990745	1290D	𒤍
o0990746	1290E	𒤎
o0990747	1290F	𒤏
o0990748	12910	𒤐
o0990749	12911	𒤑
o0990750	12912	𒤒
o0990751	12913	𒤓
o0990752	12914	𒤔
o0990755	12915	𒤕
o0990754	12916	𒤖
o0990753	12917	𒤗
o0990756	12918	𒤘
o0990757	12919	𒤙
o0990758	1291A	𒤚
o0990760	1291B	𒤛
o0990762	1291C	𒤜
o0990763	1291D	𒤝
o0990764	1291E	𒤞
o0990765	1291F	𒤟
o0990766	12920	𒤠
o0990767	12921	𒤡
o0990768	12922	𒤢
o0990769	12923	𒤣
o0990770	12924	𒤤
o0990771	12925	𒤥
o0990772	12926	𒤦
o0990773	12927	𒤧
o0990774	12928	𒤨
o0990775	12929	𒤩
o0990776	1292A	𒤪
o0990777	1292B	𒤫
o0990778	1292C	𒤬
o0990779	1292D	𒤭
o0990780	1292E	𒤮
o0990784	1292F	𒤯
o0990785	12930	𒤰
o0990786	12931	𒤱
o0990787	12932	𒤲
o0990788	12933	𒤳
o0990790	12934	𒤴
o0990789	12935	𒤵
o0990792	12936	𒤶
o0990794	12937	𒤷
o0990791	12938	𒤸
o0990793	12939	𒤹
o0990795	1293A	𒤺
o0990796	1293B	𒤻
o0990799	1293C	𒤼
o0990800	1293D	𒤽
o0990801	1293E	𒤾
o0990802	1293F	𒤿
o0990803	12940	𒥀
o0990804	12941	𒥁
o0990805	12942	𒥂
o0990806	12943	𒥃
o0990807	12944	𒥄
o0990808	12945	𒥅
o0990809	12946	𒥆
o0990810	12947	𒥇
o0990812	12948	𒥈
o0990813	12949	𒥉
o0990814	1294A	𒥊
o0990816	1294B	𒥋
o0990817	1294C	𒥌
o0990818	1294D	𒥍
o0990819	1294E	𒥎
o0990820	1294F	𒥏
o0990821	12950	𒥐
o0990822	12951	𒥑
o0990823	12952	𒥒
o0990824	12953	𒥓
o0990825	12954	𒥔
o0990826	12955	𒥕
o0990827	12956	𒥖
o0990828	12957	𒥗
o0990829	12958	𒥘
o0990830	12959	𒥙
o0990831	1295A	𒥚
o0990832	1295B	𒥛
o0990834	1295C	𒥜
o0990835	1295D	𒥝
o0990836	1295E	𒥞
o0990837	1295F	𒥟
o0990839	12960	𒥠
o0990841	12961	𒥡
o0990842	12962	𒥢
o0990843	12963	𒥣
o0990845	12964	𒥤
o0990846	12965	𒥥
o0990847	12966	𒥦
o0990848	12967	𒥧
o0990849	12968	𒥨
o0990850	12969	𒥩
o0990851	1296A	𒥪
o0990852	1296B	𒥫
o0990854	1296C	𒥬
