o0900010	126EA	A₂	A2
o0900012	126EB	AB~a	AB-A
o0900013	126EC	AB~a~v1	AB-A VARIANT 1
o0900040	126ED	AB~a@g	AB-A GUNU
o0900014	126EE	AB~b	AB-B
o0900041	126EF	AB₂	AB2
o0900042	126F0	AB₂~v1	AB2 VARIANT 1
o0900047	126F1	ABGAL	ABGAL
o0900048	126F2	ABGAL~v1	ABGAL VARIANT 1
o0900049	126F3	ABRIG	ABRIG
o0900050	126F4	ABZU	ABZU
o0900053	126F5	AD~a	AD-A
o0900054	126F6	AD~b	AD-B
o0900055	126F7	AD~c	AD-C
o0900056	126F8	ADAB	ADAB
o0900058	126F9	ADDA	ADDA
o0900059	126FA	ADDA@t	ADDA TENU-2
o0900060	126FB	AGAR₂	AGAR2
o0900062	126FC	AK~a	AK-A
o0900063	126FD	AK~b	AK-B
o0900064	126FE	AL	AL
o0900066	126FF	ALAN~a	ALAN-A
o0900067	12700	ALAN~b	ALAN-B
o0900068	12701	ALAN~c	ALAN-C
o0900069	12702	ALAN~d	ALAN-D
o0900070	12703	ALAN~e	ALAN-E
o0900071	12704	ALAN~f	ALAN-F
o0900072	12705	ALIM	ALIM
o0900074	12706	AM~a	AM-A
o0900075	12707	AM~b	AM-B
o0900077	12708	AMA~a	AMA-A
o0900078	12709	AMA~a~v1	AMA-A VARIANT 1
o0900079	1270A	AMA~b	AMA-B
o0900082	1270B	AMAR	AMAR
o0900083	1270C	AMAR~v1	AMAR VARIANT 1
o0900084	1270D	AMAR~v2	AMAR VARIANT 2
o0900088	1270E	AMAR@g	AMAR GUNU
o0900089	1270F	AN	AN
o0900090	12710	AN~v1	AN VARIANT 1
o0900091	12711	AN~v2	AN VARIANT 2
o0900093	12712	ANŠE~a	ANSHE-A
o0900094	12713	ANŠE~b	ANSHE-B
o0900095	12714	ANŠE~c	ANSHE-C
o0900096	12715	ANŠE~e	ANSHE-E
o0900098	12716	ANZU₂	ANZU2
o0900100	12717	APIN~a	APIN-A
o0900101	12718	APIN~b	APIN-B
o0900102	12719	APIN~c	APIN-C
o0900106	1271A	ARARMA₂~a	ARARMA2-A
o0900107	1271B	ARARMA₂~a~v1	ARARMA2-A VARIANT 1
o0900108	1271C	ARARMA₂~b	ARARMA2-B
o0900109	1271D	ARATTA	ARATTA
o0900110	1271E	ASAL₂	ASAL2
o0900111	1271F	ASAR	ASAR
o0900112	12720	AŠ₂	ASH2
o0900113	12721	AZ	AZ
o0900114	12722	AZU	AZU
o0900115	12723	BA	BA
o0900116	12724	BAD	BAD
o0900119	12725	BAD₃~a	BAD3-A
o0900121	12726	BAD₃~b1	BAD3-B1
o0900122	12727	BAD₃~b2	BAD3-B2
o0900124	12728	BAHAR₂~a	BAHAR2-A
o0900125	12729	BAHAR₂~a~v1	BAHAR2-A VARIANT 1
o0900126	1272A	BAHAR₂~b	BAHAR2-B
o0900127	1272B	BAHAR₂~b~v1	BAHAR2-B VARIANT 1
o0900128	1272C	BAHAR₂~c	BAHAR2-C
o0900130	1272D	BALA~a	BALA-A
o0900131	1272E	BALA~b	BALA-B
o0900132	1272F	BALA~b~v1	BALA-B VARIANT 1
o0900133	12730	BALAG	BALAG
o0900134	12731	BALAG~v1	BALAG VARIANT 1
o0900136	12732	BAN~a	BAN-A
o0900137	12733	BAN~a~v1	BAN-A VARIANT 1
o0900138	12734	BAN~a~v2	BAN-A VARIANT 2
o0900139	12735	BAN~b	BAN-B
o0900141	12736	BANŠUR~a	BANSHUR-A
o0900146	12737	BANŠUR~a@t	BANSHUR-A TENU
o0900142	12738	BANŠUR~b1	BANSHUR-B1
o0900143	12739	BANŠUR~b2	BANSHUR-B2
o0900144	1273A	BANŠUR~c	BANSHUR-C
o0900148	1273B	BAPPIR~a	BAPPIR-A
o0900149	1273C	BAPPIR~b	BAPPIR-B
o0900150	1273D	BAPPIR~c	BAPPIR-C
o0900151	1273E	BAPPIR~d	BAPPIR-D
o0900152	1273F	BAPPIR~e	BAPPIR-E
o0900153	12740	BAPPIR~f	BAPPIR-F
o0900154	12741	BAR	BAR
o0900158	12742	BARA₂~a	BARA2-A
o0900159	12743	BARA₂~a~v1	BARA2-A VARIANT 1
o0900160	12744	BARA₂~b	BARA2-B
o0900161	12745	BARA₂~b~v1	BARA2-B VARIANT 1
o0900162	12746	BARA₃	BARA3
o0900165	12747	BIR~a	BIR-A
o0900166	12748	BIR~b	BIR-B
o0900167	12749	BIR~c	BIR-C
o0900169	1274A	BIR₃~a	BIR3-A
o0900170	1274B	BIR₃~a~v1	BIR3-A VARIANT 1
o0900171	1274C	BIR₃~b	BIR3-B
o0900172	1274D	BIR₃~b~v1	BIR3-B VARIANT 1
o0900173	1274E	BIR₃~c	BIR3-C
o0900175	1274F	BU~a	BU-A
o0900176	12750	BU~a~v1	BU-A VARIANT 1
o0900177	12751	BU~b	BU-B
o0900205	12752	BU₃	BU3
o0900206	12753	BULUG	BULUG
o0900207	12754	BULUG₃	BULUG3
o0900211	12755	BUR~a	BUR-A
o0900212	12756	BUR~b	BUR-B
o0900213	12757	BUR~c	BUR-C
o0900214	12758	BUR~d	BUR-D
o0900215	12759	BUR₂	BUR2
o0900217	1275A	DA~a	DA-A
o0900218	1275B	DA~b	DA-B
o0900219	1275C	DA~c	DA-C
o0900220	1275D	DA~d	DA-D
o0900223	1275E	DAG	DAG
o0900224	1275F	DAH	DAH
o0900225	12760	DAM	DAM
o0900226	12761	DANNA	DANNA
o0900228	12762	DAR~a	DAR-A
o0900229	12763	DAR~b	DAR-B
o0900230	12764	DAR~c	DAR-C
o0900231	12765	DAR~d	DAR-D
o0900235	12766	DARA₃~a	DARA3-A
o0900236	12767	DARA₃~b	DARA3-B
o0900237	12768	DARA₃~c	DARA3-C
o0900238	12769	DARA₃~c~v1	DARA3-C VARIANT 1
o0900239	1276A	DARA₃~d	DARA3-D
o0900249	1276B	DARA₄~a1	DARA4-A1
o0900250	1276C	DARA₄~a2	DARA4-A2
o0900251	1276D	DARA₄~a3	DARA4-A3
o0900252	1276E	DARA₄~b	DARA4-B
o0900254	1276F	DARA₄~c1	DARA4-C1
o0900255	12770	DARA₄~c2	DARA4-C2
o0900256	12771	DARA₄~c3	DARA4-C3
o0900257	12772	DARA₄~c4	DARA4-C4
o0900258	12773	DARA₄~c5	DARA4-C5
o0900260	12774	DI	DI
o0900261	12775	DI@t	DI TENU
o0900262	12776	DIB	DIB
o0900263	12777	DIB~v1	DIB VARIANT 1
o0900264	12778	DILMUN	DILMUN
o0900265	12779	DILMUN~v1	DILMUN VARIANT 1
o0900266	1277A	DILMUN~v2	DILMUN VARIANT 2
o0900269	1277B	DIM~a	DIM-A
o0900270	1277C	DIM~b	DIM-B
o0900271	1277D	DIM~c	DIM-C
o0900276	1277E	DIN	DIN
o0900278	1277F	DIN@t	DIN TENU
o0900279	12780	DU	DU
o0900282	12781	DU@g	DU GUNU
o0900284	12782	DU₆~a	DU6-A
o0900285	12783	DU₆~a~v1	DU6-A VARIANT 1
o0900287	12784	DU₆~b	DU6-B
o0900288	12785	DU₆~c	DU6-C
o0900291	12786	DU₇	DU7
o0900293	12787	DU₈~a	DU8-A
o0900294	12788	DU₈~b	DU8-B
o0900295	12789	DU₈~b~v1	DU8-B VARIANT 1
o0900296	1278A	DU₈~c	DU8-C
o0900309	1278B	DU₈~c@g	DU8-C GUNU
o0900310	1278C	DU₈~c@g~v1	DU8-C GUNU VARIANT 1
o0900312	1278D	DUB~a	DUB-A
o0900313	1278E	DUB~b	DUB-B
o0900314	1278F	DUB~b~v1	DUB-B VARIANT 1
o0900315	12790	DUB~b~v2	DUB-B VARIANT 2
o0900316	12791	DUB~b~v3	DUB-B VARIANT 3
o0900317	12792	DUB~b~v4	DUB-B VARIANT 4
o0900318	12793	DUB~c	DUB-C
