262_06	
262_07	
262_08	
262_09	
262_10	
263_01	NAM~d
263_02	NAM₂
263_03	
263_04	
263_05	
263_06	
263_07	
263_08	
263_09	
263_10	
264_01	
264_02	
264_03	
264_04	
264_05	
264_06	
264_07	
264_08	
264_09	
264_10	
265_01	NAM₂@g
265_02	NAMEŠDA
265_03	
265_04	
265_05	
265_06	
265_07	
265_08	
265_09	
265_10	
266_01	NANŠE~b
266_02	NAR
266_03	NE~a
266_04	NE~d
266_05	
266_06	
266_07	
266_08	
266_09	
266_10	
267_01	NERGAL~x
267_02	NI~a
267_03	NI~b
267_04	
267_05	
267_06	
267_07	
267_08	
267_09	
267_10	
268_01	NI~b+4(N57)
268_02	NI~b+8(N57)
268_03	NI~b+?
268_04	NI₂
268_05	NIGIN
268_06	
268_07	
268_08	
268_09	
268_10	
269_01	NIM~a
269_02	NIM~b1
269_03	NIM~b2
269_04	NIMGIR
269_05	NIN
269_06	NINDA₂
269_07	
269_08	
269_09	
269_10	
270_01	NINDA₂+1(N1)
270_02	NINDA₂+2(N1)
270_03	NINDA₂+AN+?
270_04	NINDA₂+GIŠ
270_05	NINKUM
270_06	NINLIL
270_07	NIR~a
270_08	NIR~b
270_09	NESAG₂~a
270_10	
271_01	NESAG₂~b
271_02	NU
271_03	NU@g
271_04	NU₁₁
271_05	
271_06	
271_07	
271_08	
271_09	
271_10	
272_01	NU₁₁+NU₁₁
272_02	NUN~a
272_03	
272_04	
272_05	
272_06	
272_07	
272_08	
272_09	
272_10	
273_01	NUN~b
273_02	NUNUZ~a1
273_03	NUNUZ~b1
273_04	NUNUZ~c1
273_05	
273_06	
273_07	
273_08	
273_09	
273_10	
274_01	PA~a
274_02	PAD~a
274_03	PAD~b
274_04	PAP~a
274_05	
274_06	
274_07	
274_08	
274_09	
274_10	
275_01	PAP~b
275_02	PIRIG~a1
275_03	PIRIG~b1
275_04	PIRIG~b1+3(N57)
275_05	PU₂
275_06	
275_07	
275_08	
275_09	
275_10	
276_01	RAD~a
276_02	RAD~b
276_03	RAD@g
276_04	RI₈~a
276_05	RI₈~b
276_06	
276_07	
276_08	
276_09	
276_10	
277_01	RU
277_02	SA~a
277_03	SAG
277_04	
277_05	
277_06	
277_07	
277_08	
277_09	
277_10	
278_01	SAG@n
278_02	SAGŠU
278_03	SAL
278_04	SANGA~a
278_05	
278_06	
278_07	
278_08	
278_09	
278_10	
279_01	
279_02	
279_03	
279_04	
279_05	
279_06	
279_07	
279_08	
279_09	
279_10	
280_01	SANGA~b
280_02	SAR~a
280_03	SAR~b
280_04	SAR~c
280_05	SI
280_06	
280_07	
280_08	
280_09	
280_10	
281_01	SI+ŠE₃
281_02	SI₄~a
281_03	SIG
281_04	SIG₂~a1
281_05	
281_06	
281_07	
281_08	
281_09	
281_10	
282_01	SIG₂~a2
282_02	SIG₂~a3
282_03	SIG₂~b
282_04	SIG₂~c1
282_05	SIG₂~c2
282_06	SIG₂~d1
282_07	
282_08	
282_09	
282_10	
283_01	SIG₄
283_02	SIG₇
283_03	SILA₃~a
283_04	SILA₃~a+A
283_05	SILA₃~a+GEŠTU~a
283_06	SILA₃~a+HI~a
283_07	SILA₃~a+NAGA~a
283_08	SILA₃~a+NUN~b
283_09	SILA₃~a+ŠU
283_10	SILA₃~a+ZATU629
284_01	SILA₃~a+ZATU646~b
284_02	SILA₃~b
284_03	SILA₃~b+NI~b
284_04	SILA₃~c+ZATU687
284_05	SILA₄~a
284_06	SILA₄~b
284_07	SILA₄~d
284_08	SIMUG
284_09	SIPA
284_10	
285_01	SU~a
285_02	SU~a+1(N58)
285_03	SU₃
285_04	SUG
285_05	
285_06	
285_07	
285_08	
285_09	
285_10	
286_01	SUG₅
286_02	SUH₃
286_03	SUHUR
286_04	
286_05	
286_06	
286_07	
286_08	
286_09	
286_10	
287_01	SUHUR@g
287_02	SUKKAL
287_03	
287_04	
287_05	
287_06	
287_07	
287_08	
287_09	
287_10	
288_01	SUKUD~a
288_02	SUKUD@g~b
288_03	SUKUD+SUKUD~a
288_04	SUKUD+SUKUD~b
288_05	SUKUD+SUKUD~x
288_06	SUM~a
288_07	SUM~b
288_08	SUMAŠ
288_09	SUR
288_10	
289_01	SUSA
289_02	ŠA
289_03	ŠA+HI@g~a
289_04	ŠA@g
289_05	ŠA₃~a1
289_06	
289_07	
289_08	
289_09	
289_10	
290_01	ŠA₃~a2
290_02	ŠAB~a
290_03	ŠAGAN
290_04	
290_05	
290_06	
290_07	
290_08	
290_09	
290_10	
291_01	ŠAGINA
291_02	ŠAH₂~a
291_03	ŠAH₂~a+1(N57)
291_04	ŠAKIR~a
291_05	ŠAKIR~b
291_06	ŠAKIR~c
291_07	ŠAM₂
291_08	
291_09	
291_10	
292_01	ŠE~a
292_02	ŠE~a+KIN₂~c
292_03	ŠE~a+NAM₂
292_04	ŠE~a+SAR~a
292_05	ŠE~a+ŠE~a
292_06	ŠE~a@t
292_07	
292_08	
292_09	
292_10	
293_01	ŠE~b
293_02	ŠE₃
293_03	ŠE₃@t
293_04	ŠEG₉
293_05	ŠELU
293_06	ŠEN~a
293_07	ŠEN~b
293_08	ŠEN~c
293_09	
293_10	
294_01	ŠENNUR~a
294_02	ŠIDIM
294_03	ŠIM~a
294_04	ŠIR~a
294_05	ŠITA~a1
294_06	
294_07	
294_08	
294_09	
294_10	
295_01	ŠITA~a1+KAK
295_02	ŠITA~a1+ŠU
295_03	ŠITA~a3
295_04	ŠITA~b1
295_05	ŠITA~b3
295_06	ŠU
295_07	
295_08	
295_09	
295_10	
296_01	ŠU@g
296_02	ŠU₂
296_03	ŠU₂+EN~a
296_04	ŠU₁₂
296_05	
296_06	
296_07	
296_08	
296_09	
296_10	
297_01	ŠUBUR
297_02	
297_03	
297_04	
297_05	
297_06	
297_07	
297_08	
297_09	
297_10	
298_01	ŠUBUR+1(N57)
298_02	ŠUBUR+2(N57)
298_03	ŠUBUR+3(N57)
298_04	ŠUM
298_05	ŠURUPPAK~a
298_06	TA~c
298_07	TAG~a1
298_08	TAG~a2
298_09	TAG~a4
298_10	
299_01	TAG~b
299_02	TAK₄~a
299_03	TAR~a
299_04	
299_05	
299_06	
299_07	
299_08	
299_09	
299_10	
300_01	TE
300_02	TI~a
300_03	TI~a@g
300_04	TIDNUM
300_05	TILLA₂
300_06	
300_07	
300_08	
300_09	
300_10	
301_01	TU~a
301_02	TU~b
301_03	TUG₂~a
301_04	TUG₂~a@g
301_05	TUM~a
301_06	
301_07	
301_08	
301_09	
301_10	
302_01	TUM~b
302_02	TUN₃~a
302_03	TUN₃~b
302_04	TUR
302_05	
302_06	
302_07	
302_08	
302_09	
302_10	
303_01	TUR₃~a
303_02	TUR₃~b
303_03	U₂~a
303_04	U₂~b
303_05	
303_06	
303_07	
303_08	
303_09	
303_10	
304_01	U₄
304_02	
304_03	
304_04	
304_05	
304_06	
304_07	
304_08	
304_09	
304_10	
305_01	U₄+2(N57)
305_02	U₄+ŠU₂
305_03	U₈
305_04	UB
305_05	UBI~c
305_06	
305_07	
305_08	
305_09	
305_10	
306_01	UD₅~a
306_02	UD₅~a@g
306_03	UDU~a
306_04	UDU~c
306_05	UDUNITA~a
306_06	UH₃~a
306_07	UH₃~a@t
306_08	UKKIN~a
306_09	
306_10	
307_01	UKKIN~b
307_02	UMUN₂
307_03	
307_04	
307_05	
307_06	
307_07	
307_08	
307_09	
307_10	
308_01	UNUG~a
308_02	UNUG@s
308_03	UR~a
308_04	UR₂
308_05	UR₂+1(N57)
308_06	UR₂+TAR
308_07	UR₃~a2
308_08	
308_09	
308_10	
309_01	UR₃~b1
309_02	UR₃~b1+3(N58)
309_03	UR₃~b2
309_04	UR₄~a
309_05	UR₄~b
309_06	UR₅~b
309_07	URI
309_08	URI₃~a
309_09	
309_10	
310_01	URI₅
310_02	URU~a1
310_03	URUDU~a
310_04	URUDU@g~c
310_05	UŠ~a
310_06	
310_07	
310_08	
310_09	
310_10	
311_01	UŠ~b
311_02	UŠ~b+UŠ~b
311_03	UŠUMGAL
311_04	UŠUR₃~b1
311_05	UŠUR₃~b2
311_06	UTUA~b
311_07	UTUL~a
311_08	UTUL~b
311_09	UZ~a
311_10	
312_01	ZA~x
312_02	ZABALAM~a
312_03	ZAG~a
312_04	ZI~a
312_05	
312_06	
312_07	
312_08	
312_09	
312_10	
313_01	ZUBI~a
313_02	ZATU621~a
313_03	ZATU623
313_04	ZATU630
313_05	ZATU632~a
313_06	ZATU633~a
313_07	ZATU633~b
313_08	ZATU636
313_09	ZATU644~b
313_10	ZATU647
314_01	ZATU648
314_02	ZATU651
314_03	ZATU651+AN
314_04	ZATU651@g
314_05	ZATU659
314_06	ZATU659+1(N58)
314_07	ZATU662
314_08	
314_09	
314_10	
315_01	ZATU662+1(N14)
315_02	ZATU679
315_03	ZATU680~b
315_04	ZATU681
315_05	ZATU684
315_06	ZATU686~a
315_07	ZATU686~c
315_08	ZATU687
315_09	ZATU693
315_10	ZATU694~c
316_01	ZATU697~a
316_02	ZATU707~a
316_03	ZATU714
316_04	ZATU718
316_05	ZATU725
316_06	ZATU732
316_07	ZATU735~b
316_08	ZATU736~b
316_09	
316_10	
317_01	ZATU737
317_02	ZATU737+DI
317_03	ZATU737+GAR
317_04	ZATU737+NI~a@g
317_05	ZATU737+SAL
317_06	ZATU737+U₄
317_07	
317_08	
317_09	
317_10	
318_01	ZATU737+?
318_02	ZATU750
318_03	ZATU751~a
318_04	ZATU751~b
318_05	ZATU752
318_06	ZATU753
318_07	ZATU758
318_08	ZATU759+KU₆
318_09	ZATU766
318_10	
319_01	ZATU777
319_02	ZATU786
319_03	ZATU806
319_04	LAK25
319_05	LAK777
319_06	1(N1)
319_07	
319_08	
319_09	
319_10	
320_01	2(N1)
320_02	3(N1)
320_03	
320_04	
320_05	
