o0036778	2(N42)	o0903122
o0031197	2(N42~a)	o0903123
o0031199	2(N42~b)	o0903124
o0027314	2(N45)	o0903137
o0027316	2(N45@f)	o0903145
o0031201	2(N46)	o0903154
o0027318	2(N46@f)	o0903157
o0031202	2(N47)	o0903159
o0031204	2(N48)	o0903162
o0031206	2(N49)	o0903170
o0027320	2(N50)	o0903175
o0027322	2(N51)	o0903189
o0027324	2(N51@f)	o0903180
o0031208	2(N52)	o0903197
o0031209	2(N54)	o0903203
o0031211	2(N56)	o0903209
o0018502	2(N57)	o0903222
o0031213	2(N58)	o0903284
o0031215	2(N59)	o0903296
o0036294	22(N14)	o0902944
o0036780	3(LAGAB)	o0902842
o0027260	3(LAGAB~a)	o0902843
o0027325	3(N01)	o0902860
o0027327	3(N01@f)	o0902850
o0031217	3(N02)	o0902872
o0031219	3(N03)	o0902881
o0027329	3(N04)	o0902886
o0027331	3(N04@f)	o0902891
o0031220	3(N05)	o0902896
o0036782	3(N07)	o0902906
o0031222	3(N07~a)	o0902907
o0031224	3(N07~b)	o0902908
o0031228	3(N08)	o0902914
o0038043	3(N08)~v1	o0903374
o0031226	3(N08~b)	o0902915
o0027333	3(N14)	o0902932
o0027335	3(N14@f)	o0902947
o0031230	3(N15)	o0902957
o0031232	3(N18)	o0902964
o0027336	3(N19)	o0902974
o0027338	3(N19@f)	o0902984
o0031234	3(N20)	o0902993
o0031236	3(N21)	o0903001
o0031238	3(N23)	o0903012
o0027340	3(N34)	o0903062
o0027342	3(N34@f)	o0903072
o0031239	3(N36)	o0903084
o0036784	3(N39)	o0903103
o0031241	3(N39~a)	o0903104
o0031243	3(N39~b)	o0903105
o0031245	3(N40)	o0903113
o0031247	3(N41)	o0903117
o0036786	3(N42)	o0903125
o0031249	3(N42~a)	o0903126
o0031251	3(N42~b)	o0903127
o0031254	3(N45)	o0903138
o0031253	3(N45@f)	o0903146
o0031255	3(N46)	o0903155
o0031257	3(N47)	o0903160
o0031259	3(N48)	o0903163
o0031261	3(N49)	o0903171
o0031263	3(N50)	o0903176
o0031265	3(N51)	o0903190
o0027343	3(N51@f)	o0903181
o0031267	3(N52)	o0903198
o0031269	3(N53)	o0903201
o0031271	3(N54)	o0903204
o0027344	3(N57)	o0903234
o0031273	3(N58)	o0903285
o0031275	3(N59)	o0903297
o0031277	3(N61)	o0903302
o0036787	4(LAGAB)	o0902844
o0031279	4(LAGAB~a)	o0902845
o0027346	4(N01)	o0902861
o0027348	4(N01@f)	o0902851
o0031281	4(N02)	o0902873
o0031283	4(N03)	o0902882
o0027349	4(N04)	o0902887
o0027351	4(N04@f)	o0902892
o0031285	4(N05)	o0902897
o0031290	4(N08)	o0902916
o0038045	4(N08)~v1	o0903375
o0031286	4(N08~b)	o0902917
o0031288	4(N08~c)	o0902918
o0027353	4(N14)	o0902933
o0027355	4(N14@f)	o0902948
o0031292	4(N15)	o0902958
o0031294	4(N18)	o0902965
o0027357	4(N19)	o0902975
o0027359	4(N19@f)	o0902985
o0031296	4(N20)	o0902994
o0031298	4(N21)	o0903002
o0031299	4(N24)	o0903020
o0027361	4(N34)	o0903063
o0027363	4(N34@f)	o0903073
o0027365	4(N36)	o0903085
o0036788	4(N39)	o0903106
o0031300	4(N39~a)	o0903107
o0031301	4(N39~b)	o0903108
o0031303	4(N40)	o0903114
o0031305	4(N41)	o0903118
o0036789	4(N42)	o0903128
o0031307	4(N42~a)	o0903129
o0031308	4(N42~b)	o0903130
o0031310	4(N43)	o0903132
o0027367	4(N45)	o0903139
o0031312	4(N45@f)	o0903147
o0031314	4(N48)	o0903164
o0031316	4(N49)	o0903172
o0027369	4(N50)	o0903177
o0027371	4(N51)	o0903191
o0027373	4(N51@f)	o0903182
o0031318	4(N52)	o0903199
o0031320	4(N54)	o0903205
o0031322	4(N57)	o0903257
o0031323	4(N58)	o0903288
o0031324	4(N59)	o0903298
o0031325	4(N62)	o0903303
o0027374	5(N01)	o0902862
o0027376	5(N01@f)	o0902852
o0031326	5(N02)	o0902874
o0031328	5(N03)	o0902883
o0031330	5(N04)	o0902888
o0027378	5(N04@f)	o0902893
o0031332	5(N05)	o0902898
o0031334	5(N08)	o0902919
o0027379	5(N14)	o0902934
o0035490	5(N14)~v1	o0902935
o0027381	5(N14@f)	o0902949
o0031336	5(N15)	o0902959
o0031337	5(N18)	o0902966
o0027383	5(N19)	o0902976
o0027385	5(N19@f)	o0902986
o0031339	5(N20)	o0902995
o0031341	5(N21)	o0903003
o0031343	5(N23)	o0903013
o0031344	5(N34)	o0903064
o0027387	5(N34@f)	o0903074
o0031346	5(N35)	o0903081
o0031348	5(N36)	o0903086
o0036790	5(N39)	o0903109
o0036310	5(N39~t)	o0903110
o0027388	5(N45)	o0903140
o0031350	5(N45@f)	o0903148
o0031351	5(N48)	o0903165
o0031353	5(N49)	o0903173
o0027390	5(N50)	o0903178
o0027391	5(N51)	o0903192
o0027393	5(N51@f)	o0903183
o0031355	5(N52)	o0903200
o0031357	5(N54)	o0903206
o0031359	5(N57)	o0903264
o0031360	5(N58)	o0903289
o0036791	6(LAGAB)	o0902846
o0031362	6(LAGAB~a)	o0902847
o0027395	6(N01)	o0902863
o0027397	6(N01@f)	o0902853
o0031364	6(N02)	o0902875
o0031366	6(N08)	o0902920
o0027399	6(N14)	o0902936
o0035492	6(N14)~v1	o0902937
o0027401	6(N14@f)	o0902950
o0031367	6(N18)	o0902967
o0027403	6(N19)	o0902977
