1298B	12A89
1298C	12A8A
1298D	12A8B
1298E	12A8C
1298F	12A8D
12990	12A8E
12991	F2991
12992	12A8F
12993	12A90
12994	12A91
12995	12A92
12996	12A93
12997	12A94
12998	12A95
12999	12A96
1299A	12A97
1299B	12A98
12DDB	12A99
1299C	12A9A
1299D	12A9B
1299E	12A9C
1299F	12A9D
129A1	12A9E
129A0	12A9F
129A2	12AA0
129A3	F29A3
129A4	F29A4
129A5	12AA1
129A6	12AA2
129A7	12AA3
129A9	12AA4
129A8	12AA5
129AA	12AA6
129AB	12AA7
129AC	12AA8
129AD	12AA9
12DDD	12AAA
12DE3	F2DE3
129B0	12AAB
129B1	12AAC
12DDE	12AAD
129AE	12AAE
12DE0	12AAF
12DE1	F2DE1
12DE2	12AB0
12DDC	12AB1
129AF	12AB2
12DDF	12AB3
129B2	12AB4
129B3	12AB5
12DE5	12AB6
12DE6	12AB7
12DE7	12AB8
12DE4	12AB9
129B4	12ABA
129B5	12ABB
129B6	12ABC
129B7	12ABD
129B8	12ABE
129B9	12ABF
129BA	12AC0
12DE8	12AC1
129BB	12AC2
129BC	12AC3
12A13	12AC4
12E06	12AC5
12E07	12AC6
12A14	12AC7
12A15	12AC8
12A16	12AC9
12A17	12ACA
12A18	12ACB
12A19	12ACC
12A1A	12ACD
12A1B	12ACE
12A1C	12ACF
12A1D	12AD0
12A1E	12AD1
12A1F	12AD2
12A20	12AD3
12A21	12AD4
12A22	12AD5
12A23	12AD6
12A24	12AD7
12E09	12AD8
12E0A	12AD9
12A25	12ADA
12A26	12ADB
12A27	12ADC
12A28	12ADD
12A29	12ADE
12A2A	12ADF
12A2B	12AE0
12A2C	12AE1
12A2D	12AE2
12A2E	12AE3
12A2F	12AE4
12A30	F2A30
12A31	12AE5
12E0D	12AE6
12E0E	12AE7
12E10	12AE8
12E11	F2E11
12E12	12AE9
12E13	12AEA
12E14	12AEB
12E15	12AEC
12E16	12AED
12E17	12AEE
12E18	12AEF
12E19	12AF0
12E1A	12AF1
12E1B	12AF2
12E1C	12AF3
12E1D	12AF4
12E1E	12AF5
12E1F	12AF6
12E20	12AF7
12E21	12AF8
12E22	12AF9
12E23	12AFA
12E24	12AFB
12E29	12AFC
12E2A	12AFD
12E2B	12AFE
12E25	12AFF
12E26	12B00
12E27	12B01
12E28	12B02
12E2C	12B03
12E2D	12B04
12E2E	12B05
12E2F	12B06
12E0B	12B07
12E0C	12B08
12E0F	12B09
12A32	12B0A
12E30	F2E30
12E31	12B0B
12E32	12B0C
12E34	12B0D
12A33	12B0E
12E33	12B0F
12E35	12B10
12E36	12B11
12E37	12B12
12A34	12B13
