P000705	CDLI Lexical 000007, ex. 014	Englund, Robert K. & Nissen, Hans J., ATU 7, pl. 94, HD 05
P003276	ATU 7, pl. 022, W 19592,n	Frühe Schrift, p. 77, no. 10.1; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 62 fig. 19
P003277	ATU 7, pl. 023, W 19592,o	
P003278	ATU 7, pl. 023, W 19592,p	
P003279	ATU 7, pl. 023, W 19592,q	
P003280	ATU 7, pl. 023, W 19592,r	
P003281	ATU 7, pl. 023, W 19592,s	
P003285	ATU 7, pl. 023, W 19621	
P003286	ATU 7, pl. 023, W 19635,a	
P003287	ATU 7, pl. 023, W 19635,b	
P003289	ATU 7, pl. 023, W 19637	
P003290	ATU 7, pl. 023, W 19638	
P003291	ATU 7, pl. 024, W 19639,a	
P003292	ATU 7, pl. 024, W 19639,b	
P003293	ATU 7, pl. 024, W 19639,c	
P003295	ATU 7, pl. 024, W 19641	
P003307	ATU 7, pl. 024, W 19667,a	
P003308	ATU 7, pl. 024, W 19667,b	
P003309	ATU 7, pl. 024, W 19667,c	
P003310	ATU 7, pl. 024, W 19667,d	
P003311	ATU 7, pl. 024, W 19667,f	
P003312	ATU 7, pl. 024, W 19667,g	
P003316	ATU 7, pl. 024, W 19669	
P003321	ATU 7, pl. 025, W 19685	
P003323	ATU 7, pl. 025, W 19687	
P003324	ATU 7, pl. 025, W 19688	
P003325	ATU 7, pl. 025, W 19689,a	
P003326	ATU 7, pl. 025, W 19689,b	
P003327	ATU 7, pl. 026, W 19690	
P003329	ATU 7, pl. 026, W 19725	
P003330	ATU 7, pl. 026, W 19726,a	ATU 2, plate 58; Spektrum der Wissenschaft, March 1988, 47 (p) not identified; Frühe Schrift, p. 79, no. 10.5; Natuur & Techniek 59/9 (1991) 701 ((p)); discussed by J. Friberg, AfO 44/45 (1997/98) 49; copy published R. Englund in J. Bauer, R. Englund and 
P003331	ATU 7, pl. 026, W 19726,d	
P003332	ATU 7, pl. 026, W 19726,e	
P003333	ATU 7, pl. 026, W 19726,f	
P003335	ATU 7, pl. 026, W 19728,a	
P003336	ATU 7, pl. 027, W 19728,b	
P003340	ATU 7, pl. 027, W 19766	
P003351	ATU 7, pl. 027, W 19781	
P003354	ATU 7, pl. 027, W 19796	
P003357	ATU 7, pl. 027, W 19851,b+	
P003362	ATU 7, pl. 028, W 19948,5	
P003363	ATU 7, pl. 028, W 19948,6	
P003369	ATU 7, pl. 028, W 19948,15	ATU 3, pl. 083
P003370	ATU 7, pl. 028, W 19948,16	
P003374	ATU 7, pl. 028, W 19948,21	
P003379	ATU 7, pl. 028, W 19948,31	
P003380	ATU 7, pl. 029, W 19948,37	
P003381	ATU 7, pl. 029, W 19948,51	
P003382	ATU 7, pl. 029, W 19948,52	
P003383	ATU 7, pl. 029, W 19948,53	
P003384	ATU 7, pl. 029, W 19948,54	
P003385	ATU 7, pl. 029, W 19948,55	
P003386	ATU 7, pl. 029, W 19948,56	
P003387	ATU 7, pl. 029, W 19948,58	
P003388	ATU 7, pl. 029, W 19948,59	
P003389	ATU 7, pl. 029, W 19948,60	
P003390	ATU 7, pl. 029, W 19948,61	
P003391	ATU 7, pl. 030, W 19948,62	
P003392	ATU 7, pl. 030, W 19948,63	
P003393	ATU 7, pl. 030, W 19948,64	
P003394	ATU 7, pl. 030, W 19948,65	
P003395	ATU 7, pl. 030, W 19948,66	
P003396	ATU 7, pl. 030, W 19948,67	
P003397	ATU 7, pl. 030, W 19948,69	
P003398	ATU 7, pl. 030, W 19948,70	
P003399	ATU 7, pl. 030, W 19948,72	
P003400	ATU 7, pl. 030, W 19948,73	
P003401	ATU 7, pl. 030, W 20034,b	
P003408	ATU 7, pl. 031, W 20044,7	
P003412	ATU 7, pl. 031, W 20044,11	
P003413	ATU 7, pl. 031, W 20044,12	
P003414	ATU 7, pl. 031, W 20044,13	
P003415	ATU 7, pl. 032, W 20044,14	
P003417	ATU 7, pl. 032, W 20044,16	
P003418	ATU 7, pl. 032, W 20044,17	Copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 116 fig. 39
P003419	ATU 7, pl. 032, W 20044,18	
P003420	ATU 7, pl. 032, W 20044,19	
P003421	ATU 7, pl. 033, W 20044,20	
P003423	ATU 7, pl. 033, W 20044,22	ATU 3, pl. 083
P003425	ATU 7, pl. 033, W 20044,24	
P003434	ATU 7, pl. 034, W 20044,33	
P003435	ATU 7, pl. 034, W 20044,34	
P003437	ATU 7, pl. 034, W 20044,36	
P003438	ATU 7, pl. 034, W 20044,37	ATU 2, plate 56
P003439	ATU 7, pl. 035, W 20044,38	Frühe Schrift, p. 77, no. 10.4; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 62 fig. 19
P003440	ATU 7, pl. 035, W 20044,39	
P003456	ATU 7, pl. 035, W 20044,51	
P003457	ATU 7, pl. 035, W 20044,52	
P003459	ATU 7, pl. 035, W 20044,54	
P003462	ATU 7, pl. 036, W 20044,58	Frühe Schrift, p. 77, no. 10.3; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 62 fig. 19
P003463	ATU 7, pl. 036, W 20044,59	
P003464	ATU 7, pl. 036, W 20044,60	
P003465	ATU 7, pl. 036, W 20044,61	
P003466	ATU 7, pl. 036, W 20050,a	
P003471	ATU 7, pl. 037, W 20214,4+	
P003472	ATU 7, pl. 038, W 20214,5	
P003475	ATU 7, pl. 038, W 20214,8	
P003476	ATU 7, pl. 038, W 20214,9	
P003477	ATU 7, pl. 038, W 20223	
P003480	ATU 7, pl. 038, W 20236,1	
P003481	ATU 7, pl. 038, W 20236,2	
P003482	ATU 7, pl. 038, W 20237	
P003483	ATU 7, pl. 039, W 20238	
P003484	ATU 7, pl. 039, W 20239	Nissen, Inter. Science Reviews 10, 1985, 359 Vs. (p); Spektrum der Wissenschaft, Februar 1988, 85 Vs, (p), beide ohne Identifizierung; Natuur & Techniek 59/9 (1991) 698 ((p))
P003491	ATU 7, pl. 039, W 20244	
P003494	ATU 7, pl. 039, W 20246,2	
P003495	ATU 7, pl. 039, W 20246,3	
P003510	ATU 7, pl. 040, W 20274,12	Green, Margaret W., JNES 39 (1980) 032 35; ATU 2, plate 21 (p, c); Frühe Schrift p. 132 14.1; copy published R. Englund, Fs Boehmer (Mainz 1995) 129 fig. 5 ; R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 144 fi
P003511	ATU 7, pl. 040, W 20274,13	ATU 2, plate 21 obv. (p, c); Frühe Schrift p. 161, no. 17.2
P003512	ATU 7, pl. 040, W 20274,14	ATU 2, plate 21 obv. (p, c)
P003513	ATU 7, pl. 040, W 20274,15	Green, Margaret W., JNES 39 (1980) 021 04; ATU 2, plate 22 obv. (p, c), rev. (c); Frühe Schrift p. 133, no. 14.3; copy published R. Englund, Fs Boehmer (Mainz 1995) 129 fig. 5 ; R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Swit
P003518	ATU 7, pl. 041, W 20274,20	ATU 2, plate 24 (p, c)
P003519	ATU 7, pl. 041, W 20274,21	ATU 2, plate 25 (p)
P003522	ATU 7, pl. 042, W 20274,24	ATU 2, plate 24 obv. (p, c)
P003523	ATU 7, pl. 042, W 20274,25	ATU 2, plate 25 (p, c)
P003528	ATU 7, pl. 042, W 20274,30	ATU 2, plate 28 obv.; Frühe Schrift p. 136, no. 14.6
P003534	ATU 7, pl. 043, W 20274,36	ATU 2, plate 30; Frühe Schrift, p. 59, no. 7.9 photo
P003535	ATU 7, pl. 043, W 20274,37	ATU 2, plate 30 obv. (p, c), rev. (c); Frühe Schrift p. 177, no. 18.8
