219	𒙰	4(N45)	FOUR‐N45
220	𒙱	4(N45@f)	FOUR‐N45 FLAT
221	𒙲	4(N48)	FOUR‐N48
222	𒙳	4(N49)	FOUR‐N49
223	𒙴	4(N50)	FOUR‐N50
224	𒙵	4(N51)	FOUR‐N51
225	𒙶	4(N51@f)	FOUR‐N51 FLAT
226	𒙷	4(N52)	FOUR‐N52
227	𒙸	4(N54)	FOUR‐N54
228	𒙹	4(N57)	FOUR‐N57
229	𒙾	4(N58)	FOUR‐N58
230	𒙿	4(N59)	FOUR‐N59
231	𒚀	4(N62)	FOUR‐N62
232	𒚁	4(LAGAB~a)	FOUR‐LAGAB‐A
233	𒚂	5(N01)	FIVE‐N1
234	𒚃	5(N01@f)	FIVE‐N1 FLAT
235	𒚄	5(N02)	FIVE‐N2
236	𒚅	5(N03)	FIVE‐N3
237	𒚆	5(N04)	FIVE‐N4
238	𒚇	5(N04@f)	FIVE‐N4 FLAT
239	𒚈	5(N05)	FIVE‐N5
240	𒚉	5(N08)	FIVE‐N8
241		5(N14)	FIVE‐N14
241.1		5(N14)	FIVE‐N14 VARIANT 1
242	𒚋	5(N14@f)	FIVE‐N14 FLAT
243	𒚌	5(N15)	FIVE‐N15
244	𒚍	5(N18)	FIVE‐N18
245	𒚎	5(N19)	FIVE‐N19
246	𒚏	5(N19@f)	FIVE‐N19 FLAT
247	𒚐	5(N20)	FIVE‐N20
248	𒚑	5(N21)	FIVE‐N21
249	𒚒	5(N23)	FIVE‐N23
250	𒚓	5(N34)	FIVE‐N34
251	𒚔	5(N34@f)	FIVE‐N34 FLAT
252	𒚕	5(N35)	FIVE‐N35
253	𒚖	5(N36)	FIVE‐N36
254	𒚗	5(N45)	FIVE‐N45
255	𒚘	5(N45@f)	FIVE‐N45 FLAT
256	𒚙	5(N48)	FIVE‐N48
257	𒚚	5(N49)	FIVE‐N49
258	𒚛	5(N50)	FIVE‐N50
259	𒚜	5(N51)	FIVE‐N51
260	𒚝	5(N51@f)	FIVE‐N51 FLAT
261	𒚞	5(N52)	FIVE‐N52
262	𒚟	5(N54)	FIVE‐N54
263	𒚠	5(N57)	FIVE‐N57
264	𒚣	5(N58)	FIVE‐N58
265	𒚤	6(N01)	SIX‐N1
266	𒚥	6(N01@f)	SIX‐N1 FLAT
267	𒚦	6(N02)	SIX‐N2
268	𒚧	6(N08)	SIX‐N8
269		6(N14)	SIX‐N14
269.1		6(N14)	SIX‐N14 VARIANT 1
270	𒚩	6(N14@f)	SIX‐N14 FLAT
271	𒚪	6(N18)	SIX‐N18
272	𒚫	6(N19)	SIX‐N19
273	𒚬	6(N19@f)	SIX‐N19 FLAT
274	𒚭	6(N20)	SIX‐N20
275	𒚮	6(N21)	SIX‐N21
276	𒚯	6(N24)	SIX‐N24
277	𒚰	6(N34)	SIX‐N34
278	𒚱	6(N34@f)	SIX‐N34 FLAT
279	𒚲	6(N36)	SIX‐N36
280	𒚳	6(N45)	SIX‐N45
281	𒚴	6(N45@f)	SIX‐N45 FLAT
282	𒚵	6(N48)	SIX‐N48
283	𒚶	6(N51)	SIX‐N51
284	𒚷	6(N51@f)	SIX‐N51 FLAT
285		6(N57)	SIX‐N57
285.1		6(N57)	SIX‐N57 VARIANT 1
286	𒚻	6(LAGAB~a)	SIX‐LAGAB‐A
287	𒚼	7(N01)	SEVEN‐N1
288	𒚽	7(N01@f)	SEVEN‐N1 FLAT
289	𒚾	7(N02)	SEVEN‐N2
290	𒚿	7(N08)	SEVEN‐N8
291	𒛀	7(N14)	SEVEN‐N14
292	𒛁	7(N14@f)	SEVEN‐N14 FLAT
293	𒛂	7(N18)	SEVEN‐N18
294	𒛃	7(N19)	SEVEN‐N19
295	𒛄	7(N19@f)	SEVEN‐N19 FLAT
296	𒛅	7(N20)	SEVEN‐N20
297	𒛆	7(N23)	SEVEN‐N23
298	𒛇	7(N34)	SEVEN‐N34
299	𒛈	7(N34@f)	SEVEN‐N34 FLAT
300	𒛉	7(N36)	SEVEN‐N36
301	𒛊	7(N45)	SEVEN‐N45
302	𒛋	7(N45@f)	SEVEN‐N45 FLAT
303	𒛌	7(N48)	SEVEN‐N48
304	𒛍	7(N51)	SEVEN‐N51
305	𒛎	7(N51@f)	SEVEN‐N51 FLAT
306	𒛏	7(N57)	SEVEN‐N57
307	𒛐	8(N01)	EIGHT‐N1
308	𒛑	8(N01@f)	EIGHT‐N1 FLAT
309	𒛒	8(N02)	EIGHT‐N2
310	𒛓	8(N08)	EIGHT‐N8
311	𒛔	8(N14)	EIGHT‐N14
312	𒛕	8(N14@f)	EIGHT‐N14 FLAT
313	𒛖	8(N18)	EIGHT‐N18
314	𒛗	8(N19)	EIGHT‐N19
315	𒛘	8(N19@f)	EIGHT‐N19 FLAT
316	𒛙	8(N20)	EIGHT‐N20
317	𒛚	8(N34)	EIGHT‐N34
318	𒛛	8(N34@f)	EIGHT‐N34 FLAT
319	𒛜	8(N36)	EIGHT‐N36
320	𒛝	8(N45@f)	EIGHT‐N45 FLAT
321	𒛞	8(N51)	EIGHT‐N51
322	𒛟	8(N51@f)	EIGHT‐N51 FLAT
323	𒛠	8(N57)	EIGHT‐N57
324	𒛢	8(N58)	EIGHT‐N58
325		9(N01)	NINE‐N1
325.1		9(N01)	NINE‐N1 VARIANT 1
326	𒛤	9(N01@f)	NINE‐N1 FLAT
327	𒛥	9(N02)	NINE‐N2
328	𒛦	9(N08)	NINE‐N8
329	𒛧	9(N14)	NINE‐N14
330	𒛨	9(N14@f)	NINE‐N14 FLAT
331		9(N18)	NINE‐N18
331.1		9(N18)	NINE‐N18 VARIANT 1
332		9(N19)	NINE‐N19
332.1		9(N19)	NINE‐N19 VARIANT 1
333	𒛫	9(N19@f)	NINE‐N19 FLAT
334	𒛬	9(N20)	NINE‐N20
335	𒛭	9(N34)	NINE‐N34
336	𒛮	9(N34@f)	NINE‐N34 FLAT
337	𒛯	9(N36)	NINE‐N36
338	𒛰	9(N45)	NINE‐N45
339	𒛱	9(N45@f)	NINE‐N45 FLAT
340	𒛲	9(N51@f)	NINE‐N51 FLAT
341	𒛳	9(N57)	NINE‐N57
342	𒛴	9(N58)	NINE‐N58
343	𒛵	10(N01)	TEN‐N1
344	𒛶	10(N14)	TEN‐N14
345	𒛷	10(N14@f)	TEN‐N14 FLAT
346	𒛸	10(N57)	TEN‐N57
347	𒛹	10(N58)	TEN‐N58
348	𒛺	12(N14)	TWELVE‐N14
349	𒛻	12(N58)	TWELVE‐N58
350	𒛽	A	A
351	𒜄	A@t	A TENU
352	𒜅	A@g	A GUNU
353	𒜆	A2	A2
354		AB~a	AB‐A
354.1		AB~a	AB‐A VARIANT 1
355	𒜐	AB~a@g	AB‐A GUNU
356	𒜑	AB~b	AB‐B
357		AB2	AB2
357.1		AB2	AB2 VARIANT 1
358		ABGAL	ABGAL
358.1		ABGAL	ABGAL VARIANT 1
359	𒜘	ABRIG	ABRIG
360	𒜙	ABZU	ABZU
361	𒜚	AD~a	AD‐A
362	𒜛	AD~b	AD‐B
363	𒜜	AD~c	AD‐C
364	𒜝	ADAB	ADAB
365	𒜞	ADDA	ADDA
366	𒜟	ADDA@t‐2	ADDA TENU‐2
367	𒜠	AGAR2	AGAR2
368	𒜡	AK~a	AK‐A
369	𒜢	AK~b	AK‐B
370	𒜣	AL	AL
371	𒜤	ALAN~a	ALAN‐A
372	𒜥	ALAN~b	ALAN‐B
373	𒜦	ALAN~c	ALAN‐C
374	𒜧	ALAN~d	ALAN‐D
375	𒜨	ALAN~e	ALAN‐E
376	𒜩	ALAN~f	ALAN‐F
377	𒜪	ALIM	ALIM
378	𒜫	AM~a	AM‐A
379	𒜬	AM~b	AM‐B
380		AMA~a	AMA‐A
380.1		AMA~a	AMA‐A VARIANT 1
381	𒜯	AMA~b	AMA‐B
382		AMAR	AMAR
382.1		AMAR	AMAR VARIANT 1
382.2		AMAR	AMAR VARIANT 2
383	𒜴	AMAR@g	AMAR GUNU
384		AN	AN
384.1		AN	AN VARIANT 1
384.2		AN	AN VARIANT 2
385	𒜶	ANSZE~a	ANSHE‐A
386	𒜷	ANSZE~b	ANSHE‐B
387	𒜸	ANSZE~c	ANSHE‐C
388	𒜹	ANSZE~e	ANSHE‐E
389	𒜺	ANZU2	ANZU2
390	𒜻	APIN~a	APIN‐A
391	𒜽	APIN~b	APIN‐B
392	𒜾	APIN~c	APIN‐C
393		ARARMA2~a	ARARMA2‐A
393.1		ARARMA2~a	ARARMA2‐A VARIANT 1
394	𒝀	ARARMA2~b	ARARMA2‐B
395	𒝁	ARATTA	ARATTA
396	𒝂	ASAL2	ASAL2
397	𒝃	ASAR	ASAR
398	𒝄	ASZ2	ASH2
399	𒝅	AZ	AZ
400	𒝆	AZU	AZU
401	𒝇	BA	BA
402	𒝈	BAD	BAD
403	𒝊	BAD3~a	BAD3‐A
404	𒝋	BAD3~b1	BAD3‐B1
405	𒝌	BAD3~b2	BAD3‐B2
406		BAHAR2~a	BAHAR2‐A
406.1		BAHAR2~a	BAHAR2‐A VARIANT 1
407		BAHAR2~b	BAHAR2‐B
407.1		BAHAR2~b	BAHAR2‐B VARIANT 1
408	𒝏	BAHAR2~c	BAHAR2‐C
409	𒝐	BALA~a	BALA‐A
410		BALA~b	BALA‐B
410.1		BALA~b	BALA‐B VARIANT 1
411		BALAG	BALAG
411.1		BALAG	BALAG VARIANT 1
412		BAN~a	BAN‐A
412.1		BAN~a	BAN‐A VARIANT 1
412.2		BAN~a	BAN‐A VARIANT 2
413	𒝔	BAN~b	BAN‐B
414	𒝕	BANSZUR~a	BANSHUR‐A
415	𒝖	BANSZUR~a@t	BANSHUR‐A TENU
416	𒝗	BANSZUR~b1	BANSHUR‐B1
417	𒝘	BANSZUR~b2	BANSHUR‐B2
418	𒝙	BANSZUR~c	BANSHUR‐C
419	𒝚	BAPPIR~a	BAPPIR‐A
420	𒝛	BAPPIR~b	BAPPIR‐B
421	𒝜	BAPPIR~c	BAPPIR‐C
422	𒝝	BAPPIR~d	BAPPIR‐D
423	𒝞	BAPPIR~e	BAPPIR‐E
424	𒝟	BAPPIR~f	BAPPIR‐F
425	𒝠	BAR	BAR
426		BARA2~a	BARA2‐A
426.1		BARA2~a	BARA2‐A VARIANT 1
427		BARA2~b	BARA2‐B
427.1		BARA2~b	BARA2‐B VARIANT 1
428	𒝣	BARA3	BARA3
429	𒝤	BIR~a	BIR‐A
430	𒝥	BIR~b	BIR‐B
431	𒝦	BIR~c	BIR‐C
432		BIR3~a	BIR3‐A
432.1		BIR3~a	BIR3‐A VARIANT 1
433		BIR3~b	BIR3‐B
433.1		BIR3~b	BIR3‐B VARIANT 1
434	𒝩	BIR3~c	BIR3‐C
435		BU~a	BU‐A
435.1		BU~a	BU‐A VARIANT 1
436	𒝳	BU~b	BU‐B
437	𒝵	BU3	BU3
438	𒝶	BULUG	BULUG
439	𒝷	BULUG3	BULUG3
440	𒝸	BUR~a	BUR‐A
441	𒝹	BUR~b	BUR‐B
442	𒝺	BUR~c	BUR‐C
443	𒝻	BUR~d	BUR‐D
444	𒝼	BUR2	BUR2
445	𒝽	DA~a	DA‐A
446	𒝿	DA~b	DA‐B
447	𒞀	DA~c	DA‐C
448	𒞁	DA~d	DA‐D
449	𒞂	DAG	DAG
450	𒞃	DAH	DAH
451	𒞄	DAM	DAM
452	𒞅	DANNA	DANNA
453	𒞆	DAR~a	DAR‐A
454	𒞈	DAR~b	DAR‐B
455	𒞉	DAR~c	DAR‐C
456	𒞊	DAR~d	DAR‐D
457	𒞋	DARA3~a	DARA3‐A
458	𒞌	DARA3~b	DARA3‐B
459		DARA3~c	DARA3‐C
459.1		DARA3~c	DARA3‐C VARIANT 1
460	𒞐	DARA3~d	DARA3‐D
461	𒞓	DARA4~a1	DARA4‐A1
462	𒞔	DARA4~a2	DARA4‐A2
463	𒞕	DARA4~a3	DARA4‐A3
464	𒞖	DARA4~b	DARA4‐B
465	𒞗	DARA4~c1	DARA4‐C1
466	𒞘	DARA4~c2	DARA4‐C2
467	𒞙	DARA4~c3	DARA4‐C3
468	𒞚	DARA4~c4	DARA4‐C4
469	𒞛	DARA4~c5	DARA4‐C5
470	𒞜	DI	DI
471	𒞝	DI@t	DI TENU
472		DIB	DIB
472.1		DIB	DIB VARIANT 1
473		DILMUN	DILMUN
473.1		DILMUN	DILMUN VARIANT 1
473.2		DILMUN	DILMUN VARIANT 2
474	𒞠	DIM~a	DIM‐A
475	𒞣	DIM~b	DIM‐B
476	𒞤	DIM~c	DIM‐C
477	𒞥	DIN	DIN
478	𒞦	DIN@t	DIN TENU
479	𒞧	DU	DU
480	𒞩	DU@g	DU GUNU
481		DU6~a	DU6‐A
481.1		DU6~a	DU6‐A VARIANT 1
482	𒞬	DU6~b	DU6‐B
483	𒞭	DU6~c	DU6‐C
484	𒞮	DU7	DU7
485	𒞯	DU8~a	DU8‐A
486		DU8~b	DU8‐B
486.1		DU8~b	DU8‐B VARIANT 1
487	𒞱	DU8~c	DU8‐C
488		DU8~c@g	DU8‐C GUNU
488.1		DU8~c@g	DU8‐C GUNU VARIANT 1
489	𒞶	DUB~a	DUB‐A
490		DUB~b	DUB‐B
490.1		DUB~b	DUB‐B VARIANT 1
490.2		DUB~b	DUB‐B VARIANT 2
490.3		DUB~b	DUB‐B VARIANT 3
490.4		DUB~b	DUB‐B VARIANT 4
491	𒞸	DUB~c	DUB‐C
492	𒞹	DUB~d	DUB‐D
493	𒞽	DUB~e	DUB‐E
494	𒞾	DUB~f	DUB‐F
495	𒞿	DUB2	DUB2
496		DUG~a	DUG‐A
496.1		DUG~a	DUG‐A VARIANT 1
496.2		DUG~a	DUG‐A VARIANT 2
497		DUG~b	DUG‐B
497.1		DUG~b	DUG‐B VARIANT 1
498		DUG~c	DUG‐C
498.1		DUG~c	DUG‐C VARIANT 1
499	𒠄	DUG~c@t	DUG‐C TENU
500	𒠅	DUG~d	DUG‐D
501	𒠆	DUGUD	DUGUD
502	𒠇	DUR~a	DUR‐A
503	𒠈	DUR~b	DUR‐B
504	𒠉	DUR2	DUR2
505	𒠊	E~a	E‐A
506	𒠋	E~b	E‐B
507	𒠌	E~c	E‐C
508	𒠍	E~d	E‐D
509	𒠎	E~e	E‐E
510	𒠏	E2~a	E2‐A
511	𒠓	E2~b	E2‐B
512	𒠖	E2~c	E2‐C
513	𒠗	E2~d	E2‐D
514	𒠘	E3~a	E3‐A
515	𒠙	E3~b	E3‐B
516	𒠚	EDIN	EDIN
517		EN~a	EN‐A
517.1		EN~a	EN‐A VARIANT 1
517.2		EN~a	EN‐A VARIANT 2
517.3		EN~a	EN‐A VARIANT 3
518		EN~b	EN‐B
518.1		EN~b	EN‐B VARIANT 1
519	𒠝	EN~b@t	EN‐B TENU
520		EN~c	EN‐C
520.1		EN~c	EN‐C VARIANT 1
521	𒠠	EN~e	EN‐E
522	𒠡	EN@g~a	EN GUNU‐A
523	𒠢	EN@g~b	EN GUNU‐B
524	𒠣	EN2	EN2
525	𒠦	ENDIB	ENDIB
526	𒠧	ENGIZ	ENGIZ
527		ENKUM	ENKUM
527.1		ENKUM	ENKUM VARIANT 1
528	𒠩	ENLIL	ENLIL
529	𒠪	ENSI	ENSI
530	𒠫	ENSI2	ENSI2
531	𒠬	ERIM~a	ERIM‐A
532	𒠭	ERIM~b1	ERIM‐B1
533	𒠮	ERIM~b2	ERIM‐B2
534	𒠯	ERIM2	ERIM2
535	𒠰	ERIN	ERIN
536	𒠱	ESZDA	ESHDA
537	𒠳	ESZGAR	ESHGAR
538		EZEN~a	EZEN‐A
538.1		EZEN~a	EZEN‐A VARIANT 1
539	𒡃	EZEN~b	EZEN‐B
540	𒡅	EZEN~b@t	EZEN‐B TENU
541	𒡆	EZEN~c	EZEN‐C
542	𒡇	EZINU~a	EZINU‐A
543	𒡈	EZINU~b	EZINU‐B
544	𒡉	EZINU~c	EZINU‐C
545	𒡊	EZINU~d	EZINU‐D
546		GA~a	GA‐A
546.1		GA~a	GA‐A VARIANT 1
546.2		GA~a	GA‐A VARIANT 2
546.3		GA~a	GA‐A VARIANT 3
546.4		GA~a	GA‐A VARIANT 4
547	𒡎	GA~b	GA‐B
548	𒡏	GA~c	GA‐C
549	𒡒	GA2~a1	GA2‐A1
550	𒡵	GA2~a2	GA2‐A2
551	𒡽	GA2~a3	GA2‐A3
552	𒡿	GA2~a4	GA2‐A4
553	𒢀	GA2~b	GA2‐B
554	𒢅	GA2~c	GA2‐C
555	𒢆	GA’AR~a1	GAAR‐A1
556	𒢇	GA’AR~a2	GAAR‐A2
557	𒢈	GA’AR~b1	GAAR‐B1
