o0980192	12727	𒜧	DU₈~b	PROTO-CUNEIFORM SIGN DU8-B
o0980193	12728	𒜨	DU₈~c	PROTO-CUNEIFORM SIGN DU8-C
o0980194	12729	𒜩	|DU₈~c×AB₂|	PROTO-CUNEIFORM SIGN DU8-C TIMES AB2
o0980195	1272A	𒜪	|DU₈~c×AMAR|	PROTO-CUNEIFORM SIGN DU8-C TIMES AMAR
o0980196	1272B	𒜫	|DU₈~c×HI|	PROTO-CUNEIFORM SIGN DU8-C TIMES HI
o0980197	1272C	𒜬	|DU₈~c×UDU~a|	PROTO-CUNEIFORM SIGN DU8-C TIMES UDU-A
o0980199	1272D	𒜭	DU₈~c@g	PROTO-CUNEIFORM SIGN DU8-C GUNU
o0980200	1272E	𒜮	DUB~a	PROTO-CUNEIFORM SIGN DUB-A
o0980201	1272F	𒜯	DUB~b	PROTO-CUNEIFORM SIGN DUB-B
o0980203	12730	𒜰	DUB~c	PROTO-CUNEIFORM SIGN DUB-C
o0980204	12731	𒜱	DUB~d	PROTO-CUNEIFORM SIGN DUB-D
o0980205	12732	𒜲	DUB~e	PROTO-CUNEIFORM SIGN DUB-E
o0980206	12733	𒜳	DUB~f	PROTO-CUNEIFORM SIGN DUB-F
o0980207	12734	𒜴	DUB~h	PROTO-CUNEIFORM SIGN DUB-H
o0980208	12735	𒜵	|(DUB@n~a×1(N58))~a|	PROTO-CUNEIFORM SIGN DUB NUTILLU-A TIMES ONE-N58 FORM A
o0980209	12736	𒜶	|(DUB@n~a×1(N58))~b|	PROTO-CUNEIFORM SIGN DUB NUTILLU-A TIMES ONE-N58 FORM B
o0980210	12737	𒜷	|DUB@n~b×1(N58)~a|	PROTO-CUNEIFORM SIGN DUB NUTILLU-B TIMES ONE-N58-A
o0980211	12738	𒜸	DUB₂	PROTO-CUNEIFORM SIGN DUB2
o0980212	12739	𒜹	DUG~a	PROTO-CUNEIFORM SIGN DUG-A
o0980215	1273A	𒜺	|DUG~a×KU₆~a|	PROTO-CUNEIFORM SIGN DUG-A TIMES KU6-A
o0980217	1273B	𒜻	|DUG~a×NAGA~a|	PROTO-CUNEIFORM SIGN DUG-A TIMES NAGA-A
o0980218	1273C	𒜼	|DUG~a×U₂~a|	PROTO-CUNEIFORM SIGN DUG-A TIMES U2-A
o0980219	1273D	𒜽	|DUG~a×U₂~b|	PROTO-CUNEIFORM SIGN DUG-A TIMES U2-B
o0980221	1273E	𒜾	|DUG~a×1(N57)|	PROTO-CUNEIFORM SIGN DUG-A TIMES ONE-N57
o0980222	1273F	𒜿	DUG~b	PROTO-CUNEIFORM SIGN DUG-B
o0980223	12740	𒝀	|DUG~b×AB₂|	PROTO-CUNEIFORM SIGN DUG-B TIMES AB2
