o0900944	12843	GUN₃~a
o0900945	12844	GUN₃~b
o0900946	12845	GUR
o0900948	12846	GURUŠ~a
o0900952	12847	|GURUŠ~a×2(N14)|
o0900950	12848	GURUŠ~b
o0900953	12849	|GURUŠ~b×2(N14)|
o0900954	1284A	|GURUŠ~c×2(N14)|
o0900955	1284B	GURUŠDA
o0900956	1284C	HAL
o0900957	1284D	HALUB
o0900958	1284E	HAŠHUR
o0900959	1284F	|HAŠHUR×MA|
o0900960	12850	HI
o0900968	12851	|HI×1(N57)|
o0900970	12852	|HI×1(N57@t)|
o0900976	12853	HI@g~a
o0900977	12854	HI@g~b
o0900978	12855	HI@g~c
o0900981	12856	I
o0900983	12857	IB~a
o0900987	12858	IB~a@n
o0900984	12859	IB~b
o0900985	1285A	IB~c
o0900988	1285B	IDIGNA
o0900991	1285C	IG~a
o0900992	1285D	IG~b
o0900995	1285E	IL
o0901000	1285F	IM~a
o0901001	12860	IM~b
o0901005	12861	IN~b
o0901007	12862	IN~d
o0901009	12863	IR~a
o0901010	12864	IR~b
o0901011	12865	IR~c
o0901012	12866	IR~d
o0901020	12867	IŠ~a
o0901022	12868	IŠ~b
o0901028	12869	IŠ~c
o0901030	1286A	KA~a
o0901036	1286B	|KA~a×SAR~a|
o0901038	1286C	KA₂~a
o0901039	1286D	KA₂~b
o0901043	1286E	|KA₂~d×LAM~b|
o0901044	1286F	KAB
o0901047	12870	KAD₄~a
o0901048	12871	KAD₄~b
o0901052	12872	KAK~a
o0901053	12873	KAK~b
o0901057	12874	KAL~a
o0901058	12875	KAL~b1
o0901060	12876	KAL~b2
o0901062	12877	KALAM~a
o0901063	12878	KALAM~b
o0901064	12879	KALAM~c
o0901065	1287A	KALAM~d
o0901066	1287B	KALAM~e
o0901067	1287C	KALAM~f
o0901068	1287D	KALAM~g
o0901069	1287E	KALAM~h
o0901070	1287F	KALAM~h2
o0901073	12880	KAR₂~a
o0901074	12881	KAR₂~b
o0901075	12882	KASKAL
o0901078	12883	KAŠ~a
o0901080	12884	KAŠ~b
o0903610	12885	|KAŠ~b×ŠE~a@t|
o0901082	12886	KAŠ~c
o0901083	12887	KAŠ~d
o0901090	12888	KI
o0901091	12889	KI@n
o0901093	1288A	|KI@n×DUB~a|
o0901094	1288B	KIB
o0901095	1288C	KIB@g
o0901097	1288D	KID~a
o0901098	1288E	KID~b
o0901099	1288F	KID~c
o0901100	12890	KID~d
o0901101	12891	KID~e
o0901102	12892	KIN
o0901104	12893	KIN₂~a
o0901105	12894	KIN₂~b
o0901106	12895	KIN₂~c
o0901107	12896	KIN₂~d
o0901108	12897	KIN₂~e
o0901113	12898	KISAL~a1
o0901115	12899	KISAL~b1
o0901116	1289A	KISAL~b2
o0901120	1289B	KISAL~b2@t
o0901117	1289C	KISAL~b3
o0901122	1289D	KISIM~a
o0901123	1289E	KISIM~b
o0901127	1289F	KISIM~c
o0901128	128A0	KIŠ
o0901131	128A1	KIŠIK~a
o0901132	128A2	KIŠIK~b
o0901133	128A3	KITI
o0901136	128A4	KU~a
o0901137	128A5	KU~b1
o0901138	128A6	KU~b2
o0901142	128A7	KU₃~a
o0901143	128A8	KU₃~c
o0901145	128A9	KU₆~a
o0901153	128AA	|KU₆~a+KU₆~a|
o0901146	128AB	KU₆~c
o0901158	128AC	KUR~a
o0901159	128AD	KUR~b
o0901160	128AE	KUR~c
o0901169	128AF	KUR@g~a
o0901170	128B0	KUR@g~b
o0901172	128B1	KUŠU₂~a
o0901173	128B2	KUŠU₂~b
o0901174	128B3	KUŠU₂~c
o0901175	128B4	KUŠU₂~d
o0901176	128B5	KUŠU₂~e
o0901177	128B6	KUŠU₂~f
o0901179	128B7	LA~b
o0901181	128B8	LA~d
