id_text	publications_key
P000317	Englund1993ATU3
P000318	Englund1993ATU3
P000319	Englund1993ATU3
P000320	Englund1993ATU3
P000321	Englund1993ATU3
P000322	Englund1993ATU3
P000323	Englund1993ATU3
P000324	Englund1993ATU3
P000325	Englund1993ATU3
P000326	Englund1993ATU3
P000327	Englund1993ATU3
P000328	Englund1993ATU3
P000329	Englund1993ATU3
P000330	Englund1993ATU3
P000331	Englund1993ATU3
P000332	Englund1993ATU3
P000333	Englund1993ATU3
P000334	Englund1993ATU3
P000335	Englund1993ATU3
P000336	Englund1993ATU3
P000337	Englund1993ATU3
P000338	Englund1993ATU3
P000339	Englund1993ATU3
P000340	Englund1993ATU3
P000341	Englund1993ATU3
P000342	Englund1993ATU3
P000343	Englund1993ATU3
P000344	Englund1993ATU3
P000345	Englund1993ATU3
P000346	Englund1993ATU3
P000347	Englund1993ATU3
P000348	Englund1993ATU3
P000349	Englund1993ATU3
P000350	Englund1993ATU3
P000351	Englund1993ATU3
P000352	Englund1993ATU3
P000353	Englund1993ATU3
P000354	Englund1993ATU3
P000355	Englund1993ATU3
P000356	Englund1993ATU3
P000357	Englund1993ATU3
P000358	Englund1993ATU3
P000359	Englund1993ATU3
P000360	Englund1993ATU3
P000361	Englund1993ATU3
P000362	Englund1993ATU3
P000363	Englund1993ATU3
P000364	Englund1993ATU3
P000365	Englund1993ATU3
P000366	Englund1993ATU3
P000367	Englund1993ATU3
P000368	Englund1993ATU3
P000369	Englund1993ATU3
P000370	Englund1993ATU3
P000371	Englund1993ATU3
P000372	Englund1993ATU3
P000373	Englund1993ATU3
P000374	Englund1993ATU3
P000375	Englund1993ATU3
P000376	Englund1993ATU3
P000377	Englund1993ATU3
P000378	Englund1993ATU3
P000379	Englund1993ATU3
P000380	Englund1993ATU3
P000381	Englund1993ATU3
P000382	Englund1993ATU3
P000383	Englund1993ATU3
P000384	Englund1993ATU3
P000385	Englund1993ATU3
P000386	Englund1993ATU3
P000387	Englund1993ATU3
P000388	Englund1993ATU3
P000389	Englund1993ATU3
P000390	Englund1993ATU3
P000391	Englund1993ATU3
P000392	Englund1993ATU3
P000393	Englund1993ATU3
P000394	Englund1993ATU3
P000395	Englund1993ATU3
P000396	Englund1993ATU3
P000397	Englund1993ATU3
P000398	Englund1993ATU3
P000399	Englund1993ATU3
P000400	Englund1993ATU3
P000401	Englund1993ATU3
P000402	Englund1993ATU3
P000403	Englund1993ATU3
P000404	Englund1993ATU3
P000405	Englund1993ATU3
P000406	Englund1993ATU3
P000407	Englund1993ATU3
P000408	Englund1993ATU3
P000409	Englund1993ATU3
P000410	Englund1993ATU3
P000411	Englund1993ATU3
P000412	Englund1993ATU3
P000413	Englund1993ATU3
P000414	Englund1993ATU3
P000415	Englund1993ATU3
P000416	Englund1993ATU3
P000417	Englund1993ATU3
P000418	Englund1993ATU3
P000419	Englund1993ATU3
P000420	Englund1993ATU3
P000421	Englund1993ATU3
P000422	Englund1993ATU3
P000423	Englund1993ATU3
P000424	Englund1993ATU3
P000425	Englund1993ATU3
P000426	Englund1993ATU3
P000427	Englund1993ATU3
P000428	Englund1993ATU3
P000429	Englund1993ATU3
P000430	Englund1993ATU3
P000431	Englund1993ATU3; Englund1998OBO160/1; Green1987ATU2; Nissen1986WorldArchaeology17; sec453; sec455
P000432	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000433	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000434	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000437	Englund1993ATU3; Green1987ATU2
P000439	Englund1988timekeeping; Englund1993ATU3
P000440	BagM2catalogue; Englund1993ATU3; Nissen1991FrüheSchrift
P000441	BagM2catalogue; Englund1993ATU3
P000442	BagM2catalogue; Englund1993ATU3
P000443	BagM2catalogue; Englund1993ATU3
P000445	Englund1993ATU3; Green1987ATU2
P000446	Englund1993ATU3
P000448	Englund1993ATU3
P000449	Englund1993ATU3
P000450	Englund1993ATU3; Green1987ATU2
P000451	Englund1993ATU3
P000453	Englund1993ATU3
P000454	Englund1993ATU3
P000455	Englund1993ATU3
P000456	Englund1993ATU3
P000457	Englund1993ATU3
P000458	Englund1993ATU3
P000459	Englund1993ATU3
P000460	Englund1993ATU3
P000461	Englund1993ATU3
P000463	Englund1993ATU3
P000464	Englund1993ATU3
P000465	Englund1993ATU3
P000466	Englund1993ATU3
P000467	Englund1993ATU3
P000468	Englund1993ATU3
P000469	Englund1993ATU3
P000470	Englund1993ATU3
P000471	Englund1993ATU3
P000472	Englund1993ATU3
P000473	Englund1993ATU3
P000474	Englund1993ATU3
P000475	Englund1993ATU3
P000476	Englund1993ATU3
P000477	Englund1993ATU3
P000478	Englund1993ATU3
P000479	Englund1993ATU3
P000480	Englund1993ATU3
P000481	Englund1993ATU3
P000482	Englund1993ATU3
P000483	Englund1993ATU3
P000484	Englund1993ATU3; Green1987ATU2
P000485	Englund1993ATU3
P000486	Englund1993ATU3
P000487	Englund1993ATU3; sec518
P000488	Englund1993ATU3
P000489	Englund1993ATU3
P000490	Englund1993ATU3
P000491	Englund1993ATU3
P000492	Englund1993ATU3
P000493	Englund1993ATU3; Green1987ATU2
P000495	Englund1993ATU3
P000496	Englund1993ATU3
P000497	Englund1993ATU3
P000498	Englund1993ATU3
P000499	Englund1993ATU3
P000500	Englund1993ATU3
P000501	Englund1993ATU3
P000502	Englund1993ATU3
P000503	Englund1993ATU3
P000504	Englund1993ATU3
P000506	Englund1993ATU3
P000507	Englund1993ATU3
P000508	Englund1993ATU3; Englund1998OBO160/1; Green1977JNES36
P000509	Englund1993ATU3
P000510	Englund1993ATU3
P000511	Englund1993ATU3
P000512	Englund1993ATU3
P000513	Englund1993ATU3
P000514	Englund1993ATU3
P000515	Englund1993ATU3
P000516	Englund1993ATU3
P000517	Englund1993ATU3; Green1987ATU2
P000518	Englund1993ATU3; Green1987ATU2
P000519	Englund1993ATU3; Green1987ATU2
P000520	Englund1993ATU3; Green1987ATU2
P000521	Englund1993ATU3; Green1987ATU2
P000522	Englund1993ATU3; Green1987ATU2
P000523	Englund1993ATU3; Green1987ATU2
P000524	Englund1993ATU3; Green1987ATU2
P000525	Englund1993ATU3; Green1987ATU2
P000526	Englund1993ATU3; Green1987ATU2
P000527	Englund1993ATU3; Green1987ATU2
P000528	Englund1993ATU3; Green1987ATU2
P000529	Englund1993ATU3; Green1987ATU2
P000533	Englund1993ATU3; Green1987ATU2
P000534	Englund1993ATU3
P000538	Englund1993ATU3
P000539	Englund1993ATU3
P000540	Englund1993ATU3
P000542	Englund1993ATU3
P000543	Englund1993ATU3
P000544	Englund1993ATU3
P000545	Englund1993ATU3
P000546	Englund1993ATU3
P000547	Englund1993ATU3
P000548	Englund1993ATU3
P000549	Englund1993ATU3
P000550	Englund1993ATU3
P000551	Englund1993ATU3
P000552	Englund1993ATU3
P000553	Englund1993ATU3
P000554	Englund1993ATU3
P000555	Englund1993ATU3
P000556	Englund1993ATU3
P000557	Englund1993ATU3
P000558	Englund1993ATU3
P000560	Englund1993ATU3
P000561	Englund1993ATU3
P000562	Englund1993ATU3
P000563	Englund1993ATU3
P000564	Englund1993ATU3
P000565	Englund1993ATU3
P000566	Englund1993ATU3
P000567	Englund1993ATU3
P000568	Englund1993ATU3
P000569	Englund1993ATU3
P000570	Englund1993ATU3
P000571	Englund1993ATU3
P000572	Englund1993ATU3
P000573	Englund1993ATU3
P000575	Englund1993ATU3
P000576	Englund1993ATU3
P000577	Englund1993ATU3
P000578	Englund1993ATU3
P000579	Englund1993ATU3
P000580	Englund1993ATU3
P000581	Englund1993ATU3
P000582	Englund1993ATU3
P000583	Englund1993ATU3
P000584	Englund1993ATU3
P000585	Englund1993ATU3; Green1987ATU2
P000586	Englund1993ATU3
P000587	Englund1993ATU3
P000588	Englund1993ATU3
P000589	Englund1993ATU3
P000590	Englund1993ATU3
P000591	Englund1993ATU3
P000593	Englund1993ATU3; sec630
P000594	Englund1993ATU3; sec632
P000595	Englund1993ATU3; sec634
P000597	Englund1993ATU3; sec636
P000598	Englund1993ATU3; UVB24catalogue
P000599	Englund1993ATU3
P000600	Englund1993ATU3
P000601	Englund1993ATU3
P000602	Englund1993ATU3
P000603	Englund1993ATU3
P000604	Englund1993ATU3; Green1987ATU2
P000605	Englund1993ATU3
P000606	Englund1993ATU3
P000608	Englund1993ATU3; UVB25catalogue
P000609	Englund1993ATU3; UVB25catalogue
P000610	Englund1993ATU3; UVB25catalogue
P000611	Englund1993ATU3; UVB25catalogue
P000614	Englund1993ATU3
P000615	Englund1993ATU3
P000617	Englund1993ATU3
P000618	Englund1993ATU3
P000620	Englund1993ATU3
P000621	Englund1993ATU3
P000622	Englund1993ATU3
P000623	Englund1993ATU3
P000624	Englund1993ATU3
P000625	Englund1993ATU3
P000626	Englund1993ATU3
P000627	Englund1993ATU3
P000628	Englund1993ATU3
P000629	Englund1993ATU3
P000630	Englund1993ATU3
P000631	Englund1993ATU3
P000632	Englund1993ATU3
P000633	Cavigneaux1991BagM22; Englund1993ATU3
P000634	Cavigneaux1991BagM22; Englund1993ATU3
P000635	Cavigneaux1991BagM22; Englund1993ATU3
P000636	Cavigneaux1991BagM22; Englund1993ATU3
P000637	Cavigneaux1991BagM22; Englund1993ATU3
P000638	Cavigneaux1991BagM22; Englund1993ATU3
P000639	Cavigneaux1991BagM22; Englund1993ATU3
P000640	Cavigneaux1991BagM22; Englund1993ATU3
P000641	Cavigneaux1991BagM22; Englund1993ATU3
P000642	Cavigneaux1991BagM22; Englund1993ATU3
P000643	Cavigneaux1991BagM22; Englund1993ATU3; sec692
P000644	Cavigneaux1991BagM22; Englund1993ATU3
P000645	Cavigneaux1991BagM22; Englund1993ATU3
P000646	Cavigneaux1991BagM22; Englund1993ATU3
P000647	Cavigneaux1991BagM22; Englund1993ATU3
P000648	Cavigneaux1991BagM22; Englund1993ATU3
P000649	Cavigneaux1991BagM22; Englund1993ATU3
P000650	Cavigneaux1991BagM22; Englund1993ATU3
P000651	Cavigneaux1991BagM22; Englund1993ATU3
P000652	Cavigneaux1991BagM22; Englund1993ATU3
P000653	Cavigneaux1991BagM22; Englund1993ATU3
P000654	Cavigneaux1991BagM22; Englund1993ATU3
P000655	Cavigneaux1991BagM22; Englund1993ATU3
P000656	sec718
P000657	Cavigneaux1991BagM22; Englund1993ATU3
P000658	Cavigneaux1991BagM22; Englund1993ATU3
P000659	Cavigneaux1991BagM22; Englund1993ATU3
P000660	Cavigneaux1991BagM22; Englund1993ATU3
P000661	Cavigneaux1991BagM22; Englund1993ATU3
P000662	Cavigneaux1991BagM22; Englund1993ATU3
P000663	Cavigneaux1991BagM22; Englund1993ATU3
P000664	Cavigneaux1991BagM22; Englund1993ATU3
P000665	Cavigneaux1991BagM22; Englund1993ATU3
P000666	Cavigneaux1991BagM22; Englund1993ATU3; sec738
P000667	Cavigneaux1991BagM22; Englund1993ATU3
P000668	Cavigneaux1991BagM22; Englund1993ATU3
P000669	Cavigneaux1991BagM22; Englund1993ATU3
P000670	Cavigneaux1991BagM22; Englund1993ATU3
P000671	Cavigneaux1991BagM22; Englund1993ATU3
P000672	Cavigneaux1991BagM22; Englund1993ATU3
P000673	Cavigneaux1991BagM22; Englund1993ATU3
P000674	Cavigneaux1991BagM22; Englund1993ATU3
P000675	Cavigneaux1991BagM22; Englund1993ATU3
P000676	Cavigneaux1991BagM22; Englund1993ATU3
P000677	Cavigneaux1991BagM22; Englund1993ATU3
P000678	Cavigneaux1991BagM22; Englund1993ATU3
P000679	Cavigneaux1991BagM22; Englund1993ATU3
P000680	Cavigneaux1991BagM22; Englund1993ATU3
P000681	Cavigneaux1991BagM22; Englund1993ATU3
P000682	Cavigneaux1991BagM22; Englund1993ATU3
P000683	Cavigneaux1991BagM22; Englund1993ATU3
P000684	Cavigneaux1991BagM22; Englund1993ATU3
P000685	Cavigneaux1991BagM22; Englund1993ATU3
P000686	Cavigneaux1991BagM22; Englund1993ATU3
P000687	Cavigneaux1991BagM22; Englund1993ATU3
P000688	Cavigneaux1991BagM22; Englund1993ATU3
P000689	Cavigneaux1991BagM22; Englund1993ATU3
P000690	Cavigneaux1991BagM22; Englund1993ATU3
P000691	Cavigneaux1991BagM22; Englund1993ATU3
P000692	Cavigneaux1991BagM22; Englund1993ATU3
P000693	Cavigneaux1991BagM22; Englund1993ATU3
P000694	Cavigneaux1991BagM22; Englund1993ATU3
P000695	Cavigneaux1991BagM22; Englund1993ATU3
P000696	Cavigneaux1991BagM22; Englund1993ATU3
P000697	Cavigneaux1991BagM22; Englund1993ATU3
P000698	Cavigneaux1991BagM22; Englund1993ATU3
P000699	Cavigneaux1991BagM22; Englund1993ATU3
P000700	Cavigneaux1991BagM22; Englund1993ATU3
P000701	Cavigneaux1991BagM22; Englund1993ATU3
P000702	Cavigneaux1991BagM22; Englund1993ATU3
P000703	Englund1993ATU3
P000704	Englund1993ATU3
P000705	Englund2001ATU7
P000706	Englund2001ATU7
P000707	Englund2001ATU7
P000708	Englund2001ATU7
